,0
0,<module 'time' (built-in)>
1,"['0.1527591496706009', '0.06725801527500153', '0.058391742408275604', '0.05027686804533005', '0.0539889857172966', '0.3197735548019409', '0.32579630613327026', '0.14794278144836426', '0.038099441677331924', '0.41844573616981506', '0.7901952862739563', '0.19188381731510162', '0.1800791174173355', '0.07939206808805466', '0.09606140106916428', '0.19703982770442963', '0.05379825085401535', '0.14223362505435944', '0.1707695573568344', '0.09723886102437973', '0.03528530150651932', '0.05869345739483833']"
2,"['0.32939276099205017', '0.17895014584064484', '0.18086056411266327', '0.15841516852378845', '0.13557739555835724', '4.995364189147949', '3.923027515411377', '1.0782767534255981', '0.13055115938186646', '0.5917105674743652', '1.006884217262268', '0.3546546697616577', '0.3603188693523407', '0.12040559947490692', '0.11227765679359436', '0.5444409847259521', '0.28923726081848145', '0.45395004749298096', '0.3789979815483093', '0.3810747265815735', '0.1571822613477707', '0.20028406381607056']"
3,"['6.330960273742676', '6.3079514503479', '6.354853630065918', '6.3857316970825195', '6.342975616455078', '6.7953081130981445', '6.587424278259277', '6.378959655761719', '6.316882133483887', '6.530571937561035', '6.774552822113037', '6.422361850738525', '6.358288764953613', '6.28891658782959', '6.298584461212158', '6.3698248863220215', '6.281851291656494', '6.314673900604248', '6.302497386932373', '6.342849254608154', '6.274792671203613', '6.281732082366943']"
4,"['5.948657512664795', '5.921627044677734', '5.920344829559326', '5.916268825531006', '5.915302753448486', '6.13013219833374', '6.08501672744751', '5.928252696990967', '5.894169807434082', '6.149964332580566', '6.53544282913208', '5.9595489501953125', '5.954716682434082', '5.901594161987305', '5.90363883972168', '5.958273887634277', '5.920303821563721', '5.961280822753906', '6.027159214019775', '6.053552150726318', '5.917208194732666', '5.962956428527832']"
5,"['0.39982473850250244', '0.25916123390197754', '0.21129684150218964', '0.17819428443908691', '0.29793646931648254', '2.628359079360962', '2.3483376502990723', '0.7003921866416931', '0.12406843155622482', '1.5794364213943481', '2.893435478210449', '1.1387561559677124', '1.1332032680511475', '0.2986139953136444', '0.2946798801422119', '0.9684208035469055', '0.18655142188072205', '0.38430413603782654', '0.6303883790969849', '0.5872774124145508', '0.18864694237709045', '0.25608688592910767']"
6,"['2.425523042678833', '2.3050310611724854', '2.2498209476470947', '2.2323050498962402', '2.281501054763794', '2.596334934234619', '2.5813159942626953', '2.2560644149780273', '2.165273427963257', '2.9041967391967773', '4.168432235717773', '2.23458194732666', '2.2269058227539062', '2.185011625289917', '2.1786131858825684', '2.283116579055786', '2.2881250381469727', '2.642198085784912', '2.2717533111572266', '2.30092716217041', '2.2073025703430176', '2.2340989112854004']"
7,"['0.2490479201078415', '0.14736516773700714', '0.1541648507118225', '0.19158457219600677', '0.3127172291278839', '0.8083052039146423', '0.5802372097969055', '0.20841015875339508', '0.06812223047018051', '1.1707772016525269', '1.725219964981079', '0.44199344515800476', '0.4232916831970215', '0.11148018389940262', '0.1619085818529129', '0.741200864315033', '0.12654684484004974', '0.32595548033714294', '0.15819807350635529', '0.21080681681632996', '0.06940300017595291', '0.12564055621623993']"
8,"['97.640625', '98.6014633178711', '98.73479461669922', '98.767822265625', '98.47581481933594', '88.17565155029297', '90.29539489746094', '97.11656951904297', '99.39726257324219', '92.8033676147461', '86.10363006591797', '97.0253677368164', '97.21756744384766', '99.11831665039062', '99.05974578857422', '96.65289306640625', '98.70570373535156', '96.84901428222656', '97.75093841552734', '97.5731430053711', '99.1910629272461', '98.77883911132812']"
