,0
0,<module 'time' (built-in)>
1,"['1.514485239982605', '0.36431217193603516', '0.38776692748069763', '0.785102128982544', '0.47418713569641113', '0.28240373730659485', '1.1639925241470337', '1.055956482887268', '1.531572699546814', '1.4841967821121216', '1.6856541633605957', '0.7983618378639221', '1.6868491172790527', '0.6458726525306702', '1.8086427450180054', '1.3951340913772583', '0.7482797503471375', '1.5118472576141357', '1.3737642765045166', '1.349226951599121', '0.5556237101554871', '1.2527371644973755', '0.8246746063232422', '0.5201596021652222', '0.6687073707580566']"
2,"['31.175283432006836', '1.1344047784805298', '2.8102240562438965', '8.944721221923828', '6.055698871612549', '0.8289493322372437', '6.321589469909668', '6.0156145095825195', '10.234798431396484', '5.142956256866455', '16.426185607910156', '5.523611068725586', '5.587377548217773', '2.1963250637054443', '6.516101837158203', '3.483102560043335', '3.850863218307495', '8.817427635192871', '3.6000258922576904', '8.740429878234863', '3.1704940795898438', '5.291558265686035', '12.139381408691406', '9.818973541259766', '6.231836318969727']"
3,"['8.494009971618652', '6.637298107147217', '6.568660736083984', '6.921627998352051', '6.663463115692139', '6.432615756988525', '6.968873023986816', '6.898324966430664', '7.056241989135742', '7.264849662780762', '7.5909810066223145', '6.929771423339844', '7.873556137084961', '6.520950794219971', '7.035394191741943', '6.639703273773193', '6.577311992645264', '6.951395511627197', '7.056278705596924', '7.164196014404297', '6.624890327453613', '6.919833183288574', '6.909256935119629', '6.643528461456299', '6.769867897033691']"
4,"['25.1165771484375', '7.051050662994385', '7.664082050323486', '8.289874076843262', '7.204646110534668', '6.430257797241211', '7.842329025268555', '7.585278034210205', '9.465958595275879', '10.069686889648438', '9.111213684082031', '7.25638484954834', '8.965439796447754', '6.808107376098633', '7.290185451507568', '7.414597511291504', '7.540389060974121', '7.688325881958008', '9.585082054138184', '8.27761459350586', '6.661256313323975', '7.520930290222168', '6.97110652923584', '6.3924102783203125', '6.363386154174805']"
5,"['3.1377811431884766', '1.0837126970291138', '1.8948909044265747', '3.1545963287353516', '1.7998989820480347', '1.1647673845291138', '4.792856216430664', '4.290389537811279', '3.511012315750122', '4.227254390716553', '5.059934616088867', '2.497385025024414', '4.094364166259766', '1.5788449048995972', '2.6229727268218994', '2.098313093185425', '1.4586719274520874', '3.700890064239502', '3.2979092597961426', '8.237139701843262', '1.5388864278793335', '2.3810782432556152', '2.5678696632385254', '1.9550906419754028', '2.3895435333251953']"
6,"['3.0114099979400635', '2.414292573928833', '3.196322441101074', '5.156149387359619', '3.307483434677124', '2.449796199798584', '6.017333030700684', '5.577727317810059', '79.47500610351562', '37.94033432006836', '27.438432693481445', '5.0540900230407715', '6.1394853591918945', '4.160479545593262', '4.4185662269592285', '3.1587131023406982', '2.7203452587127686', '5.9688544273376465', '14.094368934631348', '94.3326644897461', '3.379138946533203', '6.058856964111328', '5.808595657348633', '7.724006652832031', '3.1935043334960938']"
7,"['13.743953704833984', '90.34893798828125', '86.25347900390625', '72.01607513427734', '83.55218505859375', '93.4879379272461', '63.18370819091797', '69.70945739746094', '34.45298767089844', '50.04167556762695', '39.0522346496582', '76.45654296875', '52.17381286621094', '85.59454345703125', '52.18724060058594', '72.27172088623047', '81.6056900024414', '66.34087371826172', '56.75431442260742', '15.690970420837402', '86.20881652832031', '56.629032135009766', '57.879966735839844', '74.13935089111328', '81.17932891845703']"
8,"['19.11337661743164', '2.5793356895446777', '0.9326610565185547', '1.9661108255386353', '0.9662661552429199', '1.5026956796646118', '11.073647499084473', '6.692866325378418', '4.86527681350708', '5.2366180419921875', '8.368840217590332', '3.8736422061920166', '19.137454986572266', '2.339773416519165', '26.738616943359375', '13.515748023986816', '6.024538993835449', '6.576571464538574', '11.493708610534668', '12.371744155883789', '2.546294689178467', '21.693347930908203', '15.387847900390625', '2.098686933517456', '4.419222831726074']"
