,0
0,<module 'time' (built-in)>
1,"['0.2324841022491455', '0.2414347529411316', '0.27939507365226746', '0.23258671164512634', '0.1429092437028885', '0.16305416822433472', '0.15017636120319366', '0.139200821518898', '0.06430136412382126', '0.06188574433326721', '0.07868536561727524', '0.05940932780504227', '0.05492868274450302', '0.038413651287555695', '0.15070845186710358', '0.2215663492679596', '0.4770793914794922', '0.6328727602958679', '0.237870454788208', '0.29950404167175293', '0.10620073974132538', '0.06481226533651352']"
2,"['4.920480251312256', '2.6038827896118164', '4.102499961853027', '3.046022891998291', '1.61264169216156', '0.2994365394115448', '0.366291344165802', '0.3553822636604309', '0.11706552654504776', '0.10461555421352386', '0.1397271454334259', '0.09926577657461166', '0.06862638145685196', '0.0394202396273613', '0.5407509803771973', '0.562024712562561', '0.7829985618591309', '1.1511180400848389', '0.7385382056236267', '0.575023353099823', '0.1256265491247177', '0.0879245474934578']"
3,"['6.3681745529174805', '6.349906921386719', '6.50239372253418', '6.3842997550964355', '6.38291597366333', '99.6179428100586', '99.41581726074219', '99.47960662841797', '99.68859100341797', '99.69151306152344', '99.69458770751953', '99.70930480957031', '99.69132232666016', '99.72258758544922', '98.28522491455078', '26.20835304260254', '96.30679321289062', '92.9284896850586', '99.4736099243164', '99.39107513427734', '99.47352600097656', '99.70719909667969']"
4,"['5.933812141418457', '5.956972599029541', '6.041110038757324', '5.959685802459717', '6.069053649902344', '6.98374080657959', '9.445545196533203', '8.552084922790527', '6.321253776550293', '6.268090724945068', '6.18585729598999', '6.021152496337891', '6.31458854675293', '5.910512924194336', '19.015697479248047', '91.81680297851562', '25.803709030151367', '34.8720588684082', '8.026488304138184', '8.917476654052734', '9.076794624328613', '6.068832874298096']"
5,"['0.34868642687797546', '0.28245604038238525', '0.45182010531425476', '0.4707431495189667', '0.34250906109809875', '0.16118642687797546', '0.15484125912189484', '0.24931079149246216', '0.05844555422663689', '0.07388897240161896', '0.08733288943767548', '0.06197112426161766', '0.04286342114210129', '0.026583174243569374', '0.2403527796268463', '0.6603904962539673', '1.6788170337677002', '1.352353572845459', '0.4970909655094147', '0.5191517472267151', '0.11396921426057816', '0.05878928303718567']"
6,"['2.2370693683624268', '2.215723991394043', '2.204850673675537', '2.2277040481567383', '2.2206664085388184', '2.209506034851074', '2.2156763076782227', '2.2346479892730713', '2.1632819175720215', '2.165938377380371', '2.1653504371643066', '2.1611568927764893', '2.1619932651519775', '2.152743339538574', '2.2569828033447266', '2.4604527950286865', '2.425156831741333', '2.67032527923584', '2.275207281112671', '2.2332956790924072', '2.1745622158050537', '2.159179449081421']"
7,"['0.23056019842624664', '0.1902109831571579', '0.31669142842292786', '0.2650943100452423', '0.2227860540151596', '0.1732049584388733', '0.17657330632209778', '0.16069075465202332', '0.048410963267087936', '0.04440796375274658', '0.056437134742736816', '0.048102378845214844', '0.040823984891176224', '0.01999702863395214', '0.25161686539649963', '0.3453262448310852', '0.7212826609611511', '0.9132077097892761', '0.41010046005249023', '0.3875892460346222', '0.09878998249769211', '0.047956280410289764']"
8,"['93.5860824584961', '96.0428466796875', '93.72909545898438', '95.23362731933594', '96.66437530517578', '0.24577337503433228', '0.2301030308008194', '0.3890901803970337', '0.11493271589279175', '0.13375858962535858', '0.151707261800766', '0.1121969223022461', '0.11436353623867035', '0.03378461301326752', '0.3075879216194153', '0.49495241045951843', '0.6058425903320312', '1.0510821342468262', '0.4451095163822174', '0.6679366827011108', '0.20728176832199097', '0.08693848550319672']"
