,0
0,<module 'time' (built-in)>
1,"['0.08723094314336777', '0.13844352960586548', '0.07438456267118454', '0.10593420267105103', '0.13343499600887299', '0.11321858316659927', '0.06969139724969864', '0.05254124477505684', '0.10436361283063889', '0.0847293883562088', '0.06685033440589905', '0.07564996927976608', '0.06755924969911575', '0.059002410620450974', '0.05589878559112549', '0.050498463213443756', '0.05828716605901718', '0.04848600924015045', '0.06644436717033386', '0.040924396365880966', '0.055720262229442596', '0.04085160791873932', '0.026317277923226357', '0.02141944132745266', '0.027856070548295975', '0.0188024640083313', '0.02885744906961918', '0.019218575209379196']"
2,"['0.43998822569847107', '0.9713752269744873', '0.40339940786361694', '0.6228658556938171', '0.6934072971343994', '0.5945979356765747', '0.38141900300979614', '0.25350314378738403', '0.8290846943855286', '0.4133267402648926', '0.2735751271247864', '0.4773942828178406', '0.3536995053291321', '0.28514087200164795', '0.295691579580307', '0.30797210335731506', '0.36719563603401184', '0.24607640504837036', '0.42776939272880554', '0.1816149652004242', '0.2665919363498688', '0.24319010972976685', '0.10775048285722733', '0.10780063271522522', '0.18939073383808136', '0.12129466980695724', '0.19759561121463776', '0.13971833884716034']"
3,"['6.421463966369629', '6.537893295288086', '6.386537075042725', '6.472774028778076', '6.511548042297363', '6.492424011230469', '6.3777642250061035', '6.345017433166504', '6.45581579208374', '6.4088568687438965', '6.381666660308838', '6.434638023376465', '6.398250102996826', '6.369962692260742', '6.375845432281494', '6.348810195922852', '6.37972354888916', '6.341217994689941', '6.39730167388916', '6.326303005218506', '6.342258453369141', '6.322336196899414', '6.291743278503418', '6.2925944328308105', '6.311127662658691', '6.2913408279418945', '6.309190273284912', '6.2963409423828125']"
4,"['97.85969543457031', '97.65165710449219', '97.89321899414062', '97.7984619140625', '97.76373291015625', '97.79035949707031', '97.91786193847656', '97.96656036376953', '97.7791519165039', '97.86979675292969', '97.93605041503906', '97.87230682373047', '97.92562103271484', '97.95579528808594', '97.95072174072266', '97.96625518798828', '97.93032836914062', '97.9774169921875', '97.9139175415039', '98.00094604492188', '97.97130584716797', '97.99571228027344', '98.03988647460938', '98.04513549804688', '98.021484375', '98.04241943359375', '98.01824951171875', '98.03871154785156']"
5,"['0.16986927390098572', '0.2657003104686737', '0.14075234532356262', '0.19328562915325165', '0.2019897997379303', '0.2016034871339798', '0.11875643581151962', '0.09448689222335815', '0.20700892806053162', '0.16603413224220276', '0.12286679446697235', '0.14307548105716705', '0.10853453725576401', '0.0823824405670166', '0.08880177140235901', '0.07603955268859863', '0.09995727986097336', '0.07269145548343658', '0.11209093779325485', '0.06446922570466995', '0.07913772016763687', '0.05899462848901749', '0.03460866957902908', '0.02995629981160164', '0.04308728873729706', '0.03340773284435272', '0.04638462886214256', '0.03625575453042984']"
6,"['2.2547483444213867', '2.3114700317382812', '2.227846384048462', '2.2643895149230957', '2.255812406539917', '2.257059335708618', '2.220301628112793', '2.197824001312256', '2.2486989498138428', '2.245298147201538', '2.212441921234131', '2.2351887226104736', '2.211545467376709', '2.2088534832000732', '2.2069106101989746', '2.194727659225464', '2.2133264541625977', '2.1964735984802246', '2.211880922317505', '2.1876354217529297', '2.1930289268493652', '2.185788154602051', '2.1699512004852295', '2.1671502590179443', '2.17164945602417', '2.167236328125', '2.173945665359497', '2.1665005683898926']"
7,"['0.14286096394062042', '0.24442411959171295', '0.11978118121623993', '0.16534793376922607', '0.1732301115989685', '0.17410427331924438', '0.0951327532529831', '0.0747147649526596', '0.1574186235666275', '0.13290078938007355', '0.0835232064127922', '0.10530494898557663', '0.0823477953672409', '0.06953080743551254', '0.07167292386293411', '0.06479713320732117', '0.07725029438734055', '0.061342522501945496', '0.08810999244451523', '0.047389134764671326', '0.0629439651966095', '0.04787455499172211', '0.02887783944606781', '0.02357197180390358', '0.03418845683336258', '0.02426004409790039', '0.037751130759716034', '0.025313129648566246']"
8,"['0.22629503905773163', '0.45864763855934143', '0.2412925660610199', '0.27901068329811096', '0.35582834482192993', '0.324465811252594', '0.1769610047340393', '0.14344313740730286', '0.2839077413082123', '0.2517305612564087', '0.17947255074977875', '0.2118861824274063', '0.16152323782444', '0.11840889602899551', '0.1349843293428421', '0.12433583289384842', '0.16660022735595703', '0.12053713202476501', '0.16558170318603516', '0.09488386660814285', '0.1398157775402069', '0.09196899086236954', '0.05881170928478241', '0.04042385146021843', '0.06008286774158478', '0.04868132993578911', '0.06510014086961746', '0.047239746898412704']"
