,0
0,<module 'time' (built-in)>
1,"['65.83377838134766', '77.66738891601562', '90.24826049804688', '93.48992919921875', '94.39213562011719', '99.40755462646484', '99.45084381103516', '99.39268493652344', '99.1161117553711', '99.56494140625', '99.21456909179688', '98.66543579101562', '99.26686096191406', '98.8488998413086', '98.89353942871094', '99.12364196777344', '99.13204193115234', '99.24443054199219', '99.33748626708984', '99.34052276611328', '98.7685546875', '99.08667755126953', '99.21194458007812', '99.16975402832031', '99.48535919189453', '99.455810546875', '99.50261688232422']"
2,"['0.734343945980072', '0.8700441718101501', '0.45011192560195923', '0.3858434557914734', '0.3550567626953125', '0.061482999473810196', '0.060001470148563385', '0.06818833947181702', '0.09417258948087692', '0.04709766432642937', '0.09374344348907471', '0.1275743991136551', '0.07659118622541428', '0.12459050863981247', '0.11907622963190079', '0.09743988513946533', '0.08514919877052307', '0.07151379436254501', '0.07584673911333084', '0.07455720007419586', '0.13316573202610016', '0.09321688115596771', '0.06807057559490204', '0.09429498761892319', '0.04904067516326904', '0.05487031489610672', '0.05207054689526558']"
3,"['7.276496887207031', '6.911217212677002', '6.685198783874512', '6.679079055786133', '6.623224258422852', '6.307579517364502', '6.302878379821777', '6.302232265472412', '6.310168743133545', '6.283660888671875', '6.305644512176514', '6.345623016357422', '6.306044101715088', '6.3362555503845215', '6.333934307098389', '6.317519187927246', '6.328830242156982', '6.308244228363037', '6.314918518066406', '6.315741062164307', '6.343193531036377', '6.330667972564697', '6.321453094482422', '6.330648899078369', '6.299359321594238', '6.290569305419922', '6.290102005004883']"
4,"['6.12595272064209', '6.152202129364014', '6.018576622009277', '6.026147842407227', '5.9932169914245605', '5.897856712341309', '5.89700174331665', '5.9010210037231445', '5.91585636138916', '5.893575191497803', '5.908843040466309', '5.920202255249023', '5.906994819641113', '5.924099922180176', '5.919074058532715', '5.909509658813477', '5.907548427581787', '5.906373977661133', '5.901412487030029', '5.901213645935059', '5.922656536102295', '5.91304349899292', '5.905734539031982', '5.9046430587768555', '5.8968892097473145', '5.896820545196533', '5.895803928375244']"
5,"['0.9794410467147827', '0.8682011365890503', '0.45532891154289246', '0.43138760328292847', '0.39243823289871216', '0.09269748628139496', '0.08765333890914917', '0.08403297513723373', '0.11663782596588135', '0.06228083372116089', '0.0995616689324379', '0.17019468545913696', '0.0980178713798523', '0.13269858062267303', '0.12568753957748413', '0.10442305356264114', '0.10400232672691345', '0.09232380241155624', '0.07267667353153229', '0.08820361644029617', '0.15612854063510895', '0.12224811315536499', '0.0965358093380928', '0.10023920238018036', '0.08833456039428711', '0.07750808447599411', '0.06574735790491104']"
6,"['3.108851909637451', '5.550198554992676', '2.54653000831604', '2.3877711296081543', '2.320749521255493', '2.166102647781372', '2.1610212326049805', '2.167114734649658', '2.186367988586426', '2.164403200149536', '2.184278964996338', '2.185051679611206', '2.175405740737915', '2.1912410259246826', '2.1897926330566406', '2.182379961013794', '2.173941135406494', '2.174072742462158', '2.1712212562561035', '2.1710188388824463', '2.1949498653411865', '2.1811106204986572', '2.1757547855377197', '2.1754984855651855', '2.1673905849456787', '2.170790672302246', '2.1693224906921387']"
7,"['2.6657471656799316', '2.1073691844940186', '1.033240795135498', '0.9094802737236023', '0.8091642260551453', '0.12588907778263092', '0.12394656985998154', '0.11912257224321365', '0.1599908322095871', '0.08764446526765823', '0.1250203400850296', '0.2169075906276703', '0.12584249675273895', '0.1907847821712494', '0.16624467074871063', '0.1363217830657959', '0.15405520796775818', '0.14350374042987823', '0.12767702341079712', '0.1201862096786499', '0.23364661633968353', '0.16387715935707092', '0.14246007800102234', '0.1549845039844513', '0.1035984456539154', '0.11360007524490356', '0.09632225334644318']"
8,"['24.572763442993164', '9.612696647644043', '5.3742289543151855', '2.7980034351348877', '2.4612035751342773', '0.07609334588050842', '0.06962788850069046', '0.09837984293699265', '0.15686169266700745', '0.06592734903097153', '0.14538057148456573', '0.38692378997802734', '0.14425215125083923', '0.257701575756073', '0.2728348970413208', '0.19757582247257233', '0.19496430456638336', '0.16151586174964905', '0.10920383781194687', '0.09900721162557602', '0.24136735498905182', '0.1623319685459137', '0.16455219686031342', '0.15004225075244904', '0.05189554765820503', '0.08270055800676346', '0.07621420919895172']"
