,0
0,<module 'time' (built-in)>
1,"['0.19439737498760223', '0.19807422161102295', '0.17089588940143585', '0.1914207935333252', '0.12383676320314407', '0.2843545973300934', '0.17872540652751923', '0.15575464069843292', '0.2130100429058075', '0.12325459718704224', '0.07221589982509613', '0.12442073971033096', '0.20659738779067993', '0.17118926346302032', '0.21894769370555878', '0.18603099882602692', '0.1695994734764099', '0.15262432396411896', '0.17030858993530273', '0.14079166948795319', '0.18722645938396454', '0.16638924181461334']"
2,"['15.705707550048828', '23.07529067993164', '17.997976303100586', '19.919275283813477', '17.18597412109375', '18.5849552154541', '44.1777458190918', '16.186731338500977', '27.998062133789062', '9.825936317443848', '7.532121181488037', '14.6204252243042', '14.343571662902832', '32.940696716308594', '36.66061019897461', '51.854801177978516', '28.058347702026367', '12.876717567443848', '29.53067398071289', '17.066864013671875', '35.1984748840332', '25.117162704467773']"
3,"['7.903676986694336', '7.669641971588135', '7.748860836029053', '8.377638816833496', '7.153105735778809', '11.886676788330078', '8.321250915527344', '8.718655586242676', '9.081806182861328', '7.962728977203369', '7.47616720199585', '7.745590686798096', '10.859131813049316', '9.278876304626465', '8.18563175201416', '9.091917991638184', '9.52769947052002', '9.875429153442383', '10.570218086242676', '8.766457557678223', '10.523262023925781', '8.050225257873535']"
4,"['6.716391563415527', '6.546494960784912', '6.541375160217285', '6.550347805023193', '6.249370098114014', '7.581354141235352', '6.356416702270508', '6.47917366027832', '6.760218620300293', '6.373985767364502', '6.077103137969971', '6.376073360443115', '6.958865165710449', '6.357399940490723', '6.971731662750244', '6.485690116882324', '6.410417556762695', '6.467658996582031', '6.254882335662842', '6.312464237213135', '6.485107421875', '6.312736988067627']"
5,"['1.053604245185852', '0.920279324054718', '0.8593721985816956', '0.8150526285171509', '0.6833416223526001', '1.128256916999817', '0.8326804041862488', '0.7472990155220032', '1.0912377834320068', '0.5134149193763733', '0.4317382872104645', '0.6632554531097412', '0.903221845626831', '0.7022215127944946', '0.6992824673652649', '0.8288416862487793', '0.8361982107162476', '0.8256999850273132', '0.8522156476974487', '0.6718728542327881', '0.8064764738082886', '0.5785500407218933']"
6,"['7.449852466583252', '11.822887420654297', '14.353985786437988', '11.3334321975708', '16.661623001098633', '13.672534942626953', '2.893118143081665', '2.85229754447937', '3.778968334197998', '2.6039133071899414', '2.413273572921753', '2.7272205352783203', '3.621570348739624', '2.4859228134155273', '2.5496935844421387', '3.206759214401245', '3.8435187339782715', '2.7883338928222656', '2.904832124710083', '2.555171251296997', '2.690290689468384', '2.433119535446167']"
7,"['0.5412026047706604', '0.5082667469978333', '0.5090538859367371', '0.5165631771087646', '0.3643244802951813', '0.7462427616119385', '0.5679961442947388', '0.45754826068878174', '0.6324988007545471', '0.383037269115448', '0.21899595856666565', '0.36473697423934937', '0.6584277153015137', '0.4694160223007202', '0.5384312272071838', '0.5432859659194946', '0.49701640009880066', '0.4839193522930145', '0.5291520357131958', '0.3822680115699768', '0.5646513104438782', '0.4378893971443176']"
8,"['68.34952545166016', '58.357662200927734', '61.8436279296875', '60.82847595214844', '63.51847839355469', '53.170204162597656', '47.27262496948242', '74.68854522705078', '59.06741714477539', '83.45477294921875', '88.14183807373047', '78.53784942626953', '70.43297576904297', '58.4488525390625', '54.55527877807617', '37.42721939086914', '59.55157470703125', '76.49462890625', '59.10945510864258', '75.11077117919922', '53.470314025878906', '68.50328063964844']"
