,0
0,<module 'time' (built-in)>
1,"['0.03982454165816307', '0.04700964316725731', '0.05495182052254677', '0.07261931151151657', '0.06522532552480698', '0.08122488856315613', '0.10177997499704361', '0.2064138948917389', '0.1229260116815567', '0.2278049737215042', '0.1705596148967743', '0.12865178287029266', '0.21427862346172333', '0.1463637501001358', '0.33805790543556213', '0.4737188518047333', '0.894324004650116', '0.7989822030067444', '0.7987489104270935', '1.102837324142456', '1.1075888872146606', '2.2899904251098633', '1.7670568227767944', '2.156846761703491', '1.8107352256774902', '1.7578516006469727']"
2,"['1.0249593257904053', '1.3485994338989258', '2.108245611190796', '1.725719690322876', '2.572740316390991', '2.0451488494873047', '2.037465810775757', '4.445041179656982', '2.5709285736083984', '5.038800239562988', '3.457594394683838', '2.6302125453948975', '4.907751083374023', '3.6548118591308594', '4.490458965301514', '4.68497371673584', '11.464941024780273', '10.787055015563965', '8.20915699005127', '9.020467758178711', '9.013383865356445', '15.111634254455566', '10.576553344726562', '10.081830024719238', '11.22417163848877', '10.336709022521973']"
3,"['6.599717617034912', '6.621079921722412', '6.71085262298584', '6.731618404388428', '6.75734806060791', '6.932089328765869', '7.821765422821045', '12.886548042297363', '8.829519271850586', '14.740270614624023', '16.69137954711914', '15.87204360961914', '19.006025314331055', '10.042263984680176', '10.23562240600586', '11.68173885345459', '20.162261962890625', '13.542884826660156', '16.503095626831055', '32.241241455078125', '29.524131774902344', '42.5298957824707', '17.941650390625', '26.408275604248047', '27.742412567138672', '19.066041946411133']"
4,"['5.948321342468262', '5.961162567138672', '5.978837013244629', '5.975948810577393', '5.971984386444092', '6.038559436798096', '6.029804229736328', '6.168298244476318', '6.059158802032471', '6.239350318908691', '6.073754787445068', '6.085223197937012', '6.263241767883301', '6.094573020935059', '6.267703533172607', '6.262270927429199', '7.128462791442871', '6.773958206176758', '6.985853672027588', '7.1859965324401855', '6.831427574157715', '7.268472194671631', '7.035717487335205', '7.0893073081970215', '7.082665920257568', '7.936509609222412']"
5,"['0.19943855702877045', '0.22898265719413757', '0.26213011145591736', '0.28482872247695923', '0.29026296734809875', '0.3213966488838196', '0.36422333121299744', '0.7357072830200195', '0.3978837728500366', '0.6702793836593628', '0.40781381726264954', '0.32692721486091614', '0.590889036655426', '0.4801763594150543', '1.092254877090454', '1.1761252880096436', '1.9815607070922852', '1.6706897020339966', '1.6704387664794922', '2.248351573944092', '2.2021169662475586', '2.801194906234741', '4.613967418670654', '6.382778167724609', '5.482083320617676', '3.1803653240203857']"
6,"['2.2478201389312744', '2.2962899208068848', '2.298102378845215', '2.269660234451294', '2.3033218383789062', '2.517885208129883', '2.455491781234741', '2.869403600692749', '2.4719631671905518', '2.717724561691284', '2.3816068172454834', '2.4206085205078125', '2.847881317138672', '2.6646933555603027', '3.3915326595306396', '2.6419594287872314', '2.9387543201446533', '2.8736536502838135', '2.797349214553833', '2.904376983642578', '2.927330255508423', '3.561612606048584', '3.854983329772949', '4.043148517608643', '3.830940008163452', '3.264468193054199']"
7,"['0.12517134845256805', '0.13995540142059326', '0.16686533391475677', '0.21293458342552185', '0.19203974306583405', '0.245439350605011', '0.2930559813976288', '0.5138695240020752', '0.37831375002861023', '0.6986509561538696', '0.5106163024902344', '0.3926115036010742', '0.6853452324867249', '0.4611049294471741', '0.8172121047973633', '0.7953343987464905', '1.5382275581359863', '1.2229772806167603', '1.2968171834945679', '1.7775537967681885', '1.9902576208114624', '2.568403720855713', '3.663984775543213', '4.137243747711182', '4.445871829986572', '2.628056526184082']"
8,"['97.41264343261719', '96.81035614013672', '95.76268005371094', '96.11720275878906', '95.15060424804688', '94.44499969482422', '93.03189849853516', '81.99630737304688', '90.6992416381836', '79.66151428222656', '81.41426086425781', '83.0337905883789', '75.95549011230469', '87.14582824707031', '82.7183837890625', '82.42020416259766', '63.3305549621582', '71.25112915039062', '70.75814819335938', '57.66395950317383', '59.73163986206055', '42.257232666015625', '58.50453186035156', '50.14810562133789', '49.56748580932617', '59.624916076660156']"
