,0
0,<module 'time' (built-in)>
1,"['0.7181732654571533', '0.711969256401062', '0.5525440573692322', '0.3284115195274353', '0.3837319016456604', '0.8543635606765747', '0.6677998900413513', '0.670447587966919', '0.7499754428863525', '0.5670855045318604', '0.6609551906585693', '0.913489580154419', '0.6947699189186096', '0.7986128330230713', '0.5872220993041992', '0.7635586857795715', '0.6073492765426636', '0.571182131767273', '0.6990578174591064', '0.40780365467071533', '0.5371181964874268', '0.7669479846954346']"
2,"['35.8990592956543', '8.551912307739258', '4.1512041091918945', '1.0009181499481201', '2.0777676105499268', '18.41436195373535', '39.020259857177734', '4.5817341804504395', '15.273712158203125', '5.927022933959961', '15.560503005981445', '18.629854202270508', '18.99983787536621', '13.51479721069336', '14.43758487701416', '11.256583213806152', '18.935457229614258', '4.812463283538818', '6.2309041023254395', '1.123368263244629', '3.2021842002868652', '8.096582412719727']"
3,"['6.655490398406982', '6.529775142669678', '6.519733428955078', '6.435098648071289', '6.464415073394775', '6.652249336242676', '6.778801918029785', '6.557565689086914', '6.616226673126221', '6.564374923706055', '6.614073276519775', '6.56884765625', '6.708159923553467', '6.602133750915527', '6.640332221984863', '6.757397174835205', '6.56415319442749', '6.509011268615723', '6.556325435638428', '6.452411651611328', '6.473024845123291', '6.516516208648682']"
4,"['6.0910749435424805', '6.058745384216309', '6.0341997146606445', '5.958105087280273', '5.985143661499023', '6.078927993774414', '6.073166370391846', '6.024478912353516', '6.057584762573242', '6.035792827606201', '6.0557475090026855', '6.033359050750732', '6.111602306365967', '6.114687442779541', '6.072893142700195', '6.139554977416992', '6.085557460784912', '6.061249256134033', '6.132983684539795', '6.009914875030518', '6.022961616516113', '6.080992698669434']"
5,"['22.84462547302246', '32.45905685424805', '30.020736694335938', '8.297247886657715', '10.856659889221191', '17.288175582885742', '10.85817813873291', '9.806143760681152', '12.646394729614258', '18.450944900512695', '27.386272430419922', '19.318572998046875', '14.501367568969727', '30.624526977539062', '12.223001480102539', '20.255762100219727', '28.945171356201172', '38.483734130859375', '41.573184967041016', '19.811386108398438', '63.83019256591797', '44.790306091308594']"
6,"['2.5488440990448', '2.5078041553497314', '2.402496337890625', '2.2830593585968018', '2.343994140625', '2.410865306854248', '2.476569175720215', '2.362114667892456', '2.5115742683410645', '2.4551587104797363', '2.5310654640197754', '2.41111159324646', '2.4009997844696045', '2.5026767253875732', '2.3715434074401855', '2.414161443710327', '2.573773145675659', '2.487755537033081', '2.6492373943328857', '2.417809009552002', '2.427422523498535', '2.577608585357666']"
7,"['1.4156560897827148', '1.1439452171325684', '0.9299662113189697', '0.4508214592933655', '0.5268884897232056', '1.697887659072876', '1.7371900081634521', '1.1597228050231934', '1.4775605201721191', '1.3190492391586304', '1.6809370517730713', '1.8425917625427246', '1.2124524116516113', '1.5576679706573486', '1.044536828994751', '1.3375096321105957', '1.634197473526001', '1.6417917013168335', '1.9265995025634766', '0.794173002243042', '1.5765507221221924', '2.032412528991699']"
8,"['36.54268264770508', '54.99122619628906', '62.59499740600586', '88.90079498291016', '84.8162841796875', '59.602630615234375', '45.1616096496582', '82.10665893554688', '67.5393295288086', '71.7408447265625', '52.351646423339844', '57.42826461791992', '62.289283752441406', '51.09455108642578', '69.7210464477539', '63.881675720214844', '47.41419982910156', '52.439571380615234', '46.79058074951172', '76.25988006591797', '29.14815330505371', '41.94178009033203']"
