,0
0,<module 'time' (built-in)>
1,"['96.8962631225586', '97.05325317382812', '97.79205322265625', '97.66667938232422', '98.16136169433594', '98.55374908447266', '99.40985107421875', '99.55488586425781', '98.91108703613281', '99.29625701904297', '99.01502990722656', '98.80123138427734', '98.84933471679688', '98.6943130493164', '98.48436737060547', '98.62580108642578', '98.49418640136719', '97.71998596191406', '97.95698547363281', '98.83141326904297', '99.31452178955078', '98.11060333251953', '97.8345947265625', '99.19544219970703']"
2,"['0.20059773325920105', '0.19797152280807495', '0.1682891696691513', '0.16226978600025177', '0.13099923729896545', '0.15162935853004456', '0.04990438371896744', '0.0425393171608448', '0.058421045541763306', '0.058185920119285583', '0.07906080782413483', '0.09163922816514969', '0.1044134721159935', '0.0749988928437233', '0.0825224444270134', '0.10135471820831299', '0.08352243155241013', '0.08736778050661087', '0.08830474317073822', '0.07462558895349503', '0.04868611693382263', '0.10577598214149475', '0.10914096236228943', '0.057873014360666275']"
3,"['6.678352355957031', '6.600063323974609', '6.529144287109375', '6.523072719573975', '6.494356632232666', '6.347449779510498', '6.305149078369141', '6.293095588684082', '6.3409342765808105', '6.303816318511963', '6.323685646057129', '6.363649845123291', '6.347299575805664', '6.340310096740723', '6.380036354064941', '6.359251499176025', '6.347125053405762', '6.36011266708374', '6.357489585876465', '6.363077640533447', '6.310073375701904', '6.377455711364746', '6.370537757873535', '6.312076091766357']"
4,"['5.975403785705566', '5.981759071350098', '5.95886754989624', '5.967832565307617', '5.952550888061523', '5.925419330596924', '5.89743709564209', '5.891817569732666', '5.905354976654053', '5.90092658996582', '5.910735130310059', '5.912429332733154', '5.913384914398193', '5.917050361633301', '5.934751510620117', '5.922463417053223', '5.918885231018066', '5.925162315368652', '5.92095947265625', '5.913995742797852', '5.900960445404053', '5.922206401824951', '5.928116798400879', '5.9004926681518555']"
5,"['0.49768587946891785', '0.5353409051895142', '0.3737933337688446', '0.4080055356025696', '0.33139365911483765', '0.2868383526802063', '0.08865204453468323', '0.08194184303283691', '0.25295495986938477', '0.14782452583312988', '0.20374025404453278', '0.228496715426445', '0.24850670993328094', '0.3043787181377411', '0.33309316635131836', '0.3207802176475525', '0.3223832845687866', '0.41926032304763794', '0.32704025506973267', '0.2032705396413803', '0.12927046418190002', '0.29732608795166016', '0.472957968711853', '0.1543724685907364']"
6,"['2.169628620147705', '2.1734182834625244', '2.1679282188415527', '2.1699604988098145', '2.165342330932617', '2.1668858528137207', '2.1545870304107666', '2.154648542404175', '2.1610851287841797', '2.1573469638824463', '2.1615984439849854', '2.163407564163208', '2.1624858379364014', '2.166609764099121', '2.1673390865325928', '2.165457010269165', '2.1623611450195312', '2.168407678604126', '2.1634602546691895', '2.161506414413452', '2.15748929977417', '2.1668860912323', '2.1674039363861084', '2.1572017669677734']"
7,"['1.0869204998016357', '0.958479642868042', '0.6960831880569458', '0.7768805027008057', '0.5358306169509888', '0.5664016008377075', '0.2290818840265274', '0.13192185759544373', '0.39071565866470337', '0.23901817202568054', '0.3294827342033386', '0.38172033429145813', '0.37320345640182495', '0.4573265612125397', '0.4623246490955353', '0.43066510558128357', '0.6298928260803223', '1.296308994293213', '1.1994868516921997', '0.45904847979545593', '0.2585449814796448', '0.987842321395874', '1.06940758228302', '0.334025114774704']"
8,"['0.15482079982757568', '0.20850519835948944', '0.13635867834091187', '0.13377884030342102', '0.09865852445363998', '0.050653375685214996', '0.03026549145579338', '0.03506728261709213', '0.08168701827526093', '0.050571341067552567', '0.08518051356077194', '0.12081505358219147', '0.08081882447004318', '0.11547102779150009', '0.15707114338874817', '0.12025226652622223', '0.1123289242386818', '0.0573110431432724', '0.04109729453921318', '0.05876767262816429', '0.027996504679322243', '0.05784047394990921', '0.06923633813858032', '0.03557927533984184']"
