,0
0,<module 'time' (built-in)>
1,"['2.2533316612243652', '1.9946211576461792', '1.9036242961883545', '2.944038152694702', '2.247666120529175', '1.0858914852142334', '1.6908619403839111', '2.5554840564727783', '1.8081492185592651', '1.5616122484207153', '1.6887165307998657', '0.5321577787399292', '0.9917030334472656', '1.02614426612854', '0.8311119079589844', '1.059958577156067', '0.8601880669593811', '1.7669942378997803', '0.7085624933242798', '1.0126619338989258', '1.7757694721221924', '0.9208881258964539', '1.948220133781433']"
2,"['15.270323753356934', '6.870134353637695', '5.265108108520508', '7.5844407081604', '7.911542892456055', '57.004974365234375', '32.953468322753906', '41.03037643432617', '46.34804916381836', '61.61616516113281', '62.42802810668945', '87.45230102539062', '80.00379180908203', '63.46072006225586', '57.61087417602539', '23.858774185180664', '38.569950103759766', '37.14503479003906', '76.21990966796875', '47.73743438720703', '17.500957489013672', '38.83207321166992', '30.364700317382812']"
3,"['7.424612522125244', '6.978519439697266', '7.011551380157471', '7.445687770843506', '7.25770378112793', '6.863419055938721', '6.852649688720703', '6.990427017211914', '6.920610427856445', '6.716939926147461', '6.968482494354248', '6.5279693603515625', '6.600892543792725', '6.580630779266357', '6.547203063964844', '6.594050884246826', '6.650134086608887', '6.762299060821533', '6.509483814239502', '6.574680805206299', '6.6759934425354', '6.600598335266113', '6.699126243591309']"
4,"['6.278999328613281', '6.13571834564209', '6.164956569671631', '6.309978485107422', '6.270057678222656', '6.331613540649414', '6.329731464385986', '6.324687480926514', '6.201637268066406', '6.157695770263672', '6.238698959350586', '5.989743709564209', '6.070520401000977', '6.135076999664307', '6.12032413482666', '6.171411514282227', '6.157102108001709', '6.342894554138184', '6.049829006195068', '6.134224891662598', '6.406219482421875', '6.167355537414551', '6.499812126159668']"
5,"['52.172821044921875', '70.67092895507812', '61.6363525390625', '54.01537322998047', '46.333255767822266', '5.609197616577148', '17.81675148010254', '13.411866188049316', '15.217267036437988', '9.302684783935547', '12.139091491699219', '2.2061445713043213', '5.441600322723389', '5.995766639709473', '7.228653907775879', '10.547224998474121', '9.330052375793457', '6.990735054016113', '3.01550030708313', '4.256227016448975', '4.980759620666504', '2.50178599357605', '16.548234939575195']"
6,"['2.5346550941467285', '2.417850971221924', '2.4969570636749268', '2.5812251567840576', '2.5312893390655518', '3.461575508117676', '3.52482533454895', '3.0589115619659424', '2.5993566513061523', '2.7120680809020996', '2.8419759273529053', '2.351849317550659', '2.5538759231567383', '3.2185256481170654', '4.095338344573975', '3.5040645599365234', '2.909712791442871', '6.425739288330078', '3.627155065536499', '4.623087406158447', '35.26864242553711', '3.323528289794922', '35.284061431884766']"
7,"['4.139927864074707', '4.161698341369629', '3.4327707290649414', '4.390038967132568', '4.267584800720215', '3.1647448539733887', '3.834500551223755', '5.647706031799316', '4.95175313949585', '2.819920778274536', '3.9418716430664062', '1.1033203601837158', '2.4221537113189697', '1.7796846628189087', '2.3837575912475586', '1.8673235177993774', '1.7582558393478394', '3.8071279525756836', '1.1530307531356812', '1.9287971258163452', '3.141866683959961', '3.414501905441284', '6.109593868255615']"
8,"['21.77620506286621', '13.395400047302246', '24.4894962310791', '26.434141159057617', '35.16954040527344', '27.348825454711914', '37.810997009277344', '32.25178909301758', '28.18211555480957', '21.386653900146484', '15.486886024475098', '7.209815979003906', '8.702777862548828', '23.50294303894043', '26.062047958374023', '57.69723129272461', '45.787776947021484', '40.111656188964844', '14.158852577209473', '38.206146240234375', '47.92491149902344', '49.74274444580078', '20.074827194213867']"
