,0
0,<module 'time' (built-in)>
1,"['1.662844181060791', '1.6133116483688354', '1.5281989574432373', '2.058704137802124', '1.3933422565460205', '1.1410019397735596', '0.9256291389465332', '0.9136451482772827', '1.5669176578521729', '1.5377330780029297', '0.6747375130653381', '2.404232978820801', '1.1513501405715942', '1.34354829788208', '0.8658667206764221', '0.9250327944755554', '0.22529177367687225', '0.5373073220252991', '1.2012221813201904', '1.5991231203079224', '1.9631050825119019', '1.6621930599212646', '1.6418224573135376', '0.8701349496841431', '0.4153384864330292', '0.6999793648719788', '0.503193199634552']"
2,"['4.206878185272217', '3.3411269187927246', '4.267152309417725', '5.030851364135742', '4.5266852378845215', '2.0560925006866455', '1.7835700511932373', '1.7453802824020386', '4.106563091278076', '3.2997357845306396', '1.3923213481903076', '5.478971004486084', '6.8531622886657715', '4.2447829246521', '1.6463398933410645', '2.166175127029419', '0.4308696985244751', '1.2087351083755493', '3.3872835636138916', '7.263839244842529', '7.023968696594238', '5.896953105926514', '6.290385723114014', '2.3330678939819336', '1.0025980472564697', '1.6174654960632324', '1.2004313468933105']"
3,"['7.021962642669678', '6.891573429107666', '6.87030553817749', '6.993715286254883', '6.8946003913879395', '6.568533897399902', '6.502108097076416', '6.462101459503174', '6.620362281799316', '6.8472700119018555', '6.594315052032471', '6.850012302398682', '6.858700752258301', '6.827701568603516', '6.598267078399658', '6.583461284637451', '6.336150169372559', '6.4314680099487305', '6.637815952301025', '6.680332183837891', '6.9882588386535645', '6.914309978485107', '6.982726573944092', '6.5383477210998535', '6.375400066375732', '6.454030513763428', '6.392624855041504']"
4,"['7.388688087463379', '8.356539726257324', '7.843090534210205', '9.035438537597656', '8.162099838256836', '6.457064151763916', '6.406545639038086', '6.324306964874268', '6.92134952545166', '6.975784778594971', '6.345415115356445', '7.1342597007751465', '6.836219310760498', '6.611642360687256', '6.289292812347412', '6.807055473327637', '6.040760517120361', '6.223006725311279', '6.6051764488220215', '7.219367504119873', '7.075737953186035', '7.285558223724365', '7.108096599578857', '6.452026844024658', '6.148619174957275', '6.364934921264648', '6.163066864013672']"
5,"['5.660265922546387', '4.276352882385254', '5.301810264587402', '5.820319652557373', '4.547479152679443', '1.999652624130249', '2.7535855770111084', '3.1508617401123047', '4.410045623779297', '4.018111705780029', '2.7104604244232178', '8.093162536621094', '4.540290832519531', '4.363499164581299', '1.855807900428772', '1.3648006916046143', '0.5297379493713379', '1.316009521484375', '2.942335844039917', '3.2359044551849365', '3.7421982288360596', '5.452386856079102', '3.9088215827941895', '2.668233871459961', '1.0187119245529175', '1.5549333095550537', '1.1860053539276123']"
6,"['2.6314756870269775', '2.677820920944214', '2.5850234031677246', '2.76306414604187', '2.6551923751831055', '2.3991148471832275', '2.3658578395843506', '2.3322598934173584', '2.548708915710449', '2.5888216495513916', '2.3549232482910156', '3.1012320518493652', '2.54793381690979', '2.6362035274505615', '2.3731296062469482', '2.3369221687316895', '2.2107162475585938', '2.325029134750366', '2.5233664512634277', '3.012094020843506', '2.809725284576416', '2.934852123260498', '2.732811212539673', '2.443420886993408', '2.2732558250427246', '2.380636215209961', '2.2901713848114014']"
7,"['29.61209487915039', '12.153051376342773', '26.29942512512207', '20.064212799072266', '26.05706214904785', '33.347354888916016', '77.22953796386719', '81.05699157714844', '62.89058303833008', '59.788978576660156', '82.41312408447266', '34.68339920043945', '59.45124816894531', '41.3314094543457', '58.59518814086914', '74.27054595947266', '92.12347412109375', '80.28219604492188', '60.687191009521484', '3.8043267726898193', '17.027603149414062', '18.327564239501953', '21.397218704223633', '66.61181640625', '85.94727325439453', '73.36841583251953', '82.219482421875']"
8,"['52.29737091064453', '70.17399597167969', '55.48101806640625', '56.900604248046875', '55.471046447753906', '58.546852111816406', '14.749974250793457', '10.960064888000488', '22.47670555114746', '26.149290084838867', '10.262506484985352', '42.46796798706055', '23.214744567871094', '44.27260971069336', '34.56852340698242', '17.6824951171875', '5.873232364654541', '14.8204984664917', '28.018756866455078', '77.55708312988281', '63.9658203125', '61.733360290527344', '60.62101745605469', '24.546051025390625', '10.241683959960938', '20.35263442993164', '13.392681121826172']"
