,0
0,<module 'time' (built-in)>
1,"['0.12103588134050369', '0.2874144911766052', '0.06821883469820023', '0.2349003404378891', '0.24200859665870667', '1.2222034931182861', '1.099096655845642', '0.990175187587738', '1.0898511409759521', '1.2956464290618896', '0.015814263373613358', '0.026540659368038177', '0.04334729164838791', '0.08322767913341522', '0.1673547625541687', '0.056875020265579224', '0.05116111785173416', '0.014803025871515274', '0.058467913419008255', '0.0750872865319252', '0.09265942126512527', '0.00932816881686449', '0.03515936806797981', '0.25145643949508667']"
2,"['1.3225294351577759', '0.7862228751182556', '0.2632799744606018', '1.0321180820465088', '1.4645291566848755', '11.097153663635254', '7.593869209289551', '12.903393745422363', '4.4675612449646', '4.400131702423096', '0.08366084098815918', '0.1471434086561203', '0.3420998454093933', '0.21188901364803314', '0.7498345971107483', '0.3030688166618347', '0.2703043818473816', '0.04753878712654114', '0.20817846059799194', '0.3256780803203583', '0.4134245216846466', '0.030562125146389008', '0.14436690509319305', '1.6551990509033203']"
3,"['6.320746421813965', '6.485498905181885', '6.302837371826172', '6.4051995277404785', '6.405818462371826', '7.792139053344727', '8.793371200561523', '8.16777515411377', '7.543374061584473', '7.902611255645752', '6.258861064910889', '6.268096923828125', '6.270482540130615', '6.289956569671631', '6.34736442565918', '6.284284591674805', '6.280893802642822', '6.2575860023498535', '6.289018154144287', '6.307760715484619', '6.32568359375', '6.255881309509277', '6.276399612426758', '6.538926601409912']"
4,"['5.970330715179443', '6.1604814529418945', '5.9489827156066895', '6.073942184448242', '6.128026962280273', '9.879192352294922', '19.16452980041504', '26.91116714477539', '30.519500732421875', '12.294405937194824', '5.892978668212891', '5.934364318847656', '5.980497360229492', '6.438287258148193', '6.977252006530762', '6.027472019195557', '6.1661553382873535', '5.951996803283691', '6.196409702301025', '6.369325637817383', '6.295649528503418', '5.889021396636963', '6.019730567932129', '8.633993148803711']"
5,"['0.29809513688087463', '0.6419703364372253', '0.17034251987934113', '0.4357929229736328', '0.5983178615570068', '6.8844170570373535', '5.124939441680908', '5.474564552307129', '4.920105457305908', '6.137342929840088', '0.03536495193839073', '0.08067500591278076', '0.11836999654769897', '0.3100903332233429', '0.6919044256210327', '0.21814443171024323', '0.2801164984703064', '0.05725834518671036', '0.2827008068561554', '0.34223464131355286', '0.42573994398117065', '0.030592337250709534', '0.18675965070724487', '1.6031516790390015']"
6,"['99.99578094482422', '99.99382019042969', '99.99651336669922', '99.99472045898438', '99.99422454833984', '98.05523681640625', '97.51105499267578', '89.53467559814453', '96.62896728515625', '99.56124114990234', '99.99702453613281', '99.99687957763672', '99.9966812133789', '99.99590301513672', '99.99373626708984', '99.99649810791016', '99.99629974365234', '99.99696350097656', '99.99626922607422', '99.99576568603516', '99.99556732177734', '99.9970703125', '99.99664306640625', '99.98294067382812']"
7,"['0.27724045515060425', '0.8392689824104309', '0.21325059235095978', '0.544426679611206', '0.6741319298744202', '3.6406853199005127', '3.0756824016571045', '3.7301025390625', '3.2300570011138916', '3.7730000019073486', '0.054158397018909454', '0.1329738348722458', '0.1691751927137375', '0.2910194396972656', '0.6037185788154602', '0.27849629521369934', '0.30529600381851196', '0.0861891433596611', '0.35341593623161316', '0.49744775891304016', '0.5846272706985474', '0.05287502333521843', '0.2636823058128357', '1.7888782024383545']"
8,"['0.3384319245815277', '1.6537103652954102', '0.3948834240436554', '1.2446699142456055', '0.9949893951416016', '11.83596420288086', '6.534287452697754', '5.3601393699646', '4.660195350646973', '4.705056190490723', '0.04089611396193504', '0.04570885747671127', '0.07491590827703476', '0.1140684112906456', '0.37626320123672485', '0.10703986883163452', '0.09933275729417801', '0.010570240207016468', '0.06862612813711166', '0.12937140464782715', '0.33557066321372986', '0.02161094918847084', '0.07261966168880463', '0.4918920397758484']"
