,0
0,<module 'time' (built-in)>
1,"['0.062282744795084', '0.012720650993287563', '0.015116618014872074', '0.019124459475278854', '0.0462648943066597', '0.7147510647773743', '0.8709614276885986', '0.75054931640625', '0.13882987201213837', '0.06444180011749268', '0.05063369870185852', '0.02101169340312481', '0.027610817924141884', '0.166233092546463', '0.2741004228591919', '0.543028712272644', '0.5191950798034668', '0.42869657278060913', '0.5532968044281006', '0.9745028018951416']"
2,"['1.7316577434539795', '0.12408754229545593', '0.3305935263633728', '0.2762831747531891', '0.36973127722740173', '3.282684564590454', '17.198427200317383', '9.27114200592041', '3.802903413772583', '0.7376766800880432', '0.259372740983963', '0.06280376762151718', '0.07815633714199066', '0.49101147055625916', '1.2527514696121216', '3.9071385860443115', '6.374518394470215', '2.860538959503174', '10.742881774902344', '11.382323265075684']"
3,"['6.290616035461426', '6.258617877960205', '6.262763500213623', '6.26299524307251', '6.277144908905029', '6.817188739776611', '6.997115135192871', '6.749083995819092', '6.364971160888672', '6.289462089538574', '6.277794361114502', '6.264472007751465', '6.268078804016113', '6.37298583984375', '6.445950508117676', '6.724593162536621', '6.99929141998291', '6.614370822906494', '6.921573638916016', '8.011487007141113']"
4,"['5.93037748336792', '5.893816947937012', '5.894782543182373', '5.904476165771484', '5.93825101852417', '7.915501117706299', '7.859273910522461', '6.357655048370361', '5.960428237915039', '5.912367820739746', '5.901819229125977', '5.884931564331055', '5.887230396270752', '5.969501495361328', '6.283727169036865', '8.587141036987305', '8.200427055358887', '6.7441606521606445', '6.993863582611084', '8.414379119873047']"
5,"['0.36188986897468567', '0.04485633596777916', '0.07398173958063126', '0.07547024637460709', '0.23789967596530914', '3.7501044273376465', '35.046077728271484', '47.42109680175781', '93.75750732421875', '96.55754089355469', '98.00605773925781', '99.7336654663086', '99.5968017578125', '95.70234680175781', '29.66679573059082', '14.459122657775879', '4.493166446685791', '2.1170828342437744', '4.497297286987305', '4.73452615737915']"
6,"['99.99581909179688', '99.99701690673828', '99.99690246582031', '99.99688720703125', '99.99665832519531', '99.96521759033203', '80.54917907714844', '83.70397186279297', '2.5853960514068604', '2.9408037662506104', '2.597095012664795', '2.169644594192505', '2.19174861907959', '3.0577311515808105', '99.61885070800781', '99.67202758789062', '99.85797882080078', '58.63863754272461', '5.504546165466309', '17.179443359375']"
7,"['0.2075706422328949', '0.06046508252620697', '0.07372332364320755', '0.11327469348907471', '0.1918446272611618', '1.6786892414093018', '2.3770554065704346', '1.5322877168655396', '0.3587195873260498', '0.1591544896364212', '0.12004780769348145', '0.03820193186402321', '0.061588797718286514', '0.44873714447021484', '1.2466049194335938', '2.796170234680176', '1.7177032232284546', '1.4943335056304932', '2.9284346103668213', '9.84382152557373']"
8,"['0.08477907627820969', '0.014406867325305939', '0.015234336256980896', '0.02209298312664032', '0.038330625742673874', '2.2470476627349854', '1.7703380584716797', '0.6286762952804565', '0.1576705127954483', '0.045609958469867706', '0.07438822835683823', '0.016004256904125214', '0.02168312296271324', '0.15896470844745636', '0.41224098205566406', '4.543463230133057', '7.522616386413574', '61.02492141723633', '70.4023666381836', '48.48130798339844']"
