,0
0,<module 'time' (built-in)>
1,"['2.960456371307373', '1.3982434272766113', '12.580930709838867', '3.1986441612243652', '2.309964418411255', '14.891947746276855', '10.983295440673828', '8.588018417358398', '1.395497441291809', '4.963523864746094', '4.59216833114624', '6.372711181640625', '9.015936851501465', '2.427734851837158', '13.221343040466309', '6.558306694030762', '5.226578235626221', '10.599261283874512', '0.5281375050544739', '11.467755317687988', '6.077025890350342', '7.624355792999268', '7.531757831573486', '2.8648831844329834', '5.711026668548584', '18.68547821044922', '4.969448089599609', '13.453104972839355', '17.86157989501953']"
2,"['52.36865234375', '88.00456237792969', '44.188804626464844', '75.65682220458984', '84.62213897705078', '65.28693389892578', '36.72578430175781', '43.864845275878906', '89.34156799316406', '31.81492042541504', '78.10975646972656', '59.32419967651367', '20.23078727722168', '54.87224578857422', '35.33735656738281', '44.30342102050781', '47.93840408325195', '58.69907760620117', '93.51057434082031', '62.47727966308594', '63.2720947265625', '30.53116226196289', '51.583553314208984', '70.26934051513672', '46.508399963378906', '51.4991569519043', '25.39607810974121', '29.362123489379883', '26.695663452148438']"
3,"['7.1804070472717285', '6.434115886688232', '6.732996463775635', '6.557101726531982', '6.391808986663818', '6.781965255737305', '6.878881931304932', '6.9749250411987305', '6.582674503326416', '7.552300930023193', '6.9093217849731445', '6.875941753387451', '7.26826286315918', '6.710129261016846', '7.268126964569092', '6.790111064910889', '6.9824442863464355', '6.768710136413574', '6.390400409698486', '6.848680019378662', '6.985145092010498', '8.463186264038086', '7.78975772857666', '6.575541019439697', '6.879241943359375', '6.760679244995117', '7.037775039672852', '8.496027946472168', '7.395630359649658']"
4,"['6.173369884490967', '5.974181652069092', '6.088737964630127', '6.022407531738281', '5.9341559410095215', '6.052212238311768', '6.148859977722168', '6.36293363571167', '5.953243255615234', '6.434257984161377', '6.072227954864502', '6.132833480834961', '6.238943099975586', '6.1184892654418945', '6.231542110443115', '6.126331329345703', '6.081631183624268', '6.038220405578613', '5.8997578620910645', '6.111336708068848', '6.056532382965088', '6.847421169281006', '6.315476417541504', '6.121464729309082', '6.226078987121582', '6.18202018737793', '6.27595853805542', '6.675642013549805', '6.470281600952148']"
5,"['2.807621479034424', '0.902292788028717', '2.5620481967926025', '1.7033498287200928', '0.5511787533760071', '1.7960197925567627', '3.605448007583618', '4.700435638427734', '1.0057834386825562', '2.801898956298828', '1.8790727853775024', '4.1331467628479', '3.484236478805542', '2.2472078800201416', '3.3304173946380615', '2.8821678161621094', '1.5344918966293335', '1.448415756225586', '0.46362486481666565', '3.3990795612335205', '4.573129653930664', '5.381398677825928', '3.769209623336792', '2.7898776531219482', '4.523244857788086', '3.5172014236450195', '2.2582316398620605', '3.975506067276001', '4.973460674285889']"
6,"['30.3409366607666', '3.1925976276397705', '4.630838871002197', '4.806807041168213', '3.217839479446411', '3.8739190101623535', '5.646358013153076', '16.683000564575195', '2.9865434169769287', '87.53170013427734', '3.829683780670166', '5.4721527099609375', '6.481746673583984', '10.745028495788574', '4.332066535949707', '5.5855712890625', '3.33219313621521', '3.450718402862549', '2.436245918273926', '4.115558624267578', '2.6197054386138916', '13.698647499084473', '4.1924896240234375', '9.197150230407715', '12.365906715393066', '15.399280548095703', '3.458015203475952', '5.101910591125488', '8.315618515014648']"
7,"['1.1726642847061157', '0.5193098187446594', '1.2189213037490845', '0.6744393110275269', '0.25387391448020935', '0.8022851347923279', '1.5260379314422607', '2.615086317062378', '0.4120549261569977', '2.5055019855499268', '1.7603689432144165', '1.9483741521835327', '1.4555171728134155', '1.3171027898788452', '2.901503324508667', '1.6310467720031738', '1.5875529050827026', '1.0717908143997192', '0.2565625011920929', '1.9370986223220825', '4.166285037994385', '7.7822113037109375', '3.3489675521850586', '1.0268265008926392', '2.113755702972412', '1.68899667263031', '2.066664695739746', '2.241851568222046', '3.0315983295440674']"
8,"['17.262168884277344', '5.700194358825684', '32.400489807128906', '11.946684837341309', '8.918771743774414', '11.483906745910645', '38.224849700927734', '22.125534057617188', '4.6238627433776855', '13.73462200164795', '7.719196319580078', '19.566020965576172', '54.932167053222656', '25.695844650268555', '37.32696533203125', '35.99081039428711', '38.627925872802734', '23.344181060791016', '3.9959545135498047', '14.262591361999512', '18.62263298034668', '28.598731994628906', '25.041030883789062', '11.062644004821777', '26.00520896911621', '8.017796516418457', '59.35811233520508', '38.82087326049805', '33.87693405151367']"
