,0
0,<module 'time' (built-in)>
1,"['6.661768913269043', '10.306782722473145', '10.634891510009766', '10.165360450744629', '11.842965126037598', '4.1392083168029785', '6.141607284545898', '0.7419706583023071', '4.246407508850098', '5.0662031173706055', '3.370988368988037', '3.2269537448883057', '3.5707831382751465', '3.101095676422119', '4.591402053833008', '5.274285793304443', '4.352747440338135', '5.439048767089844', '3.784900426864624', '2.7023162841796875', '0.3685397505760193', '1.8923276662826538', '1.5590033531188965', '1.4750310182571411', '1.2722136974334717', '1.1318788528442383', '0.8605822920799255']"
2,"['2.581057071685791', '2.7079944610595703', '4.697575092315674', '8.34184741973877', '4.088617324829102', '1.9330945014953613', '2.798809051513672', '2.3838608264923096', '1.5227875709533691', '2.5065596103668213', '5.2031731605529785', '1.396247148513794', '1.8836630582809448', '4.008147716522217', '5.645537853240967', '8.974733352661133', '5.5007734298706055', '1.8083758354187012', '1.187545895576477', '1.2003207206726074', '0.9996594786643982', '1.9105112552642822', '1.216780662536621', '1.225062608718872', '1.0795296430587769', '0.7922569513320923', '0.8464789986610413']"
3,"['7.481043815612793', '8.13528060913086', '8.245330810546875', '8.476805686950684', '8.187176704406738', '6.7704668045043945', '6.84721040725708', '6.594440937042236', '6.829290866851807', '6.9942755699157715', '6.835503101348877', '6.855334281921387', '6.743312835693359', '7.0167741775512695', '7.117365837097168', '7.4587836265563965', '7.5184478759765625', '7.185669422149658', '7.275453090667725', '7.348864555358887', '6.480103015899658', '7.149280071258545', '7.284377574920654', '6.988521575927734', '6.900636196136475', '6.803096294403076', '6.705450057983398']"
4,"['7.226293563842773', '9.667147636413574', '10.669623374938965', '10.995321273803711', '8.887157440185547', '6.32936429977417', '6.5479302406311035', '6.124454498291016', '6.442687034606934', '6.468961238861084', '6.335116863250732', '6.357637882232666', '6.352489471435547', '6.772879600524902', '7.420051097869873', '7.662848472595215', '7.190931797027588', '6.939428329467773', '6.913497447967529', '6.745673179626465', '6.087242603302002', '6.8428239822387695', '6.804284572601318', '6.933328628540039', '6.468587398529053', '6.453488826751709', '6.192773818969727']"
5,"['33.30038833618164', '31.777477264404297', '24.105018615722656', '23.01936149597168', '33.75421905517578', '27.624568939208984', '27.800003051757812', '2.003542900085449', '16.940895080566406', '30.845979690551758', '18.781856536865234', '29.940685272216797', '24.324195861816406', '20.280834197998047', '34.30864715576172', '21.479442596435547', '15.495695114135742', '9.70300006866455', '11.37114143371582', '12.540915489196777', '1.1207765340805054', '13.015392303466797', '10.522522926330566', '13.431156158447266', '31.75135612487793', '17.3106632232666', '9.59805965423584']"
6,"['3.988616466522217', '5.184317588806152', '7.708394527435303', '14.256879806518555', '5.591339111328125', '2.863785743713379', '3.442046880722046', '3.9776079654693604', '3.1952579021453857', '3.120784282684326', '3.072831630706787', '3.0057950019836426', '2.842118740081787', '2.9059228897094727', '3.2193801403045654', '3.4659929275512695', '3.741718053817749', '4.2084150314331055', '4.07805871963501', '3.299823760986328', '3.719414472579956', '3.8637678623199463', '3.6785013675689697', '3.808540105819702', '3.1845643520355225', '2.786073684692383', '2.5148251056671143']"
7,"['7.171192646026611', '7.352340221405029', '8.918596267700195', '8.25537395477295', '7.741734981536865', '4.201395511627197', '5.364264011383057', '1.6755987405776978', '4.536278247833252', '5.199426651000977', '3.7672064304351807', '4.308007717132568', '3.914621114730835', '2.8130574226379395', '3.4812185764312744', '5.033658504486084', '5.372012615203857', '4.2610273361206055', '3.2602462768554688', '3.6509084701538086', '0.7635745406150818', '3.2463788986206055', '3.1853270530700684', '2.760058641433716', '2.0757381916046143', '3.2069389820098877', '1.7931901216506958']"
8,"['40.27997589111328', '30.13974952697754', '29.156890869140625', '22.05817222595215', '25.59829330444336', '57.86119079589844', '51.64463424682617', '87.42422485351562', '67.33238983154297', '50.76863098144531', '63.99443054199219', '56.31248474121094', '62.112945556640625', '63.92616653442383', '43.72199630737305', '49.34688949584961', '59.754608154296875', '69.54521179199219', '71.28718566894531', '72.60258483886719', '91.77915954589844', '71.60305786132812', '75.3976058959961', '72.95502471923828', '58.23076248168945', '73.14702606201172', '84.06261444091797']"
