,0
0,<module 'time' (built-in)>
1,"['0.8226887583732605', '1.3965703248977661', '1.0949599742889404', '0.9797374606132507', '0.7674286365509033', '1.5559062957763672', '1.473596453666687', '2.6708295345306396', '1.991276502609253', '0.21930046379566193', '1.8558273315429688', '1.621891975402832', '3.5001635551452637', '1.9871013164520264', '1.3782047033309937', '1.1391615867614746', '3.6307005882263184', '2.080193042755127', '8.496065139770508', '10.78607177734375', '1.466694712638855', '5.558536529541016', '18.39034652709961', '37.64122009277344', '5.680954933166504', '2.8413562774658203', '6.041024208068848', '0.2682565748691559']"
2,"['8.088238716125488', '16.266557693481445', '25.486173629760742', '14.182249069213867', '8.72707462310791', '6.155887603759766', '6.806159973144531', '9.294090270996094', '56.44279098510742', '0.7635600566864014', '2.088789701461792', '0.8634263873100281', '3.4548699855804443', '2.303011894226074', '1.0673447847366333', '0.8125381469726562', '1.4402885437011719', '1.2630314826965332', '2.434943914413452', '24.09583854675293', '0.9906442761421204', '0.43543827533721924', '0.86659175157547', '0.8946526050567627', '11.934640884399414', '15.58707332611084', '2.3138418197631836', '0.2997029721736908']"
3,"['7.660310745239258', '9.767101287841797', '9.543370246887207', '8.875744819641113', '7.607032299041748', '6.923271179199219', '6.7935028076171875', '6.6829094886779785', '7.048286437988281', '6.720235347747803', '8.26619815826416', '6.715526580810547', '7.052445411682129', '7.357433319091797', '15.029390335083008', '10.799324989318848', '12.481001853942871', '10.373429298400879', '7.4534149169921875', '7.599240303039551', '6.689287185668945', '6.62681770324707', '6.9304518699646', '6.7615227699279785', '8.375676155090332', '7.656877517700195', '7.307051181793213', '6.329108715057373']"
4,"['16.102672576904297', '16.512487411499023', '12.376546859741211', '21.218473434448242', '16.468128204345703', '41.85594940185547', '8.198729515075684', '7.832996368408203', '8.217710494995117', '6.341367721557617', '8.017424583435059', '19.13924217224121', '57.30698013305664', '11.967105865478516', '73.20475006103516', '90.10734558105469', '73.7052993774414', '29.3466796875', '9.87199592590332', '12.967660903930664', '6.1309494972229', '6.139498233795166', '6.424263954162598', '6.245448112487793', '40.619651794433594', '8.110062599182129', '8.604059219360352', '6.15710973739624']"
5,"['0.8765630722045898', '1.377658486366272', '1.3455218076705933', '1.0944474935531616', '0.6570447087287903', '5.0739874839782715', '71.68569946289062', '7.713803768157959', '18.579700469970703', '1.7061833143234253', '66.48822784423828', '63.18956756591797', '15.532549858093262', '8.01873779296875', '7.693626880645752', '3.381706476211548', '10.56185531616211', '31.495302200317383', '1.311775803565979', '6.383636474609375', '0.36158087849617004', '0.265140563249588', '0.4753270745277405', '0.36578279733657837', '17.3687801361084', '4.108818054199219', '1.6800235509872437', '0.3677065968513489']"
6,"['2.7144532203674316', '3.075138807296753', '2.939664840698242', '3.0027334690093994', '2.5376522541046143', '4.789346218109131', '3.171630859375', '3.8460757732391357', '3.0768065452575684', '2.417330741882324', '2.713967800140381', '2.7544898986816406', '3.699573516845703', '2.7704622745513916', '3.123466968536377', '2.9415485858917236', '6.233051300048828', '10.474681854248047', '2.563370704650879', '5.206517219543457', '2.2302465438842773', '2.259122133255005', '2.342365026473999', '2.3170225620269775', '5.825994968414307', '4.435335636138916', '2.802732467651367', '2.745048999786377']"
7,"['3.1091907024383545', '3.3761582374572754', '2.745000123977661', '2.052541732788086', '1.3390854597091675', '4.725171089172363', '3.209686756134033', '2.4178738594055176', '2.446962833404541', '0.38486409187316895', '3.598400592803955', '2.409696578979492', '5.929366111755371', '1.5325652360916138', '2.885326623916626', '4.703712463378906', '1.8296865224838257', '2.90063214302063', '0.8492400050163269', '3.170830488204956', '0.24111081659793854', '0.5448836088180542', '0.9075280427932739', '0.6797009110450745', '5.976194858551025', '4.339656829833984', '1.503899097442627', '0.14399872720241547']"
8,"['66.1546859741211', '52.199989318847656', '49.58251953125', '53.10580825805664', '67.73335266113281', '38.99210739135742', '7.650472164154053', '68.27354431152344', '11.087625503540039', '93.96662139892578', '15.818634986877441', '9.385154724121094', '20.462167739868164', '70.70679473876953', '16.673603057861328', '6.5589799880981445', '9.287558555603027', '15.91370677947998', '75.06935119628906', '33.745845794677734', '95.1512451171875', '91.40971374511719', '76.03633880615234', '57.92908477783203', '12.46127700805664', '60.188907623291016', '78.48451232910156', '96.26029968261719']"
