,0
0,<module 'time' (built-in)>
1,"['0.5888432264328003', '0.19391141831874847', '0.3032788634300232', '1.870353102684021', '2.435513973236084', '1.4779037237167358', '0.4341294467449188', '0.6633983850479126', '0.10186446458101273', '0.18005704879760742', '0.3383277356624603', '1.3897736072540283', '0.3176831901073456', '0.2833620309829712', '0.1359473168849945', '0.14278292655944824', '0.20659905672073364', '0.131096750497818', '0.3970048725605011', '1.3470226526260376', '1.1773719787597656', '1.2719483375549316', '7.972542762756348', '15.552802085876465', '11.65083122253418', '7.196317672729492', '6.170019626617432']"
2,"['31.970714569091797', '11.038066864013672', '1.9331833124160767', '7.971379280090332', '10.7341890335083', '19.3289737701416', '2.19102144241333', '11.349784851074219', '0.5733146071434021', '2.4139416217803955', '4.967587947845459', '1.330389380455017', '1.0508133172988892', '0.7149181962013245', '0.7489209771156311', '0.2925996780395508', '1.7399933338165283', '1.0029246807098389', '57.637508392333984', '26.023366928100586', '28.33941650390625', '46.45357131958008', '2.321596145629883', '7.466869831085205', '31.515254974365234', '8.908825874328613', '20.935707092285156']"
3,"['6.6630167961120605', '6.494969367980957', '6.400064468383789', '7.113422393798828', '7.964430809020996', '9.959442138671875', '6.646337509155273', '7.194183826446533', '6.3080644607543945', '6.496923446655273', '6.613466262817383', '6.5123796463012695', '6.374460220336914', '6.475581169128418', '6.343870639801025', '6.333707332611084', '6.490763187408447', '6.4332733154296875', '7.072348117828369', '10.939035415649414', '7.840483665466309', '7.064136028289795', '7.0196757316589355', '8.42834186553955', '7.902807235717773', '7.200764179229736', '7.129990100860596']"
4,"['8.919711112976074', '6.459799289703369', '6.17641544342041', '7.27023983001709', '11.053956031799316', '8.966946601867676', '6.201046466827393', '6.621843338012695', '6.2299113273620605', '7.020510673522949', '8.443071365356445', '13.327338218688965', '8.33012580871582', '25.724407196044922', '6.318276405334473', '6.210038661956787', '9.072430610656738', '7.42790412902832', '6.804812908172607', '7.748702049255371', '6.6290602684021', '6.542518138885498', '29.39772605895996', '27.489896774291992', '11.427480697631836', '12.21374225616455', '10.207697868347168']"
5,"['0.8282315135002136', '0.25429823994636536', '0.17642007768154144', '1.1446641683578491', '2.2354238033294678', '5.214792251586914', '1.0971299409866333', '2.438244342803955', '0.2438039481639862', '0.4251600205898285', '0.7162904143333435', '1.5404404401779175', '1.5139825344085693', '0.5796882510185242', '0.26679739356040955', '0.15538783371448517', '0.3464830815792084', '0.18986371159553528', '0.48869574069976807', '1.1998608112335205', '1.1127960681915283', '1.017883539199829', '2.9704105854034424', '4.894832134246826', '3.3701977729797363', '4.825901031494141', '3.5171802043914795']"
6,"['5.134040355682373', '2.8088130950927734', '2.5395257472991943', '5.298251152038574', '3.4738752841949463', '3.356691837310791', '2.270169734954834', '2.348050832748413', '2.176708459854126', '2.893115282058716', '4.256197452545166', '3.0700347423553467', '2.5554981231689453', '2.3772361278533936', '2.207223415374756', '2.1886932849884033', '2.2375001907348633', '2.1987171173095703', '2.288632392883301', '2.3787765502929688', '2.3033905029296875', '2.3861324787139893', '3.266045570373535', '46.01447296142578', '40.1188850402832', '51.87321472167969', '8.386914253234863']"
7,"['4.565638542175293', '0.9026556015014648', '0.6001318097114563', '4.756897926330566', '5.6678571701049805', '34.43239212036133', '2.0016961097717285', '4.254908084869385', '0.1752338409423828', '0.650913417339325', '0.915104866027832', '1.2124717235565186', '0.937553882598877', '0.5106841921806335', '0.32626891136169434', '0.16718125343322754', '0.4183316230773926', '0.2592553198337555', '0.9134597182273865', '1.6533145904541016', '1.788665771484375', '1.8973324298858643', '23.54364585876465', '9.488332748413086', '5.314652442932129', '5.692697525024414', '6.149595260620117']"
8,"['48.225711822509766', '83.70198822021484', '94.69862365722656', '72.70081329345703', '62.1800537109375', '23.660871505737305', '92.25990295410156', '77.00335693359375', '97.76514434814453', '90.87471008300781', '81.60746765136719', '78.02082061767578', '89.09492492675781', '71.22196197509766', '96.98786163330078', '98.06260681152344', '89.53984832763672', '94.14945220947266', '36.23499298095703', '57.52958679199219', '62.33211898803711', '45.37371826171875', '30.467212677001953', '6.367816925048828', '10.473133087158203', '32.41583251953125', '42.661319732666016']"
