,0
0,<module 'time' (built-in)>
1,"['0.3337244987487793', '0.37722525000572205', '0.4827703833580017', '0.9123613834381104', '0.8372282385826111', '0.8200161457061768', '0.22105135023593903', '0.27461278438568115', '0.10047300159931183', '0.23517927527427673', '0.10388007014989853', '0.28735047578811646', '0.1729494333267212', '0.26336508989334106', '0.3241884708404541', '0.25853344798088074', '0.2711958885192871', '0.298854261636734', '0.15161918103694916', '0.20106658339500427', '0.15039575099945068', '0.1810837835073471']"
2,"['1.917324423789978', '1.5483250617980957', '5.49528694152832', '27.24715805053711', '38.4792366027832', '0.7792426943778992', '1.7233786582946777', '2.9016380310058594', '1.2202883958816528', '1.5159090757369995', '1.4959056377410889', '1.644454002380371', '1.5888203382492065', '1.966713547706604', '2.3058316707611084', '2.0006449222564697', '2.588960647583008', '2.0819084644317627', '1.3773337602615356', '2.702503204345703', '2.049297571182251', '1.769698977470398']"
3,"['6.941001892089844', '7.286360263824463', '8.717426300048828', '13.63174057006836', '37.62480545043945', '99.632080078125', '99.63478088378906', '99.51557922363281', '99.6781234741211', '99.64493560791016', '99.67218780517578', '99.61947631835938', '99.65310668945312', '99.6028823852539', '99.5838851928711', '99.61980438232422', '99.59705352783203', '99.62014770507812', '99.6716537475586', '99.61450958251953', '99.649169921875', '99.6437759399414']"
4,"['5.928277015686035', '5.934275150299072', '5.949814319610596', '6.039656639099121', '6.104202747344971', '5.95037317276001', '5.9078593254089355', '5.951796054840088', '5.893479824066162', '5.910892486572266', '5.89335298538208', '5.937812328338623', '5.915116310119629', '5.973466873168945', '5.962741374969482', '5.932610988616943', '5.930771827697754', '5.943566799163818', '5.909728050231934', '5.941112518310547', '5.9127020835876465', '5.935988903045654']"
5,"['0.5586076378822327', '0.5228263139724731', '0.6097453832626343', '1.2070999145507812', '0.9767203330993652', '0.9323014616966248', '0.3314616084098816', '0.5368512868881226', '0.1386287808418274', '0.30892133712768555', '0.13535147905349731', '0.3882139027118683', '0.2547568082809448', '0.3977486789226532', '0.4434031546115875', '0.32895195484161377', '0.3487919569015503', '0.4365233778953552', '0.21814103424549103', '0.3731207847595215', '0.24969032406806946', '0.2930002212524414']"
6,"['2.353921413421631', '2.295504093170166', '2.289219617843628', '2.540376663208008', '2.4859941005706787', '2.20998477935791', '2.261233329772949', '2.658864736557007', '2.178131341934204', '2.2131261825561523', '2.18906831741333', '2.2789158821105957', '2.2136080265045166', '2.2529244422912598', '2.3171277046203613', '2.268077850341797', '2.261687755584717', '2.225216865539551', '2.1772754192352295', '2.2098701000213623', '2.1822030544281006', '2.2239749431610107']"
7,"['2.132089138031006', '4.837002754211426', '6.319692611694336', '27.90790557861328', '17.487092971801758', '0.26959994435310364', '0.5460100769996643', '1.058946132659912', '0.2719103693962097', '0.5004644393920898', '0.2018120139837265', '0.8031793832778931', '0.3453257083892822', '0.8509900569915771', '0.7542418837547302', '0.5855721831321716', '0.5675370097160339', '0.4166058301925659', '0.15508398413658142', '0.26682695746421814', '0.18915772438049316', '0.32616955041885376']"
8,"['92.95560455322266', '90.16931915283203', '82.26365661621094', '31.081205368041992', '15.001517295837402', '0.35056209564208984', '0.19306181371212006', '0.25538474321365356', '0.11918948590755463', '0.2720610797405243', '0.09081844240427017', '0.23427759110927582', '0.18661847710609436', '0.3633086681365967', '0.3864520192146301', '0.2217724472284317', '0.32137352228164673', '0.2586512565612793', '0.13914372026920319', '0.17674726247787476', '0.15012185275554657', '0.19855347275733948']"
