,0
0,<module 'time' (built-in)>
1,"['0.09966087341308594', '0.03844216838479042', '0.011800598353147507', '0.012574580498039722', '0.03657642751932144', '0.3433731496334076', '0.49242839217185974', '0.24873879551887512', '0.3843603730201721', '0.8418829441070557', '0.4455602765083313', '0.18666823208332062', '0.09770041704177856', '0.10168426483869553', '0.11771281808614731', '0.06521176546812057', '0.1779652088880539', '0.053752120584249496', '0.16963671147823334', '0.2488013356924057', '0.19946496188640594', '0.06672416627407074', '0.11226311326026917', '0.10674276947975159', '0.1501486450433731', '0.0695883110165596', '0.13720810413360596', '0.07892133295536041']"
2,"['0.099750816822052', '0.058931902050971985', '0.02238796278834343', '0.02429203689098358', '0.09003328531980515', '0.6599940061569214', '0.6912822127342224', '0.37113890051841736', '0.7514051795005798', '1.4585680961608887', '0.951086163520813', '0.4571956992149353', '0.20412367582321167', '0.29461541771888733', '0.2232472002506256', '0.1536938101053238', '0.3384092450141907', '0.13588234782218933', '0.3991905450820923', '0.4880240559577942', '0.3023284375667572', '0.13521821796894073', '0.1846635639667511', '0.20475785434246063', '0.2502790093421936', '0.1509253978729248', '0.2879350781440735', '0.17184914648532867']"
3,"['6.340317249298096', '6.281704425811768', '6.260882377624512', '6.264599323272705', '6.318218231201172', '6.773817539215088', '6.980902671813965', '6.682989597320557', '6.8691277503967285', '8.223302841186523', '8.310450553894043', '6.7679643630981445', '6.475980758666992', '6.698674201965332', '6.603358745574951', '6.442665100097656', '6.920368194580078', '6.38194465637207', '6.791306972503662', '7.193356513977051', '6.713822364807129', '6.424212455749512', '6.5813093185424805', '6.496452331542969', '6.548892021179199', '6.39039421081543', '6.642867565155029', '6.464968681335449']"
4,"['5.895374774932861', '5.886860370635986', '5.877384662628174', '5.878249645233154', '5.8867669105529785', '6.074217796325684', '6.096629619598389', '5.985691547393799', '6.096959114074707', '6.387732982635498', '6.47743034362793', '6.0128865242004395', '5.930626392364502', '5.965323448181152', '5.9769158363342285', '5.915289878845215', '6.007616996765137', '5.921149730682373', '6.000016689300537', '6.082674503326416', '6.067765235900879', '5.934141635894775', '5.9648895263671875', '5.944039821624756', '6.022314548492432', '5.9260053634643555', '5.996241092681885', '5.943460464477539']"
5,"['0.6603555083274841', '0.32733121514320374', '0.11657273769378662', '0.1093638464808464', '0.6027570962905884', '2.4575281143188477', '3.8399999141693115', '2.4278464317321777', '4.787513732910156', '6.085787296295166', '7.337935924530029', '2.961000442504883', '1.361687183380127', '1.8555164337158203', '1.0238895416259766', '0.675499439239502', '2.146064281463623', '0.6875151991844177', '2.2173869609832764', '2.562626600265503', '1.242882251739502', '0.6081583499908447', '0.8015726804733276', '0.9161430597305298', '1.2109583616256714', '0.7377833724021912', '1.3899710178375244', '0.7072969079017639']"
6,"['2.340855360031128', '2.237027645111084', '2.1662542819976807', '2.1636276245117188', '2.2277283668518066', '8.384331703186035', '18.71929931640625', '4.143720626831055', '54.700096130371094', '78.97899627685547', '34.09495162963867', '10.985953330993652', '3.166938304901123', '3.067322254180908', '3.1504993438720703', '3.0678203105926514', '3.7073004245758057', '2.7005910873413086', '5.1834716796875', '4.160945892333984', '3.1738743782043457', '2.4428210258483887', '2.775726079940796', '3.0397160053253174', '2.960374116897583', '2.699486017227173', '3.0873546600341797', '2.602069854736328']"
7,"['0.08157964795827866', '0.0525016151368618', '0.01633288338780403', '0.015768779441714287', '0.04814194142818451', '0.30175215005874634', '0.3298805058002472', '0.20599688589572906', '0.32729873061180115', '0.9522741436958313', '0.7561309337615967', '0.2971120774745941', '0.1794048398733139', '0.28174519538879395', '0.24115493893623352', '0.13416826725006104', '0.33439213037490845', '0.13981370627880096', '0.3391420841217041', '0.47851336002349854', '0.30349668860435486', '0.17314651608467102', '0.2134300321340561', '0.19691814482212067', '0.34810441732406616', '0.12847556173801422', '0.3328964114189148', '0.21126559376716614']"
8,"['98.20925903320312', '99.13633728027344', '99.74319458007812', '99.7472915649414', '98.7943344116211', '84.71448516845703', '76.22931671142578', '90.87448120117188', '63.93376541137695', '49.90125274658203', '63.27346420288086', '82.65326690673828', '94.77545928955078', '93.80328369140625', '94.6849594116211', '95.92454528808594', '91.44965362548828', '96.95689392089844', '89.12128448486328', '89.14739227294922', '93.74398040771484', '97.59483337402344', '95.96611022949219', '95.4150619506836', '94.7639389038086', '96.86065673828125', '94.16395568847656', '96.85191345214844']"
