,0
0,<module 'time' (built-in)>
1,"['0.7983593344688416', '0.705931544303894', '0.8289360404014587', '0.7633178234100342', '0.6794515252113342', '0.31732720136642456', '0.43793395161628723', '0.34819090366363525', '0.4493267834186554', '0.4373088479042053', '0.30431225895881653', '0.1491258591413498', '0.6502074003219604', '0.5449130535125732', '0.6295117735862732', '0.7391328811645508', '1.123913049697876', '0.5666378736495972', '1.1101500988006592', '0.9740328192710876', '0.9055958390235901', '1.3046019077301025', '0.5097094774246216', '0.4873715341091156', '0.8312828540802002', '0.5843115448951721', '0.8868312239646912']"
2,"['1.5871541500091553', '1.4597030878067017', '1.7514476776123047', '1.6498218774795532', '1.0858098268508911', '2.0150399208068848', '1.283951997756958', '0.48249220848083496', '1.696746587753296', '1.1794227361679077', '0.68724125623703', '0.2443975806236267', '0.9082125425338745', '0.8284388184547424', '0.6233198642730713', '0.6745103001594543', '1.4197534322738647', '0.840591549873352', '1.8675755262374878', '1.1097869873046875', '1.2521392107009888', '1.7605891227722168', '1.0603015422821045', '0.7631127834320068', '1.0512765645980835', '1.8331084251403809', '1.5865918397903442']"
3,"['7.038321495056152', '6.806820869445801', '7.117079257965088', '7.114896297454834', '6.834923267364502', '6.700599193572998', '6.65220832824707', '6.502668380737305', '6.58510160446167', '6.613707542419434', '6.489694118499756', '6.409295082092285', '6.825087070465088', '6.7816572189331055', '6.700209617614746', '6.770341873168945', '7.139254570007324', '6.651771068572998', '7.292320728302002', '7.160133361816406', '7.064089775085449', '7.415063858032227', '6.6988348960876465', '6.612896919250488', '6.749004364013672', '6.715007781982422', '6.913758277893066']"
4,"['6.063196659088135', '5.998469829559326', '6.057207107543945', '6.013884544372559', '5.994366645812988', '5.962050914764404', '5.966994285583496', '5.942893028259277', '5.961912155151367', '5.966109752655029', '5.935687065124512', '5.897345542907715', '5.974852561950684', '5.9565653800964355', '5.961585998535156', '5.970240116119385', '6.0265984535217285', '5.948946952819824', '6.034664154052734', '6.024077415466309', '6.0072922706604', '6.090048789978027', '5.967822551727295', '5.944363594055176', '6.006360054016113', '5.994574069976807', '6.055687427520752']"
5,"['5.92024564743042', '2.0404610633850098', '2.5416388511657715', '1.689984679222107', '1.4942961931228638', '2.942627191543579', '2.5151212215423584', '1.3501343727111816', '2.872734546661377', '2.632072925567627', '1.6051051616668701', '0.6677444577217102', '2.157801389694214', '1.665765643119812', '1.2043983936309814', '1.4046196937561035', '1.6043140888214111', '1.1458172798156738', '2.1285817623138428', '2.581743001937866', '1.908923625946045', '2.018561601638794', '1.0375784635543823', '1.1710714101791382', '1.438092589378357', '1.4220325946807861', '1.7407443523406982']"
6,"['3.1412861347198486', '2.9813005924224854', '3.7862393856048584', '3.1473419666290283', '2.7082133293151855', '2.7953197956085205', '2.815199136734009', '2.40850567817688', '2.5251245498657227', '2.5871832370758057', '2.401144504547119', '2.200256586074829', '2.5019028186798096', '2.438667058944702', '2.4539265632629395', '2.4661240577697754', '2.6722779273986816', '2.421628713607788', '2.7989041805267334', '2.8047680854797363', '2.6827304363250732', '2.742558240890503', '2.5352325439453125', '2.4517064094543457', '2.692073345184326', '2.6189980506896973', '2.9196455478668213']"
7,"['8.242118835449219', '3.7736237049102783', '5.130775451660156', '4.009160995483398', '3.6840174198150635', '0.9853977560997009', '3.6502063274383545', '80.17527770996094', '70.1518325805664', '73.58816528320312', '76.04387664794922', '93.95429229736328', '46.47753143310547', '30.984189987182617', '6.053825378417969', '11.343392372131348', '5.6771626472473145', '4.263647556304932', '9.751900672912598', '23.395862579345703', '11.804181098937988', '7.188423156738281', '3.910734176635742', '2.802248239517212', '6.7223944664001465', '7.521236896514893', '13.726305961608887']"
8,"['78.74254608154297', '88.27532958984375', '83.56028747558594', '87.15850830078125', '89.96320343017578', '90.75122833251953', '89.15038299560547', '16.149538040161133', '22.788558959960938', '19.882802963256836', '19.931053161621094', '4.4392900466918945', '47.352142333984375', '63.83439254760742', '89.43891906738281', '83.60015869140625', '86.5491714477539', '91.35218048095703', '80.89634704589844', '67.93473052978516', '80.65847778320312', '83.27484130859375', '91.1836166381836', '92.94157409667969', '87.03258514404297', '86.00680541992188', '78.12061309814453']"
