,0
0,<module 'time' (built-in)>
1,"['0.5172534584999084', '0.30108609795570374', '0.2685128450393677', '0.350607693195343', '0.39041873812675476', '0.3070085048675537', '0.17881248891353607', '0.42395633459091187', '0.1830953061580658', '0.061080314218997955', '0.09768274426460266', '0.3091665208339691', '0.11985965818166733', '0.10330502688884735', '0.10815933346748352', '0.1415744572877884', '0.1154223307967186', '0.08223728835582733', '0.10078565776348114', '0.12530969083309174']"
2,"['0.21027810871601105', '0.2105969935655594', '0.2299921065568924', '0.23908431828022003', '0.214491605758667', '0.24977761507034302', '0.13192686438560486', '0.34400156140327454', '0.17025090754032135', '0.08158808201551437', '0.10873991996049881', '0.25478073954582214', '0.14195308089256287', '0.14559447765350342', '0.13781091570854187', '0.14578767120838165', '0.15813332796096802', '0.11252202093601227', '0.11193094402551651', '0.1747586876153946']"
3,"['6.340465545654297', '6.306088924407959', '6.30279541015625', '6.305787086486816', '6.327852725982666', '6.395807266235352', '6.3329362869262695', '6.537715911865234', '6.426609992980957', '6.312440395355225', '6.330840110778809', '6.329658031463623', '6.3226237297058105', '6.33254861831665', '6.338927745819092', '6.354389190673828', '6.347800254821777', '6.304196834564209', '6.320069789886475', '6.327978610992432']"
4,"['5.898055076599121', '5.892536640167236', '5.889816761016846', '5.890588760375977', '5.8966803550720215', '5.9070820808410645', '5.891634464263916', '5.933924198150635', '5.908009052276611', '5.889742851257324', '5.89351224899292', '5.909652233123779', '5.898391246795654', '5.898433685302734', '5.901342391967773', '5.90806245803833', '5.905886650085449', '5.895012855529785', '5.901221752166748', '5.90180778503418']"
5,"['0.21139280498027802', '0.15996327996253967', '0.1513853818178177', '0.14217813313007355', '0.19953984022140503', '0.19778688251972198', '0.11778698861598969', '0.5540865063667297', '0.2280074805021286', '0.11037176102399826', '0.1634698212146759', '0.2296253740787506', '0.12915770709514618', '0.13610610365867615', '0.13382765650749207', '0.20055577158927917', '0.1921323835849762', '0.11959078162908554', '0.14870351552963257', '0.15636011958122253']"
6,"['2.190868377685547', '2.1869008541107178', '2.1826424598693848', '2.1884989738464355', '2.1903960704803467', '2.2167201042175293', '2.1774208545684814', '2.2621660232543945', '2.1990673542022705', '2.1791014671325684', '2.1929922103881836', '2.2629940509796143', '2.212709665298462', '2.199542760848999', '2.2072038650512695', '2.262049436569214', '2.2232611179351807', '2.2115514278411865', '2.2236359119415283', '2.2294085025787354']"
7,"['0.09242989122867584', '0.07017740607261658', '0.0612538605928421', '0.06280601769685745', '0.08517788350582123', '0.14100226759910583', '0.0793214961886406', '0.24904529750347137', '0.11451047658920288', '0.06074044108390808', '0.073604054749012', '0.12614595890045166', '0.07266993075609207', '0.07232918590307236', '0.07220961898565292', '0.08286334574222565', '0.08768520504236221', '0.050965409725904465', '0.06847367435693741', '0.08073444664478302']"
8,"['98.5860595703125', '98.97073364257812', '99.02914428710938', '98.91848754882812', '98.75768280029297', '98.50593566894531', '99.18560028076172', '97.34101104736328', '98.7008056640625', '99.41937255859375', '99.197998046875', '98.45581817626953', '99.11676788330078', '99.14625549316406', '99.1064224243164', '98.76367950439453', '98.92364501953125', '99.26406860351562', '99.1126708984375', '98.96977233886719']"
