,0
0,<module 'time' (built-in)>
1,"['0.1822432577610016', '0.18194401264190674', '0.11676564812660217', '0.10804223269224167', '0.3024454414844513', '0.28629663586616516', '0.3339288830757141', '0.29014524817466736', '0.35337287187576294', '0.22100521624088287', '0.2202800214290619', '0.19546137750148773', '0.18316605687141418', '0.18091394007205963', '0.07048343867063522', '0.20688673853874207', '0.1247282475233078', '0.15138597786426544', '0.2850733697414398', '0.1541668027639389', '0.29927706718444824', '0.19439563155174255', '0.26689258217811584', '0.34370696544647217', '0.33209237456321716', '0.163877934217453']"
2,"['0.45245596766471863', '0.6236844658851624', '0.3822157680988312', '0.1923048347234726', '0.5726596117019653', '0.9595786929130554', '0.9404700994491577', '1.590705156326294', '0.8469111919403076', '0.7936186194419861', '0.8639066219329834', '0.6886779069900513', '0.7246206402778625', '0.47459858655929565', '0.13167184591293335', '0.5253568291664124', '0.39174455404281616', '0.2777945101261139', '0.7450334429740906', '0.34569746255874634', '0.8462313413619995', '0.6922016143798828', '0.7387071847915649', '1.1470056772232056', '1.3296533823013306', '0.839228630065918']"
3,"['6.341094017028809', '6.328217506408691', '6.305363655090332', '6.302544593811035', '6.412877082824707', '6.406108379364014', '6.451970100402832', '6.395639419555664', '6.445982456207275', '6.37888240814209', '6.361085891723633', '6.358661651611328', '6.353413105010986', '6.350344657897949', '6.286096572875977', '6.358581066131592', '6.31724214553833', '6.322834491729736', '6.404330730438232', '6.335788726806641', '6.433140277862549', '6.372704982757568', '6.39656925201416', '6.443943977355957', '6.463251113891602', '6.349721431732178']"
4,"['5.952988147735596', '5.939783096313477', '5.914636135101318', '5.910893440246582', '5.991212368011475', '5.969277381896973', '6.008653163909912', '5.983820915222168', '6.020312786102295', '5.956550121307373', '5.959659099578857', '5.958805561065674', '5.948948860168457', '5.935027122497559', '5.901615619659424', '5.953232765197754', '5.920169353485107', '5.932596683502197', '5.985199451446533', '5.9313459396362305', '6.001866817474365', '5.953106880187988', '5.975921630859375', '6.021963119506836', '6.019872665405273', '5.934431552886963']"
5,"['83.01282501220703', '81.70582580566406', '89.47958374023438', '94.2204818725586', '38.0585823059082', '16.353559494018555', '50.786380767822266', '15.455560684204102', '35.47140884399414', '54.72697448730469', '46.62660217285156', '58.09858322143555', '68.31195068359375', '24.319276809692383', '85.95964813232422', '66.11564636230469', '75.29479217529297', '71.92061614990234', '55.873619079589844', '34.0971794128418', '59.20405578613281', '21.355703353881836', '28.234989166259766', '28.667869567871094', '35.937557220458984', '9.948502540588379']"
6,"['2.2695446014404297', '2.285127878189087', '2.211111307144165', '2.1927764415740967', '2.3186705112457275', '2.2982537746429443', '2.324704885482788', '2.4151663780212402', '2.4301772117614746', '2.3245909214019775', '2.3079922199249268', '2.3811862468719482', '2.3482794761657715', '2.3021042346954346', '2.1938464641571045', '2.30702805519104', '2.2365665435791016', '2.2450051307678223', '2.374764919281006', '2.2774014472961426', '2.422485828399658', '2.3552052974700928', '2.4340200424194336', '2.5207526683807373', '2.4985556602478027', '2.2959141731262207']"
7,"['15.409286499023438', '16.57942008972168', '9.504605293273926', '5.032033443450928', '59.60649871826172', '81.10295104980469', '46.26533126831055', '80.96878814697266', '61.382354736328125', '43.007957458496094', '51.152305603027344', '39.64697265625', '29.54207420349121', '73.99221801757812', '13.486955642700195', '32.02342987060547', '23.53089141845703', '26.9222354888916', '41.471473693847656', '64.51951599121094', '37.74980926513672', '76.43699645996094', '69.0633316040039', '67.5611343383789', '60.12607955932617', '88.01250457763672']"
8,"['0.15997788310050964', '0.1372503638267517', '0.09274730831384659', '0.09822024405002594', '0.28224751353263855', '0.2546139359474182', '0.35624513030052185', '0.27781134843826294', '0.29092827439308167', '0.2124125063419342', '0.17659008502960205', '0.19317495822906494', '0.19729501008987427', '0.17752313613891602', '0.056058499962091446', '0.19333121180534363', '0.11369569599628448', '0.1126849353313446', '0.30831223726272583', '0.14351199567317963', '0.34171634912490845', '0.21004562079906464', '0.2424236387014389', '0.36216866970062256', '0.388400137424469', '0.2025085687637329']"
