,0
0,<module 'time' (built-in)>
1,"['41.61393356323242', '60.1584358215332', '75.09327697753906', '84.74702453613281', '92.21207427978516', '61.27307891845703', '3.7195582389831543', '61.703556060791016', '27.706449508666992', '1.4895364046096802', '21.463958740234375', '5.726838111877441', '1.3197845220565796', '0.5150201916694641', '13.518756866455078', '87.81455993652344', '58.75298309326172', '71.64164733886719', '83.7444839477539', '81.14655303955078', '56.38888931274414', '55.710472106933594', '64.5511703491211', '54.3624267578125', '54.83236312866211']"
2,"['2.920320510864258', '2.8053650856018066', '1.9963486194610596', '1.7519464492797852', '0.8640905022621155', '1.379746437072754', '0.5828888416290283', '1.5830531120300293', '1.2946643829345703', '0.29664918780326843', '1.769272804260254', '0.9943573474884033', '0.34400591254234314', '0.2545657455921173', '1.0171291828155518', '1.349251627922058', '5.144248962402344', '3.999821901321411', '1.3774867057800293', '2.1593806743621826', '3.416682004928589', '4.863114833831787', '3.8080525398254395', '3.1161892414093018', '2.837340831756592']"
3,"['9.94517993927002', '8.57512378692627', '8.021560668945312', '7.70197057723999', '7.098874568939209', '9.627265930175781', '6.507264614105225', '8.57288932800293', '7.443636894226074', '6.40023136138916', '8.001267433166504', '6.875959873199463', '6.450626850128174', '6.385587692260742', '7.176783561706543', '8.15007209777832', '8.41479206085205', '8.960548400878906', '9.48302936553955', '8.540185928344727', '9.37133502960205', '9.729519844055176', '10.052072525024414', '10.407402992248535', '9.100556373596191']"
4,"['6.187719345092773', '6.203018665313721', '6.0257487297058105', '6.036493301391602', '5.970790386199951', '6.048458576202393', '5.8995161056518555', '5.9693756103515625', '5.957505226135254', '5.8921074867248535', '6.071415901184082', '5.941534996032715', '5.895334243774414', '5.891074180603027', '5.947551727294922', '6.072379112243652', '6.281641960144043', '6.235123157501221', '6.04971981048584', '6.032188892364502', '6.337692737579346', '6.3512959480285645', '6.270544052124023', '6.355386734008789', '6.117995738983154']"
5,"['2.829993963241577', '2.39035964012146', '1.280903697013855', '1.0388280153274536', '0.6506760120391846', '1.3164082765579224', '0.34807127714157104', '1.0215117931365967', '0.8095016479492188', '0.2113877534866333', '1.7891215085983276', '0.7998753190040588', '0.299256294965744', '0.20738041400909424', '0.8314871191978455', '1.6350113153457642', '4.748048305511475', '3.9127767086029053', '1.8878273963928223', '2.125969409942627', '4.019733428955078', '4.67103385925293', '3.7784392833709717', '5.190823554992676', '3.0949254035949707']"
6,"['2.7607290744781494', '2.820955753326416', '2.4741504192352295', '2.4030673503875732', '2.287139654159546', '2.414170026779175', '2.2200026512145996', '2.258009672164917', '2.2606735229492188', '2.195974111557007', '2.5510969161987305', '2.3379664421081543', '2.231741428375244', '2.2088935375213623', '2.2804923057556152', '2.4502665996551514', '3.4780588150024414', '2.8451640605926514', '2.4614992141723633', '2.4008517265319824', '3.098065137863159', '3.1515450477600098', '2.9717488288879395', '3.462759017944336', '2.5987765789031982']"
7,"['3.696279525756836', '3.783311605453491', '1.9279155731201172', '1.720373511314392', '0.8647623658180237', '1.5693624019622803', '0.2248210906982422', '1.177064061164856', '0.9482143521308899', '0.14375105500221252', '1.756408452987671', '0.5330635905265808', '0.1645582616329193', '0.1094365119934082', '0.8346817493438721', '2.293386936187744', '6.025725841522217', '5.080351829528809', '2.411839485168457', '2.5046818256378174', '4.7886552810668945', '5.425239562988281', '4.949326038360596', '4.843062877655029', '3.418576240539551']"
8,"['40.45757293701172', '24.081562042236328', '15.168383598327637', '6.901718616485596', '3.1181015968322754', '27.722537994384766', '94.32151794433594', '29.944717407226562', '66.47596740722656', '97.35909271240234', '68.38040161132812', '89.97396850585938', '97.15119934082031', '98.40320587158203', '81.453857421875', '2.1213347911834717', '17.07398796081543', '7.881577968597412', '3.8905913829803467', '6.936339378356934', '22.455778121948242', '19.760812759399414', '13.551226615905762', '21.356945037841797', '29.088031768798828']"
