,0
0,<module 'time' (built-in)>
1,"['0.010071346536278725', '0.013493267819285393', '0.015268689021468163', '0.01592353731393814', '0.020168419927358627', '0.021629774942994118', '0.01906673051416874', '0.022537684068083763', '0.03600923344492912', '0.03381093963980675', '0.026241134852170944', '0.04132955148816109', '0.06746302545070648', '0.051214493811130524', '0.057008612900972366', '0.03365546464920044', '0.012578957714140415', '0.010089757852256298', '0.019043728709220886', '0.013316663913428783', '0.010585855692625046', '0.015510783530771732', '0.012225575745105743', '0.00840265303850174', '0.014247761107981205', '0.02272806689143181', '0.019428718835115433']"
2,"['0.0062550390139222145', '0.009913255460560322', '0.010119656100869179', '0.00999452080577612', '0.016179513186216354', '0.0264096949249506', '0.020940106362104416', '0.023874424397945404', '0.04153274744749069', '0.042228102684020996', '0.034057531505823135', '0.056656625121831894', '0.12189971655607224', '0.06473664194345474', '0.06854857504367828', '0.04890165477991104', '0.010671908035874367', '0.006485117133706808', '0.029391976073384285', '0.011602788232266903', '0.008087852038443089', '0.016062889248132706', '0.01115045789629221', '0.006420706398785114', '0.012937226332724094', '0.016489103436470032', '0.01480978261679411']"
3,"['99.7154769897461', '99.7143783569336', '99.7035903930664', '99.70877075195312', '99.69881439208984', '99.70988464355469', '99.70787048339844', '99.70805358886719', '99.68195343017578', '99.69221496582031', '99.70289611816406', '99.64238739013672', '99.51261901855469', '99.59310913085938', '99.574462890625', '99.67683410644531', '99.7132797241211', '99.72099304199219', '99.70814514160156', '99.71797180175781', '99.72383117675781', '99.71167755126953', '99.68683624267578', '99.7098617553711', '99.70235443115234', '99.70440673828125', '99.7054214477539']"
4,"['6.070207118988037', '6.081416130065918', '6.245391368865967', '6.1642608642578125', '6.307440280914307', '6.128469467163086', '6.166336536407471', '6.1555328369140625', '6.52142858505249', '6.369602680206299', '6.2252888679504395', '7.083159446716309', '8.726778030395508', '7.746724605560303', '7.986612796783447', '6.593574523925781', '6.099207878112793', '5.98410701751709', '6.156254768371582', '6.024135589599609', '5.937577247619629', '6.117074012756348', '6.502608299255371', '6.158163070678711', '6.263017654418945', '6.218438625335693', '6.207370281219482']"
5,"['0.00763957854360342', '0.009750047698616982', '0.011929351836442947', '0.011970228515565395', '0.016043148934841156', '0.017019668594002724', '0.015527566894888878', '0.018733371049165726', '0.03081696107983589', '0.02661840431392193', '0.020611068233847618', '0.03396012634038925', '0.06211255490779877', '0.041748423129320145', '0.05056880787014961', '0.02837532013654709', '0.008585650473833084', '0.006431238725781441', '0.015706276521086693', '0.009827944450080395', '0.007748678792268038', '0.011358488351106644', '0.012042122893035412', '0.008277960121631622', '0.011577914468944073', '0.01604755036532879', '0.015447204001247883']"
6,"['2.1492576599121094', '2.1496505737304688', '2.150161027908325', '2.1501808166503906', '2.1511998176574707', '2.1515092849731445', '2.151146650314331', '2.151693820953369', '2.154383897781372', '2.15427303314209', '2.1524181365966797', '2.1567986011505127', '2.1668336391448975', '2.160231113433838', '2.1613943576812744', '2.155388116836548', '2.149744987487793', '2.14936900138855', '2.151456356048584', '2.1497957706451416', '2.1492810249328613', '2.1501855850219727', '2.1509549617767334', '2.150874137878418', '2.1513707637786865', '2.1523196697235107', '2.1513354778289795']"
7,"['0.0063460334204137325', '0.008249504491686821', '0.009774533100426197', '0.009564299136400223', '0.012621350586414337', '0.014663043431937695', '0.013005382381379604', '0.015815630555152893', '0.02645072527229786', '0.02446279115974903', '0.018243268132209778', '0.030794553458690643', '0.0591994971036911', '0.037743743509054184', '0.04459614306688309', '0.026773009449243546', '0.007844305597245693', '0.0060852887108922005', '0.013522260822355747', '0.009212507866322994', '0.006997216958552599', '0.009560482576489449', '0.007829280570149422', '0.005140113178640604', '0.009714247658848763', '0.015244183130562305', '0.012865182012319565']"
8,"['0.011606683023273945', '0.014710581861436367', '0.01649506762623787', '0.01871376298367977', '0.024026498198509216', '0.02958165667951107', '0.02485314942896366', '0.03127525746822357', '0.0469311848282814', '0.048427317291498184', '0.035499829798936844', '0.05607561767101288', '0.10949523746967316', '0.07553093880414963', '0.07572998106479645', '0.05132773518562317', '0.014595646411180496', '0.010817908681929111', '0.029770957306027412', '0.014474066905677319', '0.011399089358747005', '0.018885795027017593', '0.015810739248991013', '0.0075349691323935986', '0.015109016560018063', '0.02261943370103836', '0.022131022065877914']"
