,0
0,<module 'time' (built-in)>
1,"['2.854644775390625', '3.3434927463531494', '4.083993911743164', '4.354849815368652', '6.7612996101379395', '1.4447377920150757', '0.05946829915046692', '0.10158301144838333', '0.06238732114434242', '0.011464803479611874', '0.3814237415790558', '0.5249301791191101', '0.713282585144043', '0.3272014260292053', '0.466990202665329', '0.22175472974777222', '1.5648655891418457', '1.7553038597106934', '2.490712881088257', '1.0173344612121582', '1.9121487140655518']"
2,"['7.235476493835449', '11.571366310119629', '9.237369537353516', '12.685478210449219', '14.505746841430664', '1.3498585224151611', '0.04118918627500534', '0.08678531646728516', '0.05942070111632347', '0.008167062886059284', '0.23794996738433838', '0.20878158509731293', '0.3556765019893646', '0.1852354258298874', '0.3501594662666321', '0.10850168764591217', '1.3767755031585693', '1.2492645978927612', '2.0846216678619385', '0.6110785603523254', '1.4961662292480469']"
3,"['7.605678558349609', '7.559637546539307', '7.849596977233887', '7.732061862945557', '8.132097244262695', '6.611382007598877', '6.2650933265686035', '6.275417804718018', '6.273684024810791', '6.252983093261719', '6.336463451385498', '6.333250522613525', '6.375884056091309', '6.3166728019714355', '6.34766149520874', '6.294912338256836', '6.6543192863464355', '6.614910125732422', '6.6568827629089355', '6.5628461837768555', '6.972634792327881']"
4,"['14.478105545043945', '18.836650848388672', '9.463526725769043', '12.067606925964355', '8.820276260375977', '6.647774696350098', '5.925882816314697', '5.967878341674805', '5.939937591552734', '5.885775566101074', '6.179605484008789', '6.04001522064209', '6.3512115478515625', '6.037276744842529', '6.211645603179932', '6.030206203460693', '6.661096096038818', '6.685838222503662', '7.468028545379639', '6.458273410797119', '6.998032569885254']"
5,"['3.0731687545776367', '3.8157854080200195', '4.037382125854492', '5.949477195739746', '10.119834899902344', '10.584754943847656', '0.4426705241203308', '0.47644567489624023', '0.384969562292099', '0.06297226250171661', '3.004786968231201', '3.8025565147399902', '4.221937656402588', '2.6130495071411133', '2.4318368434906006', '1.5186649560928345', '10.962777137756348', '11.29332447052002', '11.312146186828613', '7.378564834594727', '19.972532272338867']"
6,"['3.930420398712158', '4.3140950202941895', '3.4694571495056152', '3.310711622238159', '3.8295376300811768', '97.99362182617188', '99.99539947509766', '99.99494934082031', '99.9953842163086', '99.99698638916016', '99.94828796386719', '25.966447830200195', '99.00440216064453', '34.2725715637207', '99.95654296875', '99.97279357910156', '47.047176361083984', '19.63045883178711', '59.30610275268555', '75.97734832763672', '86.02521514892578']"
7,"['2.561572313308716', '2.3365046977996826', '4.061335563659668', '4.3260087966918945', '10.375844955444336', '26.138565063476562', '2.564626693725586', '2.919149875640869', '2.507338047027588', '0.25165385007858276', '15.12873649597168', '75.16252899169922', '33.35548782348633', '73.82481384277344', '13.97407054901123', '12.997029304504395', '49.0594367980957', '58.512027740478516', '43.29413604736328', '52.350704193115234', '28.511905670166016']"
8,"['62.6068000793457', '51.96195983886719', '64.60292053222656', '55.18126678466797', '44.250732421875', '3.8651750087738037', '0.08262066543102264', '0.1256805658340454', '0.15264995396137238', '0.016735032200813293', '0.5712575316429138', '0.29797857999801636', '0.9365239143371582', '0.31020787358283997', '0.7787294387817383', '0.4492233395576477', '8.355957984924316', '7.564128398895264', '6.836597442626953', '1.7387665510177612', '4.506132125854492']"
