,0
0,<module 'time' (built-in)>
1,"['0.9838263392448425', '1.0157387256622314', '0.7817032933235168', '0.8118710517883301', '1.04194974899292', '1.0027849674224854', '0.9772912859916687', '1.6729559898376465', '1.3312324285507202', '1.0991597175598145', '0.7962734699249268', '0.8754259943962097', '0.8421292304992676', '1.1436012983322144', '1.4307104349136353', '1.4095239639282227', '1.116133689880371', '1.0196486711502075', '0.9173139929771423', '0.6548174619674683', '0.6363357305526733', '1.0700653791427612', '1.1831839084625244', '0.4425830543041229']"
2,"['9.591662406921387', '5.4750494956970215', '7.631474494934082', '2.5403971672058105', '3.3074493408203125', '4.321804046630859', '2.2494821548461914', '5.00401496887207', '5.232570171356201', '3.592576026916504', '3.833378791809082', '2.035184144973755', '1.9452029466629028', '2.8411619663238525', '3.5444493293762207', '4.047553062438965', '1.9226200580596924', '2.170898199081421', '2.309636116027832', '1.3788633346557617', '1.2621914148330688', '2.23469614982605', '2.6671717166900635', '0.8287605047225952']"
3,"['46.75457763671875', '55.91680908203125', '95.94886779785156', '98.59812927246094', '97.67830657958984', '97.72757720947266', '97.48403930664062', '40.83080291748047', '90.49836730957031', '91.25277709960938', '96.16925811767578', '97.37538146972656', '98.31278228759766', '39.92483139038086', '84.91704559326172', '23.061847686767578', '96.23534393310547', '93.4930648803711', '94.12906646728516', '97.7564697265625', '98.8556900024414', '93.52416229248047', '36.31410217285156', '99.28971862792969']"
4,"['9.508179664611816', '9.725119590759277', '8.807409286499023', '8.352357864379883', '10.060881614685059', '9.042633056640625', '10.723108291625977', '15.454848289489746', '10.974851608276367', '11.291430473327637', '8.126364707946777', '8.529801368713379', '7.500248432159424', '8.321220397949219', '13.094399452209473', '9.329792022705078', '13.364624977111816', '9.908977508544922', '9.954975128173828', '7.309247016906738', '7.340938568115234', '8.78857421875', '7.5340776443481445', '6.908600807189941']"
5,"['2.622012138366699', '2.5935513973236084', '2.0871922969818115', '2.2497808933258057', '2.7268643379211426', '2.5119411945343018', '2.030836343765259', '4.755517482757568', '3.064530849456787', '2.520366907119751', '2.324302911758423', '2.465606927871704', '2.2716848850250244', '2.6087236404418945', '3.732522487640381', '3.47452974319458', '2.9689056873321533', '2.9635720252990723', '2.4882848262786865', '1.72637140750885', '1.638493299484253', '2.9269046783447266', '3.327470541000366', '1.4135138988494873']"
6,"['3.0684707164764404', '3.0273263454437256', '2.728384017944336', '2.590942621231079', '2.838630199432373', '2.6799683570861816', '2.7124080657958984', '3.0830156803131104', '2.840571403503418', '2.863645315170288', '2.6741714477539062', '2.7829132080078125', '2.5650060176849365', '2.9992246627807617', '3.540733814239502', '3.791111707687378', '2.9651763439178467', '2.8039638996124268', '2.832979679107666', '2.4333112239837646', '2.4188995361328125', '2.851762056350708', '3.253416061401367', '2.3572940826416016']"
7,"['1.7196201086044312', '2.003723382949829', '1.2196683883666992', '1.3053151369094849', '1.7276676893234253', '1.8133409023284912', '1.6980940103530884', '3.4460082054138184', '2.302048683166504', '1.8574644327163696', '1.6222450733184814', '1.8223716020584106', '1.4260095357894897', '2.5630264282226562', '3.9600439071655273', '4.451423645019531', '2.922565460205078', '2.836355686187744', '3.2059531211853027', '1.594937801361084', '1.6067100763320923', '2.2644805908203125', '3.3144686222076416', '1.265496850013733']"
8,"['44.84012985229492', '44.12627410888672', '11.898553848266602', '5.314602851867676', '5.6728515625', '6.743121147155762', '7.744825839996338', '39.393714904785156', '18.335628509521484', '19.60502815246582', '15.820440292358398', '11.590717315673828', '9.73376750946045', '56.17917251586914', '19.11849594116211', '57.6275634765625', '6.2281599044799805', '18.295963287353516', '16.94205093383789', '15.030494689941406', '7.271118640899658', '20.580289840698242', '57.64056396484375', '4.037076950073242']"
