,0
0,<module 'time' (built-in)>
1,"['0.24125413596630096', '0.35911908745765686', '0.3376397490501404', '0.2911664545536041', '0.10588338971138', '1.0430760383605957', '0.49297675490379333', '0.5481792092323303', '0.44473591446876526', '0.8488337397575378', '0.390618234872818']"
2,"['0.29595237970352173', '0.4421197474002838', '0.3824423551559448', '0.3308295011520386', '0.14773908257484436', '0.40172040462493896', '0.24914538860321045', '0.2603452503681183', '0.18431222438812256', '0.30156856775283813', '0.11942918598651886']"
3,"['6.335752487182617', '6.352202415466309', '6.3372297286987305', '6.327083110809326', '6.287727355957031', '6.380221366882324', '6.325813293457031', '6.338127136230469', '6.306824207305908', '6.353477954864502', '6.288247585296631']"
4,"['5.911985397338867', '5.924119472503662', '5.917023658752441', '5.916098117828369', '5.891247272491455', '5.983891487121582', '5.944641590118408', '5.942643642425537', '5.918778896331787', '5.952542781829834', '5.901730537414551']"
5,"['0.2957276403903961', '0.38303643465042114', '0.3795948624610901', '0.3489062786102295', '0.17487455904483795', '0.7026185393333435', '0.5274070501327515', '0.5686616897583008', '0.3271433115005493', '0.6463647484779358', '0.2193770855665207']"
6,"['2.2770349979400635', '2.416862964630127', '2.547560930252075', '2.5704505443573', '2.210265874862671', '2.7187201976776123', '2.9976985454559326', '3.0120797157287598', '2.703925132751465', '3.2132110595703125', '2.60329008102417']"
7,"['0.2040398120880127', '0.25641387701034546', '0.219751238822937', '0.22475141286849976', '0.13190659880638123', '0.3174055218696594', '0.22362743318080902', '0.2392774224281311', '0.1522815227508545', '0.270620197057724', '0.10172772407531738']"
8,"['98.27608489990234', '97.38056182861328', '97.1719741821289', '97.25382232666016', '99.11566925048828', '95.29733276367188', '95.77544403076172', '95.59881591796875', '97.00959777832031', '94.62452697753906', '97.64185333251953']"
