,0
0,<module 'time' (built-in)>
1,"['0.0341874323785305', '0.12160370498895645', '0.07155722379684448', '0.4836341440677643', '1.1001410484313965', '1.1518795490264893', '0.7793679237365723', '1.202764868736267', '1.3220287561416626', '0.9526250958442688', '0.9960118532180786', '0.2429329752922058', '0.22230905294418335', '1.3428863286972046', '0.44717541337013245', '0.03388519957661629', '0.15731306374073029', '0.2650822103023529', '1.230047345161438', '2.08441162109375', '0.8492894172668457', '2.2258453369140625', '2.1499876976013184', '1.7455111742019653', '0.6080792546272278', '0.27146875858306885', '0.07062139362096786', '0.023948773741722107', '0.39847511053085327', '0.6689666509628296']"
2,"['0.03734557703137398', '0.13246384263038635', '0.09419188648462296', '0.5878461599349976', '2.4527745246887207', '4.898390769958496', '2.958969831466675', '3.503929376602173', '1.518833875656128', '2.6107068061828613', '2.2293829917907715', '0.7665773034095764', '0.49913957715034485', '4.150674343109131', '2.1099019050598145', '0.049352891743183136', '0.45164573192596436', '0.5511757731437683', '8.023648262023926', '14.2330961227417', '6.532586574554443', '19.5676326751709', '22.615665435791016', '13.149120330810547', '2.7848961353302', '0.6567217707633972', '0.16392546892166138', '0.06072361767292023', '0.4452422261238098', '2.200627565383911']"
3,"['6.26447057723999', '6.305088996887207', '6.283736228942871', '6.509202003479004', '6.955667495727539', '6.849056243896484', '6.706814289093018', '7.055642604827881', '6.721856594085693', '6.900983810424805', '6.562800884246826', '6.3917951583862305', '6.347378253936768', '6.9008097648620605', '6.448063850402832', '6.2666120529174805', '6.3504414558410645', '6.379090309143066', '6.988190174102783', '7.428483486175537', '6.692972183227539', '7.541387557983398', '7.4178466796875', '7.164073944091797', '6.531211853027344', '6.387175559997559', '6.278672695159912', '6.26929235458374', '6.442879676818848', '6.613455772399902']"
4,"['5.921386241912842', '6.055410385131836', '6.027306079864502', '6.460258960723877', '7.232462406158447', '9.2044095993042', '8.636688232421875', '9.076407432556152', '10.907793998718262', '8.118491172790527', '6.1829729080200195', '5.957643032073975', '5.94359827041626', '6.3332600593566895', '6.4689764976501465', '5.930844783782959', '6.186854839324951', '6.249823570251465', '8.827991485595703', '7.540930271148682', '7.894988536834717', '8.869636535644531', '8.928099632263184', '9.27890682220459', '6.434788703918457', '6.326671123504639', '5.9586310386657715', '5.936346530914307', '6.362112045288086', '6.736927509307861']"
5,"['0.09585733711719513', '0.4363711476325989', '0.23568831384181976', '1.5633095502853394', '4.280535697937012', '4.292714595794678', '2.983642816543579', '5.813066482543945', '3.6321804523468018', '4.558362007141113', '4.181949138641357', '0.9468814134597778', '0.7738138437271118', '8.547269821166992', '2.600334644317627', '0.090928815305233', '0.4946177303791046', '0.6644771695137024', '2.697336196899414', '4.6952033042907715', '2.888563871383667', '7.604743003845215', '6.840522766113281', '5.080776214599609', '1.2806576490402222', '0.755301296710968', '0.1702461838722229', '0.09663619101047516', '1.062315583229065', '3.4723129272460938']"
6,"['99.9969253540039', '99.99614715576172', '99.9964828491211', '99.99026489257812', '99.92346954345703', '99.65180969238281', '99.94441986083984', '99.01225280761719', '99.86813354492188', '99.919189453125', '4.913754940032959', '2.3281188011169434', '2.3864426612854004', '4.9885406494140625', '99.98706817626953', '99.99689483642578', '99.9952163696289', '99.9911880493164', '99.701416015625', '42.16929244995117', '99.87909698486328', '62.21442794799805', '76.25774383544922', '83.79126739501953', '99.9839096069336', '99.99375915527344', '99.99668884277344', '99.99689483642578', '99.99329376220703', '99.96408081054688']"
7,"['0.09590604156255722', '0.4220704138278961', '0.22112968564033508', '1.3356138467788696', '3.28483247756958', '2.1040966510772705', '1.866428017616272', '3.1462981700897217', '2.028167963027954', '2.0436713695526123', '2.1665022373199463', '0.49686381220817566', '0.3677999973297119', '4.238256931304932', '1.5201085805892944', '0.09527722746133804', '0.6886539459228516', '0.4610882103443146', '1.8611960411071777', '2.7205467224121094', '1.6869828701019287', '3.7497565746307373', '3.392671823501587', '2.771430492401123', '0.8619426488876343', '0.5274066925048828', '0.13737954199314117', '0.10952195525169373', '0.8970338702201843', '1.7539275884628296']"
8,"['0.12271412461996078', '0.4142093062400818', '0.37581586837768555', '2.6187961101531982', '7.281461238861084', '12.858942031860352', '5.154082775115967', '18.843000411987305', '7.414578437805176', '6.849481105804443', '83.01602935791016', '96.4698715209961', '97.00646209716797', '73.1930160522461', '1.9942224025726318', '0.15668416023254395', '0.8250372409820557', '4.729846000671387', '10.847016334533691', '45.60679244995117', '8.713644981384277', '27.668384552001953', '21.239646911621094', '29.96436309814453', '4.592536449432373', '1.8357164859771729', '0.2371850162744522', '0.10540727525949478', '1.550912857055664', '6.769762992858887']"
