,0
0,<module 'time' (built-in)>
1,"['10.507612228393555', '15.601357460021973', '14.19859790802002', '10.532543182373047', '6.998798847198486', '7.208437442779541', '13.764161109924316', '10.596158981323242', '9.972908020019531', '16.02737808227539', '11.74184799194336', '10.50636100769043', '13.620305061340332', '14.269757270812988', '12.8661470413208', '12.641043663024902', '12.960335731506348', '13.80031967163086', '13.897546768188477', '9.945329666137695', '5.834292888641357', '6.3665852546691895', '8.10822868347168', '8.232322692871094', '6.850793361663818', '11.626059532165527', '10.844685554504395', '7.333122253417969', '8.207474708557129']"
2,"['2.7563376426696777', '4.048767566680908', '4.424798965454102', '3.4140548706054688', '2.863279104232788', '3.1693179607391357', '3.3300154209136963', '2.7421340942382812', '3.7150251865386963', '4.624563217163086', '2.2032599449157715', '3.9563350677490234', '3.098694324493408', '3.38974666595459', '3.7376112937927246', '4.828937530517578', '3.70074725151062', '4.578489303588867', '3.127580165863037', '3.878328561782837', '1.9604038000106812', '1.891844391822815', '2.571997880935669', '2.750117301940918', '2.023529052734375', '2.8208203315734863', '2.7274374961853027', '2.0314981937408447', '2.838545560836792']"
3,"['7.555328369140625', '7.644372463226318', '7.8983917236328125', '7.55692720413208', '7.4191107749938965', '12.541357040405273', '8.326839447021484', '8.341288566589355', '8.326014518737793', '8.193456649780273', '8.430365562438965', '9.672098159790039', '9.700092315673828', '9.49683666229248', '9.621164321899414', '10.687882423400879', '9.1096830368042', '8.861473083496094', '8.659677505493164', '8.363876342773438', '7.244928359985352', '7.785732269287109', '8.172739028930664', '7.843740463256836', '7.765635013580322', '7.848282814025879', '8.201051712036133', '7.682608604431152', '8.347622871398926']"
4,"['7.2015604972839355', '7.400115013122559', '7.294836044311523', '7.070789337158203', '7.047426700592041', '9.139771461486816', '8.537455558776855', '7.97435188293457', '7.4026336669921875', '8.48084831237793', '7.682456970214844', '7.847080230712891', '7.96131706237793', '8.285100936889648', '8.307360649108887', '8.27712345123291', '8.238887786865234', '8.309479713439941', '7.927952766418457', '7.705004692077637', '7.27447509765625', '7.822761058807373', '7.7592902183532715', '8.266464233398438', '8.156390190124512', '7.737126350402832', '8.326034545898438', '7.693894386291504', '8.677497863769531']"
5,"['21.263071060180664', '30.06075668334961', '33.046775817871094', '38.51900100708008', '46.10844039916992', '19.27731704711914', '20.741165161132812', '25.410171508789062', '21.416948318481445', '23.39055824279785', '52.143775939941406', '42.42155075073242', '24.706371307373047', '25.94489097595215', '30.227079391479492', '25.131671905517578', '37.783973693847656', '26.203140258789062', '30.025726318359375', '34.25597381591797', '24.679048538208008', '21.276342391967773', '24.43083953857422', '30.479225158691406', '19.344282150268555', '17.475357055664062', '14.00165843963623', '16.21636199951172', '27.156103134155273']"
6,"['3.195497512817383', '3.2772562503814697', '3.314889907836914', '3.1749014854431152', '2.971583604812622', '9.263651847839355', '6.6007771492004395', '11.562766075134277', '6.9528632164001465', '8.11464786529541', '5.367722988128662', '6.601730823516846', '4.823915958404541', '6.909802436828613', '6.3265604972839355', '7.435157299041748', '5.688722610473633', '7.937069416046143', '7.514978408813477', '4.850090503692627', '3.416219711303711', '3.744460344314575', '4.243966579437256', '5.019352436065674', '4.555510520935059', '6.076033592224121', '7.170207977294922', '4.68404483795166', '4.561911582946777']"
7,"['52.2015266418457', '33.56181335449219', '31.139820098876953', '31.65507698059082', '32.222469329833984', '34.88438034057617', '25.75861167907715', '16.94647216796875', '11.69430923461914', '23.896867752075195', '12.043100357055664', '13.35338020324707', '30.012422561645508', '29.16764259338379', '27.469867706298828', '22.90450096130371', '19.496007919311523', '29.05232048034668', '27.342357635498047', '30.894262313842773', '57.2706413269043', '57.21848678588867', '49.418235778808594', '41.878448486328125', '54.96867752075195', '48.5855598449707', '50.35297393798828', '58.90723419189453', '43.34571838378906']"
8,"['4.806446075439453', '7.495360851287842', '7.6943745613098145', '7.752341270446777', '4.441950798034668', '8.701930046081543', '18.635766983032227', '23.313968658447266', '37.349552154541016', '13.043096542358398', '7.190858364105225', '11.449162483215332', '12.306446075439453', '7.92709493637085', '6.848989963531494', '13.130969047546387', '8.833978652954102', '6.8540849685668945', '7.564634799957275', '7.150057792663574', '1.6711134910583496', '1.922127366065979', '2.7528088092803955', '2.2036266326904297', '3.412849187850952', '4.684263229370117', '4.281345367431641', '2.98716139793396', '3.1225812435150146']"
