,0
0,<module 'time' (built-in)>
1,"['1.4762247800827026', '2.263383388519287', '0.5414891839027405', '1.6974936723709106', '1.1860157251358032', '2.456571340560913', '1.1151622533798218', '1.317545771598816', '1.0254778861999512', '0.6486755013465881', '0.7493765354156494', '1.4761415719985962', '1.4962518215179443', '1.00271737575531', '1.5804612636566162', '1.4442421197891235', '0.8217850923538208']"
2,"['2.3679816722869873', '3.6471638679504395', '0.6511672139167786', '2.2712440490722656', '1.7095966339111328', '1.5833873748779297', '0.9704858064651489', '0.38645076751708984', '0.7472686767578125', '0.6243708729743958', '0.9245940446853638', '0.8074781894683838', '0.5878002047538757', '0.8574581742286682', '1.227949619293213', '1.5254313945770264', '0.8662318587303162']"
3,"['98.27403259277344', '94.75623321533203', '99.52230072021484', '97.63108825683594', '99.0787353515625', '60.935211181640625', '33.78893280029297', '99.24772644042969', '97.80840301513672', '98.72919464111328', '89.72008514404297', '96.37420654296875', '98.27296447753906', '97.3310775756836', '92.3656005859375', '84.25982666015625', '98.5155029296875']"
4,"['7.829012870788574', '10.81892204284668', '6.462586879730225', '9.098196029663086', '7.081965923309326', '55.06853485107422', '77.70365142822266', '8.897798538208008', '14.443977355957031', '12.657538414001465', '38.970481872558594', '17.263803482055664', '12.635580062866211', '14.714771270751953', '24.322160720825195', '30.601787567138672', '10.490509033203125']"
5,"['2.8282604217529297', '3.9793152809143066', '0.9897973537445068', '4.106260776519775', '1.9187284708023071', '2.9646315574645996', '1.5729354619979858', '0.7853639125823975', '2.227125883102417', '1.384386658668518', '2.1217963695526123', '3.9688825607299805', '2.4756205081939697', '3.4777474403381348', '4.032461166381836', '6.111108779907227', '3.7279577255249023']"
6,"['2.6906163692474365', '2.9995880126953125', '2.3065595626831055', '2.7216007709503174', '2.5525691509246826', '5.587935447692871', '7.621125221252441', '2.5639326572418213', '2.8282277584075928', '2.335385322570801', '2.6880805492401123', '3.086712121963501', '2.6465559005737305', '2.673234224319458', '2.9777462482452393', '3.115330934524536', '2.455371141433716']"
7,"['1.6188223361968994', '2.514496326446533', '0.5568371415138245', '1.7486753463745117', '1.5600651502609253', '1.6122533082962036', '1.0463823080062866', '0.5172831416130066', '2.186668634414673', '1.1243329048156738', '1.9134372472763062', '2.3363585472106934', '1.8549928665161133', '2.620966672897339', '3.911647319793701', '5.490213394165039', '2.0892786979675293']"
8,"['7.159930229187012', '10.275397300720215', '1.8382453918457031', '6.852208614349365', '3.6883716583251953', '3.502537727355957', '2.49241042137146', '0.9587922096252441', '1.5017166137695312', '1.1225481033325195', '1.470584750175476', '1.3277702331542969', '1.2353386878967285', '2.1549580097198486', '2.125067949295044', '2.7332985401153564', '2.0306575298309326']"
