,0
0,<module 'time' (built-in)>
1,"['2.3484866619110107', '2.722825288772583', '2.210296392440796', '2.568991184234619', '2.6669270992279053', '1.2822984457015991', '1.1390787363052368', '1.30034339427948', '1.8771578073501587', '0.3268158733844757', '1.766463041305542', '2.6609621047973633', '2.988740921020508', '2.3116514682769775', '2.863513231277466', '2.127626419067383', '3.1867356300354004', '2.840318441390991', '1.9068459272384644', '1.97216796875', '2.421490430831909', '2.1820454597473145', '2.131925582885742', '1.7510262727737427', '2.731902837753296', '1.3283377885818481']"
2,"['5.10141134262085', '5.819263458251953', '5.852962493896484', '6.759695053100586', '5.5059380531311035', '3.472409725189209', '3.0991532802581787', '4.699773788452148', '4.1001787185668945', '1.493190884590149', '5.9930267333984375', '6.297098636627197', '6.069112777709961', '8.643183708190918', '7.12117862701416', '4.192720413208008', '5.490802764892578', '5.615195274353027', '4.381511211395264', '4.93487024307251', '5.590760231018066', '3.6185238361358643', '5.912281513214111', '5.822969436645508', '4.934088706970215', '4.3808112144470215']"
3,"['6.633946418762207', '6.664002895355225', '6.635064125061035', '6.662412166595459', '6.715862274169922', '6.524104118347168', '6.490358829498291', '6.500751495361328', '6.56125545501709', '6.426510810852051', '6.504445552825928', '6.541572570800781', '6.670251369476318', '6.7051897048950195', '6.673602104187012', '6.509822845458984', '6.53623104095459', '6.599687099456787', '6.5156965255737305', '6.593129634857178', '6.571380615234375', '6.497431755065918', '6.578452110290527', '6.5173258781433105', '6.530182838439941', '6.491725921630859']"
4,"['6.064525604248047', '6.093303203582764', '6.102029800415039', '6.100605010986328', '6.1176838874816895', '5.98974084854126', '5.975754737854004', '5.9879150390625', '6.045321941375732', '5.969578742980957', '6.001148223876953', '6.050169467926025', '6.1059675216674805', '6.071359157562256', '6.064910888671875', '5.992903709411621', '6.053103923797607', '6.136518478393555', '6.026002883911133', '6.040107250213623', '6.020907402038574', '5.998612403869629', '6.036452293395996', '6.015444755554199', '6.022642135620117', '5.996694564819336']"
5,"['10.600476264953613', '10.651106834411621', '13.470484733581543', '19.62180519104004', '15.054506301879883', '10.851089477539062', '9.682114601135254', '15.313076972961426', '11.848237037658691', '1.540712594985962', '10.82060718536377', '16.859601974487305', '17.862445831298828', '27.976736068725586', '18.813220977783203', '9.28702163696289', '7.629548072814941', '9.582275390625', '5.614505290985107', '9.691580772399902', '8.340214729309082', '6.023417949676514', '10.009368896484375', '10.994315147399902', '9.705281257629395', '8.713984489440918']"
6,"['3.9443962574005127', '5.848433971405029', '12.254552841186523', '10.550488471984863', '8.724943161010742', '3.1157305240631104', '2.943453073501587', '4.228306770324707', '6.286478042602539', '2.9150326251983643', '5.037464618682861', '7.2744035720825195', '7.6451568603515625', '5.16436243057251', '4.902223587036133', '3.461252212524414', '6.598623752593994', '4.490338325500488', '4.025452136993408', '3.4564661979675293', '4.493513107299805', '5.335940837860107', '4.702133655548096', '3.7094733715057373', '5.749416351318359', '3.874138355255127']"
7,"['2.3590824604034424', '2.0559463500976562', '2.219935655593872', '2.4250621795654297', '2.5815203189849854', '0.8917482495307922', '0.8989071249961853', '1.1583906412124634', '1.8238404989242554', '0.6006521582603455', '1.2622264623641968', '2.109178066253662', '2.3703391551971436', '2.47538685798645', '2.612699270248413', '1.422666072845459', '1.6426159143447876', '2.2481589317321777', '1.1463805437088013', '1.7670435905456543', '1.426921010017395', '1.1449084281921387', '1.439219355583191', '1.3576850891113281', '1.521000862121582', '1.00645911693573']"
8,"['73.96260833740234', '70.09420013427734', '61.949466705322266', '55.46292495727539', '62.35724639892578', '79.9896469116211', '82.17997741699219', '71.84662628173828', '71.4741439819336', '93.24685668945312', '73.14868927001953', '62.1253547668457', '59.99784469604492', '50.83842849731445', '61.29435348510742', '78.71479034423828', '72.83832550048828', '73.01590728759766', '81.49897766113281', '77.10691833496094', '75.87229919433594', '79.61721801757812', '73.77166748046875', '75.2421646118164', '73.01496124267578', '79.52086639404297']"
