,0
0,<module 'time' (built-in)>
1,"['99.80237579345703', '99.67567443847656', '99.6777114868164', '99.85017395019531', '99.84652709960938', '99.75836181640625', '99.67794036865234', '99.72278594970703', '99.7348403930664', '99.72659301757812', '99.6414566040039', '99.21098327636719', '98.69807434082031', '99.56031799316406', '99.15589904785156', '99.47506713867188', '99.11137390136719', '99.13569641113281', '99.49624633789062', '99.11573791503906', '99.12574005126953', '99.44589233398438', '99.37342834472656', '99.24431610107422', '99.09664154052734']"
2,"['0.016714004799723625', '0.022755812853574753', '0.022470859810709953', '0.012692084535956383', '0.011467509903013706', '0.018896067515015602', '0.020973410457372665', '0.02315972000360489', '0.02092120237648487', '0.016744710505008698', '0.028199786320328712', '0.06295470893383026', '0.08296412974596024', '0.041179366409778595', '0.05976957455277443', '0.04962119460105896', '0.06762124598026276', '0.05849814787507057', '0.033849336206912994', '0.06947583705186844', '0.06141221523284912', '0.04830394685268402', '0.054880812764167786', '0.06352159380912781', '0.06775898486375809']"
3,"['6.26529598236084', '6.271625518798828', '6.272684097290039', '6.263367176055908', '6.263391017913818', '6.269927501678467', '6.273162364959717', '6.272730827331543', '6.275607109069824', '6.279619216918945', '6.285158634185791', '6.348814964294434', '6.396709442138672', '6.294089317321777', '6.346048355102539', '6.3057050704956055', '6.34623908996582', '6.339302062988281', '6.304900169372559', '6.341816425323486', '6.342661380767822', '6.302675724029541', '6.312439441680908', '6.332633018493652', '6.3414788246154785']"
4,"['5.88359260559082', '5.8867597579956055', '5.884934425354004', '5.879967212677002', '5.880607604980469', '5.884650707244873', '5.8864288330078125', '5.8855438232421875', '5.8871564865112305', '5.8928632736206055', '5.892326831817627', '5.9146342277526855', '5.93537712097168', '5.896681785583496', '5.929159164428711', '5.902544975280762', '5.920962810516357', '5.923521041870117', '5.908947467803955', '5.921257019042969', '5.923271179199219', '5.904913425445557', '5.91050386428833', '5.91630220413208', '5.919330596923828']"
5,"['0.0350138284265995', '0.04308890923857689', '0.05004332214593887', '0.021032268181443214', '0.016753196716308594', '0.031679440289735794', '0.040402643382549286', '0.038865454494953156', '0.034011732786893845', '0.03211593255400658', '0.04388503357768059', '0.0792587548494339', '0.11789995431900024', '0.05121798440814018', '0.08454688638448715', '0.06002318859100342', '0.09246797114610672', '0.08347619324922562', '0.052546389400959015', '0.10855870693922043', '0.10423720628023148', '0.06857337057590485', '0.08190899342298508', '0.08901841193437576', '0.11371961981058121']"
6,"['2.153263568878174', '2.1546757221221924', '2.1542792320251465', '2.1508612632751465', '2.150873899459839', '2.1530232429504395', '2.1538774967193604', '2.1536428928375244', '2.153385877609253', '2.1543054580688477', '2.1550164222717285', '2.1599717140197754', '2.166412830352783', '2.1564786434173584', '2.163350820541382', '2.158926248550415', '2.164669990539551', '2.167698860168457', '2.1583502292633057', '2.1638031005859375', '2.1652698516845703', '2.1610209941864014', '2.162200450897217', '2.1644957065582275', '2.164379596710205']"
7,"['0.04599151387810707', '0.12249184399843216', '0.11638976633548737', '0.04641015827655792', '0.05358650162816048', '0.08069122582674026', '0.133617103099823', '0.09137894213199615', '0.05950068682432175', '0.049954768270254135', '0.08337394893169403', '0.17171840369701385', '0.25661829113960266', '0.09829770028591156', '0.1871054619550705', '0.10662136226892471', '0.1472460776567459', '0.16608785092830658', '0.10263407230377197', '0.22443777322769165', '0.1995144635438919', '0.13441483676433563', '0.13951516151428223', '0.17416995763778687', '0.22114747762680054']"
8,"['0.0277866143733263', '0.03816841170191765', '0.03969249874353409', '0.019119150936603546', '0.01929117925465107', '0.027069563046097755', '0.029758647084236145', '0.030507223680615425', '0.048268530517816544', '0.045825209468603134', '0.06247550994157791', '0.13338983058929443', '0.33285003900527954', '0.07424888759851456', '0.12635920941829681', '0.0872403085231781', '0.21214498579502106', '0.18381059169769287', '0.07962754368782043', '0.12336704879999161', '0.13879412412643433', '0.07404518872499466', '0.08343696594238281', '0.0994659811258316', '0.14620739221572876']"
