,0
0,<module 'time' (built-in)>
1,"['89.67539978027344', '86.80045318603516', '91.394287109375', '94.31570434570312', '90.25444030761719', '94.8060302734375', '93.34361267089844', '92.12661743164062', '93.48576354980469', '98.40643310546875', '92.27764129638672', '95.47774505615234', '89.87692260742188', '97.03355407714844', '98.95748138427734', '91.03596496582031', '97.42447662353516', '86.2037124633789', '93.76678466796875', '89.19673919677734', '79.62348175048828', '76.1801528930664', '77.70288848876953', '63.514305114746094', '80.80873107910156', '89.1424560546875', '67.31636810302734', '79.9700698852539']"
2,"['0.3087310492992401', '0.4846082031726837', '0.30982765555381775', '0.26564061641693115', '0.34977394342422485', '0.1916666328907013', '0.18781116604804993', '0.2695269286632538', '0.1785607635974884', '0.05493665114045143', '0.10176675766706467', '0.1746918261051178', '0.33238962292671204', '0.09016449004411697', '0.038313042372465134', '0.22432976961135864', '0.0959642305970192', '0.2957645654678345', '0.1869000792503357', '0.19456714391708374', '0.49222031235694885', '0.6646163463592529', '0.46634382009506226', '0.5312474370002747', '0.2821057438850403', '0.18697823584079742', '0.46285367012023926', '0.3149520456790924']"
3,"['6.581957817077637', '6.794342994689941', '6.697286128997803', '6.602112293243408', '6.667636871337891', '6.4716997146606445', '6.578314304351807', '6.676251411437988', '6.554768085479736', '6.339371204376221', '6.406420707702637', '6.513179779052734', '6.648944854736328', '6.369075298309326', '6.319884777069092', '6.714568138122559', '6.396756172180176', '6.725954055786133', '6.479920387268066', '6.4856486320495605', '6.904239177703857', '6.88077974319458', '6.702147483825684', '6.834039688110352', '6.66666841506958', '6.480660438537598', '6.868792533874512', '6.672576904296875']"
4,"['6.102745056152344', '6.252277851104736', '6.15184211730957', '6.077499866485596', '6.0956830978393555', '6.026078224182129', '6.015186786651611', '6.082281589508057', '6.067805767059326', '5.9536824226379395', '6.004337787628174', '6.040717124938965', '6.104184150695801', '5.981285095214844', '5.92517614364624', '6.101766586303711', '5.990713596343994', '6.320784091949463', '6.074259281158447', '6.1735920906066895', '6.603635787963867', '6.5179877281188965', '6.229067325592041', '6.648549556732178', '6.598006725311279', '6.2186150550842285', '6.471548080444336', '6.20295524597168']"
5,"['0.37539437413215637', '0.6517770886421204', '0.48993414640426636', '0.45587852597236633', '0.43520066142082214', '0.26172149181365967', '0.3070273995399475', '0.5154628753662109', '0.652371883392334', '0.09820742905139923', '0.14686578512191772', '0.3183656930923462', '0.46839049458503723', '0.1320289969444275', '0.07210086286067963', '0.4990759789943695', '0.17517222464084625', '0.49165472388267517', '0.24765008687973022', '0.265249639749527', '1.3041162490844727', '1.1811344623565674', '0.9038647413253784', '1.0890129804611206', '0.48368507623672485', '0.27519410848617554', '0.804886519908905', '0.6028135418891907']"
6,"['2.352766513824463', '2.4531407356262207', '2.3542795181274414', '2.2823569774627686', '2.29019832611084', '2.2665817737579346', '2.229602336883545', '2.287418842315674', '2.657646417617798', '2.2067363262176514', '2.229210138320923', '2.2989652156829834', '2.311774730682373', '2.211292028427124', '2.1852877140045166', '2.3514351844787598', '2.2169835567474365', '2.3862674236297607', '2.269871711730957', '2.3321118354797363', '3.2520267963409424', '2.8914499282836914', '2.690621852874756', '2.6821558475494385', '2.8463799953460693', '2.4185171127319336', '2.897124767303467', '2.686079740524292']"
7,"['0.8228452801704407', '1.1349191665649414', '0.7561667561531067', '0.6450009346008301', '0.799823522567749', '0.448047935962677', '0.512287974357605', '0.7647852301597595', '0.6649051904678345', '0.15232780575752258', '0.2956915497779846', '0.5099625587463379', '0.8935163021087646', '0.24144360423088074', '0.12020806223154068', '0.7667245864868164', '0.2794592082500458', '0.857343316078186', '0.4676942229270935', '0.5259878039360046', '1.7245674133300781', '1.8579453229904175', '1.4309754371643066', '1.60258948802948', '0.7912147641181946', '0.4958442449569702', '1.1817517280578613', '0.951282799243927']"
8,"['6.919987678527832', '7.951632022857666', '4.8044586181640625', '2.6656131744384766', '6.313892364501953', '3.072516441345215', '4.3728461265563965', '4.504292011260986', '2.388366222381592', '0.7073639631271362', '6.260123252868652', '2.0798373222351074', '6.527516841888428', '1.7761133909225464', '0.4152091145515442', '5.334862232208252', '1.2011102437973022', '9.325935363769531', '3.9585773944854736', '7.982903003692627', '10.777809143066406', '15.137577056884766', '16.084543228149414', '28.594053268432617', '12.967981338500977', '7.698284149169922', '25.377071380615234', '14.8833646774292']"
