,0
0,<module 'time' (built-in)>
1,"['0.29541468620300293', '0.5399814248085022', '0.6556207537651062', '0.44909757375717163', '0.46918419003486633', '0.5370967388153076', '0.4995585083961487', '0.4161832928657532', '0.5104678273200989', '0.38756605982780457', '0.3635398745536804', '0.5169269442558289', '0.491798996925354', '0.45737144351005554', '0.4855070114135742', '0.3246542811393738', '0.2781655788421631', '0.5224352478981018', '0.5980393886566162', '0.7290540337562561', '0.7041796445846558', '0.7130612134933472', '0.6125250458717346', '0.7008756399154663', '0.6234151721000671', '0.568053662776947', '0.3927132487297058', '0.6267185807228088']"
2,"['1.5949822664260864', '3.4588356018066406', '3.858365535736084', '2.828108072280884', '3.4486119747161865', '2.537003755569458', '1.6800528764724731', '1.685758352279663', '1.869915246963501', '1.5426158905029297', '1.5958106517791748', '2.0541980266571045', '1.9547920227050781', '1.867710828781128', '1.9177565574645996', '1.6224557161331177', '1.5396642684936523', '2.4520070552825928', '2.7136623859405518', '2.8473386764526367', '3.3395721912384033', '3.849217653274536', '2.775233030319214', '2.5429136753082275', '2.63242769241333', '2.134838104248047', '2.050994396209717', '2.5382344722747803']"
3,"['6.926830291748047', '7.698760986328125', '8.468573570251465', '7.375936985015869', '7.501060485839844', '8.090780258178711', '7.267268657684326', '7.350490093231201', '8.446272850036621', '7.1686835289001465', '7.147958755493164', '7.435827732086182', '7.512535095214844', '7.657874584197998', '7.824583530426025', '7.040695667266846', '6.876634120941162', '7.470473766326904', '8.285173416137695', '9.375107765197754', '9.613369941711426', '9.0361909866333', '7.720702171325684', '9.082011222839355', '8.556224822998047', '8.811034202575684', '8.469588279724121', '10.284980773925781']"
4,"['6.15401029586792', '6.279969215393066', '6.380669116973877', '6.2731122970581055', '6.28578519821167', '6.2904462814331055', '6.175859451293945', '6.192714691162109', '6.175435543060303', '6.119636535644531', '6.143659591674805', '6.294633388519287', '6.227566242218018', '6.155689239501953', '6.1403350830078125', '6.077075004577637', '6.039611339569092', '6.239511013031006', '6.370878219604492', '6.321576118469238', '6.427929401397705', '6.516901969909668', '6.391219615936279', '6.3269243240356445', '6.390618324279785', '6.294251441955566', '6.223299980163574', '6.426357269287109']"
5,"['1.2219523191452026', '2.684403896331787', '4.304680347442627', '2.831066846847534', '3.044265031814575', '2.386215925216675', '1.8718104362487793', '1.5399643182754517', '1.8057420253753662', '1.5537536144256592', '1.4791558980941772', '2.0599777698516846', '2.0059027671813965', '1.8157083988189697', '1.5578886270523071', '1.4332056045532227', '1.0786588191986084', '2.1379029750823975', '2.7262914180755615', '3.342092514038086', '3.42869234085083', '3.623713254928589', '3.0466091632843018', '3.068385362625122', '2.818042039871216', '2.426020860671997', '1.970625877380371', '2.701742649078369']"
6,"['2.8479256629943848', '3.9836738109588623', '8.04684829711914', '3.9420392513275146', '4.031536102294922', '3.4245684146881104', '3.0101819038391113', '2.879608154296875', '2.902510643005371', '2.9045093059539795', '2.837088108062744', '3.38674259185791', '3.2271244525909424', '2.770702838897705', '2.8222012519836426', '2.7805027961730957', '2.593825578689575', '3.1196751594543457', '3.380676031112671', '3.6579337120056152', '3.4613614082336426', '4.263433456420898', '3.5097148418426514', '3.461867570877075', '3.1183459758758545', '3.081425905227661', '2.882821559906006', '3.7657883167266846']"
7,"['0.6914320588111877', '1.10939359664917', '1.2168697118759155', '0.9919507503509521', '1.0417410135269165', '0.9902207255363464', '0.81339031457901', '0.7749015688896179', '1.0194562673568726', '0.729182779788971', '0.6527578234672546', '0.9878175258636475', '0.8910112380981445', '0.8709338307380676', '0.9500030279159546', '0.6588751077651978', '0.544184684753418', '0.8734959959983826', '1.294836163520813', '1.4651669263839722', '1.4143171310424805', '1.4395530223846436', '1.1439460515975952', '1.3372759819030762', '1.2225500345230103', '1.0260947942733765', '0.8588680028915405', '1.3530189990997314']"
8,"['92.15753173828125', '84.09223937988281', '75.16859436035156', '85.41626739501953', '84.10601806640625', '85.88127899169922', '90.04127502441406', '90.62329864501953', '88.0708999633789', '91.26675415039062', '91.53191375732422', '87.8449935913086', '88.5113754272461', '89.88726043701172', '89.6239013671875', '92.09083557128906', '93.58145904541016', '88.15386199951172', '84.59032440185547', '81.51795959472656', '80.82854461669922', '79.14598846435547', '84.9127197265625', '83.04472351074219', '84.75394439697266', '85.85006713867188', '87.8947982788086', '81.0169448852539']"
