,0
0,<module 'time' (built-in)>
1,"['0.244040384888649', '0.22724759578704834', '0.38434696197509766', '0.3712589144706726', '0.392609566450119', '1.7212063074111938', '1.2757585048675537', '0.9818435907363892', '1.4974232912063599', '1.2108582258224487', '1.6037534475326538', '1.1812117099761963', '2.161975860595703', '1.186029076576233', '1.1230257749557495', '2.064634323120117']"
2,"['0.3802975118160248', '0.36540961265563965', '0.5276325345039368', '0.5256920456886292', '0.7443736791610718', '12.298608779907227', '2.8029191493988037', '2.1989312171936035', '3.565843105316162', '1.8601335287094116', '2.457092523574829', '1.5156676769256592', '3.919215440750122', '5.099102020263672', '4.117565631866455', '6.060908794403076']"
3,"['6.494873046875', '6.468971252441406', '6.635733127593994', '6.749220371246338', '6.630072116851807', '8.765996932983398', '7.802299976348877', '7.434610366821289', '8.363658905029297', '8.283434867858887', '8.474096298217773', '8.095625877380371', '9.161238670349121', '7.492984294891357', '7.421074867248535', '8.499641418457031']"
4,"['5.95773983001709', '5.941162109375', '6.006690979003906', '6.027136325836182', '6.010125160217285', '6.6609673500061035', '6.424378395080566', '6.180628776550293', '6.285671710968018', '6.236278533935547', '6.424407482147217', '6.326939105987549', '6.534912586212158', '6.211258411407471', '6.178593158721924', '6.506219387054443']"
5,"['97.5390625', '97.73661804199219', '95.98477172851562', '95.68535614013672', '95.25830078125', '41.86410903930664', '64.67742919921875', '82.54039001464844', '78.85359191894531', '79.85749053955078', '78.16747283935547', '82.85700988769531', '71.08364868164062', '81.44170379638672', '83.84529876708984', '66.69782257080078']"
6,"['2.2721052169799805', '2.2396152019500732', '2.352839231491089', '2.3419992923736572', '2.4022488594055176', '5.964550018310547', '4.039633274078369', '2.88053822517395', '2.970672845840454', '2.786100149154663', '3.0821549892425537', '3.02708101272583', '3.883537769317627', '2.704087018966675', '2.592527389526367', '3.227266788482666']"
7,"['0.37112268805503845', '0.3423110842704773', '0.5020740628242493', '0.6100972890853882', '0.5869176983833313', '2.8553719520568848', '2.18544864654541', '2.7144556045532227', '2.7957956790924072', '2.9107446670532227', '2.98307728767395', '2.646573305130005', '5.029703617095947', '3.3002500534057617', '2.632382392883301', '4.395279884338379']"
8,"['0.3643883764743805', '0.42419251799583435', '0.8537184596061707', '0.8284399509429932', '1.1228448152542114', '27.594417572021484', '20.311899185180664', '6.4905619621276855', '6.239922046661377', '7.8230671882629395', '6.961767196655273', '4.924281120300293', '7.038585662841797', '4.177731037139893', '3.9941604137420654', '12.382279396057129']"
