,0
0,<module 'time' (built-in)>
1,"['1.7152769565582275', '2.6988673210144043', '2.376213312149048', '1.0737524032592773', '1.6752461194992065', '2.676582098007202']"
2,"['0.8712772130966187', '0.9120052456855774', '0.8472611904144287', '0.5180498361587524', '0.3264816701412201', '0.7258302569389343']"
3,"['99.008544921875', '98.87155151367188', '98.68040466308594', '99.27432250976562', '99.47894287109375', '99.14744567871094']"
4,"['9.35006332397461', '9.164743423461914', '9.99478816986084', '8.15573501586914', '6.9507269859313965', '7.8645429611206055']"
5,"['1.2405011653900146', '1.3362594842910767', '1.378255844116211', '0.7185071110725403', '0.5437524318695068', '0.9171823859214783']"
6,"['2.2588207721710205', '2.2731597423553467', '2.321275234222412', '2.250314712524414', '2.219426155090332', '2.2528152465820312']"
7,"['1.4101183414459229', '1.7132090330123901', '1.627801775932312', '1.1359301805496216', '0.7726371884346008', '1.7817580699920654']"
8,"['2.05676531791687', '2.4350063800811768', '3.126361846923828', '2.4519717693328857', '1.3859844207763672', '2.262603759765625']"
