,0
0,<module 'time' (built-in)>
1,"['0.1256846785545349', '0.09466902911663055', '0.12254835665225983', '0.22891201078891754', '0.2188819944858551', '0.14544977247714996', '0.24893435835838318', '0.1388857066631317', '0.08205978572368622', '0.31921929121017456', '0.30885928869247437', '0.39465445280075073', '0.20687657594680786', '0.19018226861953735', '0.4782021939754486', '0.5861115455627441', '0.2555592358112335', '0.3629625737667084', '0.578019917011261', '0.32616373896598816', '0.4666597545146942', '0.32802847027778625']"
2,"['2.562800645828247', '2.170154094696045', '4.036072731018066', '6.353124141693115', '2.742328405380249', '5.921735763549805', '15.079142570495605', '2.9198591709136963', '1.9256994724273682', '13.368741035461426', '17.211057662963867', '15.976089477539062', '9.375368118286133', '8.72984504699707', '70.65982818603516', '39.7423095703125', '9.6114501953125', '26.472959518432617', '48.28528594970703', '10.78077507019043', '53.039085388183594', '63.918006896972656']"
3,"['6.352758407592773', '6.326388359069824', '6.35062313079834', '6.4642438888549805', '6.441464900970459', '6.374795913696289', '6.528512477874756', '6.357541561126709', '6.298233509063721', '6.5606160163879395', '6.5651373863220215', '6.725375175476074', '6.405742645263672', '6.4573564529418945', '6.679693698883057', '7.028938293457031', '6.471642017364502', '6.748218059539795', '6.70086145401001', '6.669929504394531', '6.920036792755127', '6.834904670715332']"
4,"['6.03596830368042', '5.972193717956543', '6.038876056671143', '6.1290998458862305', '6.1322784423828125', '6.066981315612793', '6.441544532775879', '6.203780174255371', '5.974228382110596', '6.492007732391357', '6.2577409744262695', '6.700851917266846', '6.143904685974121', '6.25367546081543', '6.377768516540527', '6.714748382568359', '6.118052959442139', '6.49941873550415', '6.975295543670654', '6.331710338592529', '6.687496662139893', '6.512028694152832']"
5,"['0.25863152742385864', '0.22385595738887787', '0.22942808270454407', '0.49255067110061646', '0.40212011337280273', '0.2767893373966217', '0.7022061944007874', '0.274169921875', '0.1180393248796463', '0.9437693357467651', '0.6664523482322693', '1.2028043270111084', '0.44355928897857666', '0.623262882232666', '1.4126770496368408', '2.8521416187286377', '0.9150890707969666', '1.9031634330749512', '1.3472695350646973', '0.9408343434333801', '1.6966595649719238', '1.3097935914993286']"
6,"['2.2560577392578125', '2.226405620574951', '2.256929636001587', '2.44797682762146', '2.405614137649536', '2.324871301651001', '2.6394736766815186', '2.3842620849609375', '2.227304458618164', '2.638434648513794', '2.4766311645507812', '2.7992076873779297', '2.356954574584961', '2.5213470458984375', '3.253706216812134', '4.148027420043945', '2.4356770515441895', '2.9371135234832764', '64.14916229248047', '2.7043120861053467', '7.863687515258789', '4.7596564292907715']"
7,"['0.3085253834724426', '0.2155587524175644', '0.26082172989845276', '0.538963794708252', '0.5449213981628418', '0.3728950619697571', '0.9927533864974976', '0.3496107757091522', '0.14896303415298462', '2.0572803020477295', '1.7772233486175537', '3.4600985050201416', '1.0883907079696655', '1.0300647020339966', '1.9744353294372559', '5.602076053619385', '0.9101724028587341', '3.611250162124634', '4.818994522094727', '1.628603219985962', '3.5590782165527344', '3.132673740386963']"
8,"['95.7617416381836', '96.62773895263672', '94.36227416992188', '90.35997009277344', '94.22607421875', '91.96107482910156', '79.49647521972656', '94.49435424804688', '97.10419464111328', '79.64816284179688', '77.40433502197266', '74.06462097167969', '87.20559692382812', '86.88192749023438', '20.35934829711914', '42.88128662109375', '86.33182525634766', '62.845855712890625', '10.565936088562012', '82.67591094970703', '28.4078369140625', '22.805776596069336']"
