,0
0,<module 'time' (built-in)>
1,"['0.03214050829410553', '0.039183057844638824', '0.0808960422873497', '0.023699656128883362', '0.06804610788822174', '0.00031989399576559663', '0.00018229348643217236', '0.000250145880272612', '0.000445821788161993', '0.0005649291560985148', '0.001397672574967146', '0.0026287275832146406', '0.0005849736044183373', '0.00019499236077535897', '0.0014325645752251148', '0.0006021676817908883', '0.0006790520856156945', '0.00011610607180045918', '0.000649347435683012', '0.00036513732629828155', '0.00021687860134989023', '0.0016344927717000246', '0.001284371828660369', '0.0038608273025602102', '0.004453654401004314']"
2,"['0.0337691605091095', '0.03326493129134178', '0.07571303099393845', '0.03006770834326744', '0.08305392414331436', '0.0005329083651304245', '0.00020948944438714534', '0.000255480787018314', '0.0005041680997237563', '0.0006526741781271994', '0.002140968106687069', '0.003842075588181615', '0.0009101679315790534', '0.00032422991353087127', '0.0021725723054260015', '0.0007608977030031383', '0.0011030714958906174', '0.00019373418763279915', '0.0011066438164561987', '0.0007632924243807793', '0.000329744303599', '0.002701093442738056', '0.001450159354135394', '0.005081921350210905', '0.006131219677627087']"
3,"['6.258518218994141', '6.257394790649414', '6.265935897827148', '6.2562150955200195', '6.268758296966553', '6.250402450561523', '6.250345706939697', '6.250374794006348', '6.250427722930908', '6.2504425048828125', '6.250683307647705', '6.251115322113037', '6.250489711761475', '6.250348091125488', '6.250747203826904', '6.250433444976807', '6.250453948974609', '6.250330924987793', '6.250452995300293', '6.250402927398682', '6.250357627868652', '6.250675678253174', '6.250557899475098', '6.251084804534912', '6.251260757446289']"
4,"['5.89314603805542', '5.894486427307129', '5.90515661239624', '5.882312297821045', '5.903267860412598', '5.874634742736816', '5.874587059020996', '5.874605178833008', '5.874656677246094', '5.87466287612915', '5.874829292297363', '5.875149726867676', '5.874709129333496', '5.874585151672363', '5.874899387359619', '5.874642848968506', '5.874661922454834', '5.874569892883301', '5.874674320220947', '5.874638080596924', '5.874586582183838', '5.874911785125732', '5.874739646911621', '5.875165939331055', '5.875317096710205']"
5,"['99.08971405029297', '98.81000518798828', '98.77013397216797', '99.5972671508789', '98.48898315429688', '99.99321746826172', '99.9966049194336', '99.99393463134766', '99.99085998535156', '99.9895248413086', '99.95162200927734', '99.96369934082031', '99.99048614501953', '99.99380493164062', '99.97370910644531', '99.98651885986328', '99.98412322998047', '99.99678039550781', '99.9836654663086', '99.98955535888672', '99.9903564453125', '99.92603302001953', '99.91769409179688', '99.81292724609375', '99.86998748779297']"
6,"['2.1804447174072266', '2.177109479904175', '2.198591947555542', '2.1577937602996826', '2.1788651943206787', '2.1479296684265137', '2.1478757858276367', '2.1478967666625977', '2.1479406356811523', '2.1479482650756836', '2.1480872631073', '2.148385524749756', '2.1479601860046387', '2.147873878479004', '2.1481189727783203', '2.1479194164276123', '2.1479055881500244', '2.147855520248413', '2.1479544639587402', '2.1479105949401855', '2.147865056991577', '2.1480839252471924', '2.148038864135742', '2.1483237743377686', '2.1484744548797607']"
7,"['0.6043124198913574', '0.8930963277816772', '0.5964041948318481', '0.20952795445919037', '0.9379345178604126', '0.004982426762580872', '0.002565588802099228', '0.0048968130722641945', '0.007006363943219185', '0.00799048412591219', '0.041800595819950104', '0.023185599595308304', '0.006434738170355558', '0.005214652046561241', '0.019057828933000565', '0.011064447462558746', '0.01303357444703579', '0.0026189384516328573', '0.013184282928705215', '0.008394050411880016', '0.008649177849292755', '0.066325843334198', '0.07731389254331589', '0.17148903012275696', '0.11095104366540909']"
8,"['0.06592471897602081', '0.05988530442118645', '0.19649221003055573', '0.07368482649326324', '0.20562514662742615', '0.0001574278430780396', '7.804574852343649e-05', '0.00011564009037101641', '0.00024474464589729905', '0.00026683686883188784', '0.0006358320824801922', '0.0015366844600066543', '0.0003238483623135835', '9.992095147026703e-05', '0.0008113255607895553', '0.0002151039952877909', '0.00017896841745823622', '5.497114034369588e-05', '0.0003114141582045704', '0.0001873049041023478', '7.874993025325239e-05', '0.0007146047428250313', '0.0005128952325321734', '0.0017451089806854725', '0.0023296955041587353']"
