,0
0,<module 'time' (built-in)>
1,"['0.15150102972984314', '0.20713168382644653', '0.152534618973732', '0.22985008358955383', '0.2319650650024414', '99.25383758544922', '99.46720123291016', '99.46379089355469', '99.60604095458984', '99.45519256591797', '99.47015380859375', '99.23690795898438', '99.03211212158203', '99.15007019042969', '98.72962188720703', '98.19064331054688', '98.07814025878906', '97.76648712158203', '98.50707244873047', '98.02041625976562', '98.87640380859375', '98.25165557861328', '98.01190948486328', '98.41143035888672', '98.68862915039062', '98.24520111083984', '98.55997467041016']"
2,"['0.0962938591837883', '0.13857872784137726', '0.06644664704799652', '0.07093600183725357', '0.07450442016124725', '0.07651505619287491', '0.04797067493200302', '0.051202718168497086', '0.038529377430677414', '0.05115916579961777', '0.05176844447851181', '0.07466501742601395', '0.09876895695924759', '0.08527866750955582', '0.12103933840990067', '0.1669585406780243', '0.18491864204406738', '0.207378551363945', '0.1579722911119461', '0.17472054064273834', '0.10936955362558365', '0.17794762551784515', '0.21653598546981812', '0.15753471851348877', '0.15171538293361664', '0.1954202950000763', '0.1714375615119934']"
3,"['6.324490070343018', '6.347548961639404', '6.321141719818115', '6.333973407745361', '6.325722694396973', '6.326272964477539', '6.308679103851318', '6.3081793785095215', '6.290615558624268', '6.3044867515563965', '6.3003740310668945', '6.321534633636475', '6.3293256759643555', '6.320174694061279', '6.348567962646484', '6.392538547515869', '6.391696453094482', '6.404682159423828', '6.362767696380615', '6.437256336212158', '6.347381114959717', '6.383714199066162', '6.420666694641113', '6.397644519805908', '6.356667518615723', '6.388627052307129', '6.371468544006348']"
4,"['5.935380935668945', '5.9714226722717285', '5.920456886291504', '5.930385589599609', '5.928725719451904', '5.91002893447876', '5.895604133605957', '5.895496368408203', '5.89196252822876', '5.897746562957764', '5.899052143096924', '5.9062180519104', '5.914714336395264', '5.910263538360596', '5.925849437713623', '5.940964221954346', '5.945522308349609', '5.965543746948242', '5.93827486038208', '5.956851482391357', '5.9206461906433105', '5.963974952697754', '5.960948944091797', '5.950947284698486', '5.932974338531494', '5.958571434020996', '5.941405296325684']"
5,"['0.22033876180648804', '0.3628293573856354', '0.17780518531799316', '0.24521854519844055', '0.19627195596694946', '0.16896192729473114', '0.1179528757929802', '0.11333798617124557', '0.08995678275823593', '0.13138963282108307', '0.12429220229387283', '0.17544172704219818', '0.20367425680160522', '0.18846875429153442', '0.2827504575252533', '0.40326473116874695', '0.4135562479496002', '0.4914219081401825', '0.3176732361316681', '0.4204534888267517', '0.2596084177494049', '0.39439183473587036', '0.40725892782211304', '0.3537505567073822', '0.2939092814922333', '0.3672954738140106', '0.2912450432777405']"
6,"['2.987955331802368', '4.955440998077393', '2.536658763885498', '2.9002389907836914', '2.5159752368927', '2.1678860187530518', '2.162222385406494', '2.1617512702941895', '2.160205841064453', '2.162538766860962', '2.16255521774292', '2.167896032333374', '2.1763036251068115', '2.170921802520752', '2.179941415786743', '2.198146104812622', '2.1956493854522705', '2.2115371227264404', '2.191467523574829', '2.1949007511138916', '2.175471782684326', '2.199784517288208', '2.2014222145080566', '2.1886630058288574', '2.1850554943084717', '2.201554298400879', '2.185469627380371']"
7,"['0.08691032975912094', '0.13492712378501892', '0.07300186902284622', '0.09567182511091232', '0.09699158370494843', '0.11817584931850433', '0.09129010140895844', '0.1059025302529335', '0.0647512748837471', '0.09843716025352478', '0.09286560863256454', '0.14733350276947021', '0.18038088083267212', '0.17187602818012238', '0.24367712438106537', '0.3441846966743469', '0.3868442475795746', '0.4723879098892212', '0.2663673460483551', '0.3771626353263855', '0.21734964847564697', '0.29932352900505066', '0.35523977875709534', '0.2727292776107788', '0.21580961346626282', '0.326244056224823', '0.26870980858802795']"
8,"['96.76432800292969', '92.6500473022461', '98.07473754882812', '96.88736724853516', '97.97251892089844', '0.07105348259210587', '0.056021176278591156', '0.04903988912701607', '0.03313504531979561', '0.04569244012236595', '0.04732761159539223', '0.07363952696323395', '0.12734918296337128', '0.09414931386709213', '0.18585382401943207', '0.2724769115447998', '0.31169360876083374', '0.30745550990104675', '0.21526901423931122', '0.2666020095348358', '0.13112209737300873', '0.20478306710720062', '0.2683006823062897', '0.1765444576740265', '0.16128747165203094', '0.19301828742027283', '0.1673136204481125']"
