,0
0,<module 'time' (built-in)>
1,"['1.4900784492492676', '1.7830986976623535', '1.5237274169921875', '1.6320956945419312', '1.0362703800201416', '0.6993246078491211', '1.4475858211517334', '1.065066933631897', '1.5779297351837158', '0.47217947244644165', '1.2930988073349', '1.3455510139465332', '1.3694053888320923', '1.9672648906707764']"
2,"['3.8969829082489014', '12.475661277770996', '11.256043434143066', '12.398104667663574', '9.17834758758545', '8.107198715209961', '14.439019203186035', '29.69607162475586', '25.242618560791016', '5.986037731170654', '15.797626495361328', '21.236127853393555', '10.573272705078125', '14.944384574890137']"
3,"['6.360233783721924', '6.388200759887695', '6.403800010681152', '6.409443378448486', '6.396166801452637', '6.358999252319336', '6.460524559020996', '6.3784003257751465', '6.438904285430908', '6.3498454093933105', '6.388203144073486', '6.445708751678467', '6.442086219787598', '6.484882354736328']"
4,"['5.927805423736572', '5.932093143463135', '5.935953140258789', '5.933568477630615', '5.918957710266113', '5.90509557723999', '5.933463096618652', '5.927184581756592', '5.970580101013184', '5.896214962005615', '5.934821605682373', '5.9399237632751465', '5.956486701965332', '5.950420379638672']"
5,"['2.878411054611206', '4.617814540863037', '5.541207790374756', '4.553560733795166', '3.1730849742889404', '2.937164068222046', '6.2409820556640625', '4.018900394439697', '6.662482738494873', '1.3460701704025269', '5.965490818023682', '8.26630687713623', '7.798069000244141', '9.180106163024902']"
6,"['2.9328231811523438', '3.0606160163879395', '2.7735915184020996', '2.9033854007720947', '3.197737693786621', '2.501628875732422', '2.7781639099121094', '7.55360221862793', '5.537139892578125', '2.4642250537872314', '4.497354984283447', '3.8929238319396973', '3.4966163635253906', '3.550628900527954']"
7,"['0.4378765821456909', '0.5261985063552856', '0.7114388942718506', '0.7024690508842468', '0.5342659950256348', '0.4672521650791168', '0.9966320395469666', '0.7123755812644958', '1.1949483156204224', '0.24705350399017334', '0.9414881467819214', '0.9884486198425293', '1.246401309967041', '1.5134382247924805']"
8,"['88.70075988769531', '77.627685546875', '78.66755676269531', '78.07967376708984', '82.8114242553711', '86.40058135986328', '74.46113586425781', '54.913814544677734', '57.82062911987305', '90.70999908447266', '70.2267074584961', '63.31774139404297', '74.91031646728516', '68.11500549316406']"
