,0
0,<module 'time' (built-in)>
1,"['0.18991532921791077', '0.34314122796058655', '0.7297725677490234', '0.7222490310668945', '0.6801559329032898', '0.6590146422386169', '0.11998270452022552', '0.7248130440711975', '0.32466748356819153', '0.3732140064239502', '0.5139439702033997', '0.44307076930999756', '0.31537505984306335', '0.35548439621925354', '0.6473978757858276', '0.6309313774108887', '0.7380259037017822', '0.4696430265903473', '0.4839955270290375', '0.4353082776069641', '0.40940722823143005', '0.3549521267414093', '0.4727124571800232', '0.37667569518089294', '0.6518751382827759', '0.6028795838356018', '0.589052140712738']"
2,"['1.3469955921173096', '11.193367004394531', '19.5174617767334', '8.001274108886719', '7.302285671234131', '2.4948184490203857', '5.160933494567871', '8.062361717224121', '2.1679611206054688', '2.125767707824707', '7.4855475425720215', '3.2546393871307373', '2.0417633056640625', '2.2130823135375977', '2.32454252243042', '13.940286636352539', '3.272313356399536', '1.6651930809020996', '2.2020301818847656', '2.630903482437134', '1.9929243326187134', '1.2652794122695923', '2.2442846298217773', '2.826143980026245', '4.829186916351318', '3.928009510040283', '3.142146348953247']"
3,"['6.384363651275635', '6.5397443771362305', '6.8054704666137695', '6.798583030700684', '6.678430557250977', '6.68428373336792', '6.353490829467773', '6.80678129196167', '6.470922470092773', '6.459558010101318', '6.638433933258057', '6.574265480041504', '6.492763042449951', '6.49242639541626', '6.644812107086182', '6.687424182891846', '6.591967582702637', '6.492789268493652', '6.542306423187256', '6.584305286407471', '6.450732707977295', '6.440260410308838', '6.485261917114258', '6.465324878692627', '6.537360191345215', '6.6197829246521', '6.534756660461426']"
4,"['5.983945846557617', '6.1501874923706055', '6.369469165802002', '6.234656810760498', '6.092246055603027', '6.260283470153809', '5.970109939575195', '6.351868152618408', '5.9849348068237305', '5.9839911460876465', '6.520461082458496', '6.272867202758789', '6.19683313369751', '6.020698547363281', '6.3062849044799805', '6.380424499511719', '6.264125347137451', '6.140119552612305', '6.333578586578369', '6.268494606018066', '6.115858554840088', '6.08574914932251', '6.093861103057861', '6.190351963043213', '6.267269134521484', '6.361093521118164', '6.309988498687744']"
5,"['4.89537239074707', '10.547248840332031', '11.272907257080078', '31.375572204589844', '24.888010025024414', '12.891131401062012', '1.5536609888076782', '41.28139877319336', '18.171300888061523', '64.64674377441406', '46.375144958496094', '75.42129516601562', '73.0087890625', '65.25321960449219', '44.04768753051758', '50.680572509765625', '60.22388458251953', '64.23975372314453', '54.797149658203125', '39.67290115356445', '75.64798736572266', '80.02499389648438', '79.57696533203125', '66.89704132080078', '52.38044357299805', '51.393646240234375', '49.1523551940918']"
6,"['99.98944091796875', '99.82374572753906', '98.29473114013672', '11.73985767364502', '10.037923812866211', '25.754047393798828', '99.9894790649414', '61.774444580078125', '8.19658088684082', '4.477817535400391', '60.31601333618164', '4.981955528259277', '3.93910551071167', '4.141754150390625', '48.871891021728516', '35.27045440673828', '16.195478439331055', '40.64206314086914', '37.89658737182617', '86.31642150878906', '11.4576416015625', '10.635790824890137', '3.5903313159942627', '39.66557312011719', '66.76630401611328', '66.39031982421875', '65.8046875']"
7,"['1.574094533920288', '2.9954540729522705', '3.048659086227417', '2.4634010791778564', '1.5692040920257568', '2.6590495109558105', '0.34696269035339355', '2.2328810691833496', '0.6594840884208679', '1.1200473308563232', '2.987036943435669', '1.9748756885528564', '1.3844887018203735', '1.1105320453643799', '3.2444186210632324', '3.135087728500366', '3.538788080215454', '2.0384154319763184', '2.3675103187561035', '2.250502347946167', '3.743680477142334', '2.916581153869629', '2.4008517265319824', '2.6413214206695557', '3.2875559329986572', '3.3291566371917725', '2.251115322113037']"
8,"['0.6103240251541138', '2.521648645401001', '7.9758219718933105', '42.837738037109375', '52.77934265136719', '60.13217544555664', '1.5063849687576294', '15.305858612060547', '68.1298828125', '25.722105026245117', '10.569602966308594', '11.143521308898926', '17.556188583374023', '25.46638298034668', '21.4334659576416', '6.979750156402588', '15.321268081665039', '6.331787109375', '15.113152503967285', '13.707764625549316', '4.7571234703063965', '2.6734840869903564', '10.566417694091797', '2.211354970932007', '5.650027275085449', '7.271791458129883', '11.862637519836426']"
