,0
0,<module 'time' (built-in)>
1,"['0.6396571397781372', '0.7838892936706543', '0.8627984523773193', '0.7269459962844849', '0.8389967679977417', '0.2292822301387787', '0.33034032583236694', '0.2692136764526367', '0.3682421147823334', '0.23175013065338135', '0.21682560443878174', '0.28240692615509033', '0.2329029142856598', '5.539632320404053', '0.25407594442367554', '0.29700255393981934', '0.402412474155426', '2.097526788711548', '0.479645699262619', '0.2680075466632843', '0.3016001880168915', '0.27763742208480835', '0.31316158175468445', '0.3147336542606354', '0.3186706006526947', '0.3884962201118469', '0.36834582686424255']"
2,"['1.0366160869598389', '1.067934274673462', '1.139793038368225', '0.9376130104064941', '1.0455907583236694', '0.26756858825683594', '0.5041802525520325', '0.6198207139968872', '0.7395433187484741', '0.518354594707489', '0.43523475527763367', '0.5608478784561157', '0.42446520924568176', '2.292283773422241', '0.4047650694847107', '0.41636723279953003', '0.527535080909729', '0.6270511150360107', '0.5779444575309753', '0.46537619829177856', '0.6796863079071045', '0.5245324373245239', '0.4829259514808655', '0.525351345539093', '0.5662477612495422', '0.6484048366546631', '0.5990954041481018']"
3,"['98.72462463378906', '97.78010559082031', '94.2043685913086', '97.27793884277344', '94.33901977539062', '83.33894348144531', '98.76063537597656', '98.94889068603516', '98.15579986572266', '99.4632797241211', '98.90837097167969', '98.56925201416016', '99.13719177246094', '92.89991760253906', '99.48625946044922', '97.48014831542969', '72.91100311279297', '13.56994915008545', '90.75431060791016', '98.8354721069336', '97.83247375488281', '94.20257568359375', '98.80994415283203', '94.87313842773438', '98.54647064208984', '98.271728515625', '98.62821960449219']"
4,"['12.132631301879883', '17.26310920715332', '30.394107818603516', '19.690282821655273', '30.3253116607666', '61.09419631958008', '14.051704406738281', '12.96398639678955', '17.60926055908203', '8.243453979492188', '13.83169937133789', '15.810294151306152', '11.59465217590332', '22.624454498291016', '8.201194763183594', '23.29360008239746', '69.9147720336914', '94.77716827392578', '45.37398910522461', '13.910673141479492', '19.905500411987305', '36.31650161743164', '14.007427215576172', '34.1444091796875', '15.660307884216309', '17.06273651123047', '14.582276344299316']"
5,"['0.6475696563720703', '0.7312681674957275', '0.8258271217346191', '0.7269019484519958', '0.7448035478591919', '0.24913135170936584', '0.42861172556877136', '0.3806745409965515', '0.5428177118301392', '0.33896952867507935', '0.3389217257499695', '0.4187839925289154', '0.35501450300216675', '1.1651885509490967', '0.26484882831573486', '0.32321274280548096', '0.4076493978500366', '0.538278341293335', '0.5017517805099487', '0.3862191438674927', '0.6122059226036072', '0.44639286398887634', '0.446056991815567', '0.46309950947761536', '0.4559532701969147', '0.6054851412773132', '0.6148919463157654']"
6,"['2.2628893852233887', '2.3228659629821777', '2.3485841751098633', '2.3172447681427', '2.3290927410125732', '2.210033416748047', '2.2495691776275635', '2.218104362487793', '2.2517447471618652', '2.2012624740600586', '2.202848434448242', '2.219792127609253', '2.20816707611084', '2.513441324234009', '2.190666913986206', '2.212592124938965', '2.2400851249694824', '2.350557565689087', '2.249361276626587', '2.225215435028076', '2.2390458583831787', '2.24234938621521', '2.222917079925537', '2.228231430053711', '2.2248477935791016', '2.24104905128479', '2.2302050590515137']"
7,"['0.5949780941009521', '0.6488637924194336', '0.675677478313446', '0.6361347436904907', '0.6714839339256287', '0.2218340039253235', '0.3626920282840729', '0.2788485288619995', '0.5109313726425171', '0.23249655961990356', '0.24095872044563293', '0.3089805245399475', '0.25106629729270935', '1.0014880895614624', '0.21552057564258575', '0.2608928382396698', '0.3200659453868866', '0.5270295739173889', '0.3619363009929657', '0.2994571030139923', '0.3730747699737549', '0.33961865305900574', '0.3467158079147339', '0.3171493411064148', '0.33797016739845276', '0.3834572434425354', '0.34737423062324524']"
8,"['2.973710536956787', '2.8682944774627686', '3.0882458686828613', '3.1137778759002686', '3.1102588176727295', '0.675616443157196', '1.4562655687332153', '1.0874354839324951', '1.606854796409607', '1.0380377769470215', '0.783053994178772', '1.2314658164978027', '0.9865992069244385', '4.598121643066406', '0.8277350068092346', '1.068160057067871', '1.2437543869018555', '1.1356654167175293', '1.2567085027694702', '1.1839462518692017', '1.5089095830917358', '1.363623857498169', '1.1562694311141968', '1.2858613729476929', '1.461868166923523', '1.577480673789978', '1.7638243436813354']"
