,0
0,<module 'time' (built-in)>
1,"['45.28640365600586', '70.28950500488281', '52.53681945800781', '55.06804656982422', '50.05391311645508', '41.262332916259766', '75.00452423095703', '66.80428314208984', '65.80085754394531', '68.35965728759766', '80.88227844238281', '72.68077087402344', '89.05787658691406', '83.19136047363281', '87.66490936279297', '62.79421615600586', '63.86852264404297', '86.43649291992188', '69.29354858398438', '87.82195281982422', '88.93610382080078', '83.60485076904297', '62.17155456542969', '66.97999572753906', '54.7255859375']"
2,"['0.9277454614639282', '0.6963622570037842', '0.7555311322212219', '0.772464394569397', '0.7350757122039795', '0.5582895874977112', '0.40109655261039734', '0.5432735085487366', '0.4411953389644623', '0.6302095055580139', '0.3211192786693573', '0.4439266324043274', '0.37542256712913513', '0.38716986775398254', '0.3261614441871643', '0.6659197211265564', '0.4915432631969452', '0.3181115686893463', '0.3553084135055542', '0.2278033196926117', '0.19161535799503326', '0.37180766463279724', '0.5322018265724182', '0.48740968108177185', '0.5293320417404175']"
3,"['6.460338115692139', '6.3979902267456055', '6.4540839195251465', '6.450936794281006', '6.434263229370117', '6.370396137237549', '6.37968111038208', '6.421389579772949', '6.386270999908447', '6.418593406677246', '6.352226257324219', '6.36659574508667', '6.376119136810303', '6.3529462814331055', '6.3451738357543945', '6.4088969230651855', '6.357972145080566', '6.336023807525635', '6.3401103019714355', '6.337617874145508', '6.325043678283691', '6.377510070800781', '6.442605018615723', '6.383337020874023', '6.4069414138793945']"
4,"['5.963255882263184', '5.9473676681518555', '5.958434581756592', '5.955840110778809', '5.952765464782715', '5.934125900268555', '5.935745716094971', '5.938790321350098', '5.932895183563232', '5.952239513397217', '5.915741443634033', '5.926487922668457', '5.933286666870117', '5.921095371246338', '5.919723033905029', '5.956034183502197', '5.917124271392822', '5.911136627197266', '5.916501522064209', '5.9103102684021', '5.901213645935059', '5.9275946617126465', '5.955887317657471', '5.930193901062012', '5.9401116371154785']"
5,"['0.778476893901825', '0.5347129106521606', '0.7079316973686218', '0.6500607132911682', '0.7117494344711304', '0.6047263145446777', '0.5992178916931152', '0.6300154328346252', '0.5899009108543396', '0.689963698387146', '0.3729150593280792', '0.5469326972961426', '0.4999263286590576', '0.43686553835868835', '0.40157628059387207', '0.9423475861549377', '0.522355854511261', '0.35980308055877686', '0.3672347664833069', '0.3390595614910126', '0.26931214332580566', '0.5528630614280701', '0.8481311798095703', '0.41904133558273315', '0.4433501362800598']"
6,"['3.0211172103881836', '2.8708035945892334', '2.8940868377685547', '2.7870888710021973', '2.7631824016571045', '3.002797842025757', '2.6935439109802246', '2.928164482116699', '2.8202624320983887', '2.9950833320617676', '2.5317203998565674', '2.8026750087738037', '2.5832436084747314', '2.558964729309082', '2.6442580223083496', '3.534303903579712', '2.8535618782043457', '2.4251246452331543', '2.588876247406006', '2.5420773029327393', '2.4585115909576416', '2.7394187450408936', '3.2476589679718018', '2.613264799118042', '2.5926549434661865']"
7,"['0.34243693947792053', '0.2652031481266022', '0.3910289704799652', '0.33799776434898376', '0.3932144045829773', '0.20810985565185547', '0.204248309135437', '0.2478950470685959', '0.23979735374450684', '0.25244274735450745', '0.17439241707324982', '0.20306068658828735', '0.2559651732444763', '0.2013794332742691', '0.17136690020561218', '0.36832982301712036', '0.2230015993118286', '0.18077591061592102', '0.16404509544372559', '0.14758509397506714', '0.12179029732942581', '0.2314494252204895', '0.3664535880088806', '0.251939058303833', '0.32617172598838806']"
8,"['49.56694412231445', '25.64687156677246', '42.84540557861328', '40.69251251220703', '45.72944259643555', '54.563880920410156', '21.748991012573242', '29.042133331298828', '30.550182342529297', '27.141908645629883', '16.75965690612793', '23.847679138183594', '8.082998275756836', '14.200968742370605', '9.63690185546875', '31.114131927490234', '32.529144287109375', '11.567917823791504', '28.19145965576172', '9.987709999084473', '9.29426383972168', '13.10157585144043', '32.51479721069336', '30.044994354248047', '42.14362716674805']"
