,0
0,<module 'time' (built-in)>
1,"['1.340726375579834', '1.1635514497756958', '0.041597310453653336', '0.05044381320476532', '0.03603793680667877', '0.24572312831878662', '0.6244330406188965', '1.752744197845459', '0.5886317491531372', '0.32904958724975586', '1.98054838180542', '0.16790682077407837', '1.2058515548706055', '1.6991000175476074', '1.360879898071289', '0.38902178406715393', '1.0844045877456665', '0.8512202501296997', '0.9303867816925049', '2.931260347366333', '0.3858809769153595', '1.7886784076690674', '1.3704746961593628', '0.5080710649490356']"
2,"['4.154721736907959', '1.4357208013534546', '0.05515120178461075', '0.48704859614372253', '0.15697993338108063', '0.3803766071796417', '1.436576008796692', '3.931661605834961', '1.423441767692566', '0.21771758794784546', '5.254822731018066', '0.8326060771942139', '7.838879585266113', '2.6886849403381348', '4.562566757202148', '0.9752317070960999', '1.6739872694015503', '3.195549964904785', '3.472487211227417', '7.837267875671387', '1.6528958082199097', '6.649941444396973', '4.173705101013184', '2.2401652336120605']"
3,"['8.184584617614746', '98.065185546875', '99.70460510253906', '99.70115661621094', '99.70853424072266', '99.68770599365234', '99.54622650146484', '98.37816619873047', '99.55023956298828', '85.81170654296875', '95.82744598388672', '99.65138244628906', '98.78534698486328', '98.3572998046875', '98.57813262939453', '99.35008239746094', '98.94405364990234', '84.69184112548828', '95.93319702148438', '60.15442657470703', '98.06659698486328', '23.600807189941406', '59.25111770629883', '99.2519760131836']"
4,"['6.013279438018799', '16.193954467773438', '6.033829689025879', '5.902750015258789', '5.894904136657715', '5.929015636444092', '5.948975086212158', '6.574358940124512', '6.056088447570801', '54.744361877441406', '11.943948745727539', '6.1621174812316895', '6.502035140991211', '6.320075511932373', '6.4930877685546875', '6.056128025054932', '6.14208459854126', '23.048540115356445', '10.026026725769043', '10.459259033203125', '13.4232759475708', '14.568628311157227', '6.29703426361084', '6.298782825469971']"
5,"['2.0910322666168213', '1.5702571868896484', '0.1778983622789383', '0.15145343542099', '0.15192896127700806', '0.3029751777648926', '1.1004301309585571', '2.484707832336426', '0.6208784580230713', '1.0499218702316284', '4.559074878692627', '0.28942665457725525', '2.5528013706207275', '6.552376747131348', '3.0071420669555664', '2.4133307933807373', '6.821319580078125', '9.242008209228516', '13.134770393371582', '28.358491897583008', '4.7287092208862305', '41.96837615966797', '22.969303131103516', '2.2954154014587402']"
6,"['2.5844831466674805', '2.285555362701416', '2.1676034927368164', '2.153555393218994', '2.152702808380127', '2.158390998840332', '2.1763243675231934', '2.2690417766571045', '2.1658248901367188', '2.281942129135132', '2.3129913806915283', '2.1649439334869385', '2.2394542694091797', '2.2362990379333496', '2.2583506107330322', '2.1790406703948975', '2.2016711235046387', '2.3009817600250244', '2.314234972000122', '2.6367456912994385', '2.3135147094726562', '2.7008297443389893', '2.3125011920928955', '2.1891393661499023']"
7,"['0.7742918729782104', '0.6155374646186829', '0.04823336377739906', '0.029908595606684685', '0.036422863602638245', '0.08532187342643738', '0.2334468811750412', '0.6083255410194397', '0.153592050075531', '0.28970810770988464', '0.700395405292511', '0.19057424366474152', '0.8504529595375061', '1.0748751163482666', '0.8708480596542358', '0.6262117028236389', '0.7963746786117554', '0.7156609892845154', '1.1064854860305786', '1.8589096069335938', '0.33503004908561707', '1.4893301725387573', '0.9314020276069641', '0.1799977868795395']"
8,"['86.57144927978516', '0.9456344842910767', '0.19000916182994843', '0.32360994815826416', '0.3940117657184601', '0.4541185796260834', '2.314467430114746', '9.965217590332031', '2.571150541305542', '1.2100528478622437', '7.608706474304199', '0.6362403035163879', '3.1616668701171875', '7.610596656799316', '7.622476577758789', '5.20627498626709', '4.617066860198975', '10.857829093933105', '4.072836399078369', '11.997110366821289', '1.8117228746414185', '13.693094253540039', '33.149986267089844', '5.372878074645996']"
