,0
0,<module 'time' (built-in)>
1,"['0.04490073397755623', '0.020936595275998116', '0.0317382887005806', '0.20504356920719147', '0.20438195765018463', '0.24084991216659546', '0.34090131521224976', '0.054933492094278336', '0.8223980665206909', '0.8222687244415283', '0.12619850039482117', '0.8837820291519165', '0.13714036345481873', '0.04028379172086716', '0.15091466903686523', '0.0817606970667839', '0.20950278639793396', '0.5206837058067322', '0.14405032992362976', '0.2890717387199402', '0.35039767622947693', '0.7827447056770325']"
2,"['0.04902544245123863', '0.06830775737762451', '0.0480036661028862', '0.2938254773616791', '0.17052705585956573', '0.19417859613895416', '0.23398999869823456', '0.07815952599048615', '0.4181692898273468', '0.4896520972251892', '0.13755296170711517', '1.185141921043396', '0.17291396856307983', '0.028057469055056572', '0.09858886152505875', '0.05609863996505737', '0.15280002355575562', '0.2605154514312744', '0.09984519332647324', '0.24317754805088043', '0.29917386174201965', '0.6440865993499756']"
3,"['99.72008514404297', '99.71334075927734', '99.71790313720703', '99.66666412353516', '99.69337463378906', '99.6830062866211', '99.68063354492188', '99.71885681152344', '99.57318115234375', '99.59457397460938', '99.69224548339844', '99.36024475097656', '99.55298614501953', '99.70118713378906', '99.70824432373047', '99.70646667480469', '99.54781341552734', '99.57832336425781', '99.66332244873047', '98.36180114746094', '99.04655456542969', '93.096923828125']"
4,"['5.90136194229126', '6.02683687210083', '5.982851028442383', '6.32845401763916', '6.002497673034668', '6.059735298156738', '5.966692924499512', '5.917399883270264', '6.430090427398682', '6.514865875244141', '6.070444583892822', '7.36154317855835', '8.027973175048828', '6.229738712310791', '5.9862189292907715', '6.089248180389404', '7.990651607513428', '7.253230571746826', '6.507640838623047', '17.94352149963379', '11.169246673583984', '35.62074661254883']"
5,"['0.05429472029209137', '0.04389584809541702', '0.041309647262096405', '0.2547503113746643', '0.150123730301857', '0.22790329158306122', '0.2991456389427185', '0.05243285745382309', '0.5190206170082092', '0.46621137857437134', '0.17252415418624878', '1.6658319234848022', '0.19702717661857605', '0.04664626345038414', '0.09533350169658661', '0.08512914925813675', '0.235358327627182', '0.375396192073822', '0.2980821430683136', '0.8775414228439331', '1.667965054512024', '2.5279815196990967']"
6,"['2.152130126953125', '2.152055501937866', '2.150554656982422', '2.164283514022827', '2.1597836017608643', '2.1650068759918213', '2.1621015071868896', '2.1501941680908203', '2.1862401962280273', '2.1750974655151367', '2.1578872203826904', '2.2289090156555176', '2.160977363586426', '2.1517529487609863', '2.1540229320526123', '2.1522114276885986', '2.165661096572876', '2.170074462890625', '2.1579487323760986', '2.1812431812286377', '2.1939408779144287', '2.2290608882904053']"
7,"['0.017588626593351364', '0.014025811105966568', '0.014417685568332672', '0.057154275476932526', '0.05661618709564209', '0.0646655261516571', '0.08351835608482361', '0.017522577196359634', '0.1466238796710968', '0.17487312853336334', '0.042305197566747665', '0.2502671182155609', '0.0729985386133194', '0.014107629656791687', '0.03577953204512596', '0.025081710889935493', '0.08068083226680756', '0.1258140653371811', '0.0720997080206871', '0.15190641582012177', '0.29991602897644043', '0.45473697781562805']"
8,"['0.12332426756620407', '0.08627283573150635', '0.0321163609623909', '0.3631855845451355', '0.4738984704017639', '0.547483503818512', '0.6591992378234863', '0.10057622194290161', '1.8220010995864868', '1.0039844512939453', '0.4476875960826874', '2.163142442703247', '0.2081848382949829', '0.06331510096788406', '0.1586730033159256', '0.09741563349962234', '0.3038078546524048', '0.4319152235984802', '0.2524903416633606', '0.6947288513183594', '1.4770348072052002', '1.1977354288101196']"
