,0
0,<module 'time' (built-in)>
1,"['1.0715999603271484', '1.3228427171707153', '1.3109103441238403', '3.03354549407959', '3.22871732711792', '2.6223318576812744', '2.040710210800171', '0.6942667961120605', '1.3904330730438232', '0.23026373982429504', '0.9130968451499939', '0.17455363273620605', '0.5725565552711487', '0.8174159526824951', '0.5394368171691895', '0.6848178505897522', '0.8655591011047363', '0.7814808487892151', '1.418380618095398', '0.17015817761421204', '0.7630107998847961']"
2,"['60.57341766357422', '64.12234497070312', '65.16912078857422', '54.3250617980957', '28.81169319152832', '52.13898849487305', '58.80723571777344', '76.92033386230469', '76.95287322998047', '82.72126007080078', '53.79854965209961', '91.42904663085938', '66.23612976074219', '42.650962829589844', '35.61541748046875', '76.882080078125', '79.87751770019531', '67.74547576904297', '36.38325881958008', '65.34597778320312', '9.113739967346191']"
3,"['6.564877986907959', '6.636460781097412', '6.804922103881836', '6.6695356369018555', '6.719402313232422', '6.5598955154418945', '6.679794788360596', '6.590583801269531', '6.565517902374268', '6.343975067138672', '6.6061906814575195', '6.302297115325928', '6.474650859832764', '6.428818225860596', '6.396061897277832', '6.569527626037598', '6.4313836097717285', '6.461480140686035', '6.548076152801514', '6.2943115234375', '6.405747890472412']"
4,"['6.76718282699585', '6.3818230628967285', '7.783553123474121', '6.378518104553223', '6.527994632720947', '6.406012058258057', '6.565784454345703', '6.5269975662231445', '6.316683292388916', '5.990988731384277', '6.605812072753906', '5.979444980621338', '6.151899337768555', '6.196686267852783', '6.162515640258789', '6.3915839195251465', '6.155444622039795', '6.2874369621276855', '6.188548564910889', '5.9471845626831055', '6.000269412994385']"
5,"['5.6918816566467285', '5.128591060638428', '5.648170471191406', '5.776583194732666', '5.932131767272949', '4.067034721374512', '4.835561275482178', '2.799985885620117', '4.97674036026001', '1.2675509452819824', '3.3627216815948486', '0.9703210592269897', '1.3237292766571045', '3.8616862297058105', '1.551555871963501', '2.7789487838745117', '1.6956385374069214', '2.0577566623687744', '3.9304893016815186', '0.9100092649459839', '2.1470534801483154']"
6,"['24.0613956451416', '12.938536643981934', '11.269723892211914', '8.381000518798828', '58.68235778808594', '4.721383571624756', '13.838238716125488', '3.7702009677886963', '2.882962942123413', '2.3829379081726074', '3.067375421524048', '2.348724842071533', '2.5782573223114014', '2.7831099033355713', '2.5142688751220703', '2.716035842895508', '2.5503673553466797', '2.6997368335723877', '40.01938247680664', '2.294581174850464', '6.735789775848389']"
7,"['0.7984976172447205', '0.9655042290687561', '1.4318206310272217', '0.9494127631187439', '1.0412683486938477', '0.9041054844856262', '0.9459134936332703', '0.4119640588760376', '0.9082746505737305', '0.2888760566711426', '0.7200682163238525', '0.1730121672153473', '0.20753592252731323', '0.6565946340560913', '0.3407593369483948', '0.5159597992897034', '0.6115538477897644', '0.44385772943496704', '0.4809797704219818', '0.10440906882286072', '0.31189826130867004']"
8,"['10.318127632141113', '13.01406478881836', '8.598929405212402', '23.81220054626465', '29.222929000854492', '32.593353271484375', '16.847103118896484', '12.787778854370117', '11.897162437438965', '14.2529935836792', '36.094322204589844', '6.229909896850586', '29.182353973388672', '48.958675384521484', '59.77978515625', '15.498169898986816', '14.624225616455078', '25.841859817504883', '32.48283004760742', '32.71482467651367', '78.68718719482422']"
