,0
0,<module 'time' (built-in)>
1,"['1.5632286071777344', '0.24299459159374237', '0.12106481939554214', '0.054487913846969604', '0.033830512315034866', '0.26306265592575073', '0.07407478988170624', '0.17005276679992676', '0.32246649265289307', '0.08412835001945496', '0.12920434772968292', '0.11715248972177505', '0.08674852550029755', '0.0820179209113121', '0.13536307215690613', '0.26987549662590027', '0.09547542780637741', '0.15308810770511627', '0.1933417171239853', '0.13303285837173462', '0.053631722927093506', '0.05007562413811684', '0.03201701492071152', '0.03939541056752205', '0.1246410682797432', '0.09960205852985382', '0.07484953850507736', '0.03396297246217728', '0.03453339636325836', '0.3992869555950165']"
2,"['4.301987171173096', '0.6028276681900024', '0.23696334660053253', '0.18105033040046692', '0.07178925722837448', '0.6643490791320801', '0.10967937111854553', '0.42371949553489685', '0.8114545345306396', '0.2055606096982956', '0.2339486926794052', '0.2273055911064148', '0.18296806514263153', '0.15859216451644897', '0.2596858739852905', '0.4777507483959198', '0.18191871047019958', '0.1592739075422287', '0.21420884132385254', '0.11208897083997726', '0.10366445779800415', '0.08435841649770737', '0.05778985098004341', '0.1078437864780426', '0.13041919469833374', '0.12826718389987946', '0.0995323657989502', '0.07158968597650528', '0.06458354741334915', '0.4730769097805023']"
3,"['6.673792839050293', '6.351182460784912', '6.328178882598877', '6.277100086212158', '6.262485027313232', '6.358038425445557', '6.268460273742676', '6.291765213012695', '6.360722541809082', '6.290060043334961', '6.311901569366455', '6.285658359527588', '6.284873008728027', '6.286235809326172', '6.312987804412842', '6.393399238586426', '6.30327844619751', '6.278246879577637', '6.275932312011719', '6.2732696533203125', '6.265853404998779', '6.266574382781982', '6.257226467132568', '6.2606306076049805', '6.2722578048706055', '6.281043529510498', '6.265117168426514', '6.258212089538574', '6.259407043457031', '6.327251434326172']"
4,"['6.240231513977051', '5.923484802246094', '5.918026924133301', '5.885166168212891', '5.878419876098633', '5.920807361602783', '5.88236141204834', '5.89107084274292', '5.9147138595581055', '5.8877363204956055', '5.895843982696533', '5.8861613273620605', '5.889278411865234', '5.892990589141846', '5.896878719329834', '5.9308013916015625', '5.895928859710693', '5.888714790344238', '5.885159015655518', '5.883834362030029', '5.88010311126709', '5.881734371185303', '5.877270698547363', '5.879714488983154', '5.883578777313232', '5.883439064025879', '5.878995895385742', '5.877780437469482', '5.878382205963135', '5.906228542327881']"
5,"['2.0435831546783447', '0.5087670683860779', '0.4441205859184265', '0.14144974946975708', '0.07363484799861908', '0.5883342623710632', '0.1210809201002121', '0.339534193277359', '0.6504113078117371', '0.21252527832984924', '0.27480360865592957', '0.22693268954753876', '0.15504370629787445', '0.18178796768188477', '0.2945641875267029', '0.8526848554611206', '0.3136339783668518', '0.2533740699291229', '0.20428425073623657', '0.18531624972820282', '0.13636231422424316', '0.12079577147960663', '0.036402929574251175', '0.12947319447994232', '0.18978415429592133', '0.19513554871082306', '0.10104437917470932', '0.0533372238278389', '0.07911840081214905', '0.563225507736206']"
6,"['18.098047256469727', '2.383652448654175', '2.525331735610962', '2.221068859100342', '2.163982391357422', '2.2796523571014404', '2.194504499435425', '2.1957733631134033', '2.266317367553711', '2.191087245941162', '2.1998066902160645', '2.1984946727752686', '2.2127232551574707', '2.2212321758270264', '2.2001259326934814', '2.3228390216827393', '2.2435238361358643', '2.2147464752197266', '2.1962602138519287', '2.208956718444824', '2.1760590076446533', '2.1706295013427734', '2.1580710411071777', '2.1839563846588135', '2.2001845836639404', '2.18121600151062', '2.163311004638672', '2.158604145050049', '2.1700282096862793', '2.2795450687408447']"
7,"['1.2000665664672852', '0.18024428188800812', '0.1502995640039444', '0.06355579197406769', '0.018498137593269348', '0.17865850031375885', '0.03565346822142601', '0.09442305564880371', '0.18191881477832794', '0.05790245532989502', '0.07715633511543274', '0.06106103956699371', '0.047477997839450836', '0.051896873861551285', '0.0929572731256485', '0.19580300152301788', '0.08713051676750183', '0.04705551266670227', '0.04792485013604164', '0.03582518547773361', '0.027087543159723282', '0.030321726575493813', '0.013560852967202663', '0.027680885046720505', '0.036396823823451996', '0.0517595037817955', '0.033283885568380356', '0.013586807064712048', '0.016575731337070465', '0.09493496268987656']"
8,"['72.95447540283203', '97.38934326171875', '97.6169204711914', '99.2379150390625', '99.71407318115234', '97.54330444335938', '99.44869995117188', '98.68795013427734', '97.32455444335938', '99.18317413330078', '98.93502807617188', '99.09957885742188', '99.20677947998047', '99.16459655761719', '98.86162567138672', '97.21168518066406', '98.8478012084961', '99.07426452636719', '99.10143280029297', '99.26248168945312', '99.54010009765625', '99.58732604980469', '99.80513000488281', '99.54187774658203', '99.27865600585938', '99.33016204833984', '99.59859466552734', '99.76734161376953', '99.70325469970703', '97.80670166015625']"
