,0
0,<module 'time' (built-in)>
1,"['0.9794447422027588', '0.7379843592643738', '0.4653659164905548', '0.47214096784591675', '0.9491003155708313', '1.0220859050750732', '1.0292168855667114', '0.8482087254524231', '0.6070241928100586', '0.5120252370834351', '0.7969679236412048', '0.5146759152412415', '0.5205704569816589', '0.5655249357223511', '0.5181785821914673', '0.10913035273551941', '0.40077078342437744', '0.33198896050453186', '0.6619173288345337', '0.2955244481563568', '0.5306352376937866', '0.29946252703666687']"
2,"['30.598953247070312', '22.109878540039062', '11.37549877166748', '5.888973712921143', '11.106307983398438', '17.34770965576172', '30.517568588256836', '33.300323486328125', '24.067733764648438', '44.411808013916016', '25.254695892333984', '39.9428825378418', '56.13733673095703', '17.169219970703125', '19.087017059326172', '2.090820074081421', '9.069093704223633', '12.308207511901855', '20.843544006347656', '33.19453048706055', '14.905023574829102', '9.08232307434082']"
3,"['6.8250908851623535', '6.695438385009766', '6.533511638641357', '6.487866401672363', '6.827097415924072', '6.756678104400635', '6.949301242828369', '6.701228141784668', '6.59246301651001', '6.551055431365967', '6.7748517990112305', '6.618740558624268', '6.565170764923096', '6.5078535079956055', '6.541840553283691', '6.3242597579956055', '6.500665187835693', '6.538282871246338', '6.67655611038208', '6.48788595199585', '6.664101600646973', '6.446124076843262']"
4,"['6.52224588394165', '6.359215259552002', '6.099301338195801', '6.073940277099609', '6.2370781898498535', '6.335302352905273', '6.380495548248291', '6.134466648101807', '6.034719944000244', '6.077220916748047', '6.295848846435547', '6.129775524139404', '6.134741306304932', '6.09978723526001', '6.121899127960205', '5.913435935974121', '6.1695027351379395', '6.132312297821045', '6.333514213562012', '6.191396236419678', '6.262543678283691', '6.067295551300049']"
5,"['11.545148849487305', '55.397953033447266', '69.07591247558594', '81.42459106445312', '30.40298843383789', '18.081729888916016', '24.639080047607422', '10.346956253051758', '4.540902137756348', '9.293312072753906', '15.746024131774902', '13.560102462768555', '2.3376686573028564', '4.698670864105225', '6.393637657165527', '2.988900661468506', '3.6485660076141357', '1.9263250827789307', '9.026119232177734', '2.7088723182678223', '2.704920530319214', '3.651144027709961']"
6,"['62.724769592285156', '11.477477073669434', '3.1985576152801514', '2.6941826343536377', '5.8403401374816895', '11.774580955505371', '6.23599910736084', '3.099212884902954', '2.451730251312256', '3.501157760620117', '6.225643157958984', '7.40731143951416', '4.320189476013184', '8.075933456420898', '10.052861213684082', '3.269688129425049', '63.9007568359375', '18.817136764526367', '79.77508544921875', '57.53434371948242', '71.3478775024414', '6.0619354248046875']"
7,"['5.076630592346191', '2.468538761138916', '2.089759111404419', '1.143438458442688', '2.73976469039917', '3.1234846115112305', '4.50537109375', '2.230649471282959', '1.198289394378662', '1.3428094387054443', '2.6832616329193115', '2.755347728729248', '1.4095184803009033', '1.236420750617981', '1.4824614524841309', '0.1577986478805542', '0.9063866138458252', '0.839358389377594', '2.4638400077819824', '0.7725908160209656', '1.15901780128479', '0.5491045117378235']"
8,"['18.669200897216797', '4.740731239318848', '12.985761642456055', '8.453962326049805', '45.48438262939453', '45.624263763427734', '28.920391082763672', '49.08800506591797', '67.5508041381836', '39.80186080932617', '45.67228317260742', '32.78937911987305', '33.24937438964844', '65.5245132446289', '59.905921936035156', '91.38069915771484', '53.97992706298828', '66.85487365722656', '28.651840209960938', '32.87312316894531', '45.76984786987305', '77.97511291503906']"
