,0
0,<module 'time' (built-in)>
1,"['9.025064468383789', '9.668172836303711', '1.2802295684814453', '0.04709780961275101', '0.011601503938436508', '0.016851158812642097', '0.011300952173769474', '0.014366328716278076', '0.013858390040695667', '0.0390285924077034', '0.05152583494782448', '0.06079499050974846', '0.040759146213531494', '0.09920980036258698', '0.1405404955148697', '0.16049915552139282', '0.2085590660572052', '0.11484922468662262', '0.10201063752174377', '0.0310579314827919', '0.010726897045969963']"
2,"['7.24621057510376', '19.14602279663086', '4.614960193634033', '0.5765912532806396', '0.0315815731883049', '0.07392548024654388', '0.04702528566122055', '0.06727439165115356', '0.043154992163181305', '0.03864459693431854', '0.04938766360282898', '0.09736694395542145', '0.05687353387475014', '0.12571415305137634', '0.26762402057647705', '0.25692397356033325', '0.17994758486747742', '0.21412768959999084', '0.20539429783821106', '0.03602908179163933', '0.01180651132017374']"
3,"['20.73732566833496', '46.9869270324707', '99.23782348632812', '99.7071533203125', '99.72644805908203', '99.72479248046875', '99.726318359375', '99.72549438476562', '99.72633361816406', '99.72311401367188', '99.72193908691406', '99.71363830566406', '99.7212142944336', '99.70206451416016', '99.67658233642578', '99.68133544921875', '99.68760681152344', '99.69293212890625', '99.68903350830078', '99.72380065917969', '99.72737121582031']"
4,"['7.0178680419921875', '7.624946594238281', '6.595017910003662', '5.922347068786621', '5.882544994354248', '5.88748025894165', '5.88218355178833', '5.885961055755615', '5.884742259979248', '5.911031723022461', '5.915918350219727', '6.0028462409973145', '5.926985740661621', '6.129969596862793', '6.350253582000732', '6.286214828491211', '6.2244696617126465', '6.181221008300781', '6.279458045959473', '5.907321929931641', '5.881371974945068']"
5,"['1.8062750101089478', '1.996165156364441', '0.5029883980751038', '0.031976014375686646', '0.010480626486241817', '0.011652514338493347', '0.007597404532134533', '0.008229906670749187', '0.006831523030996323', '0.014525221660733223', '0.02245202288031578', '0.03508308157324791', '0.02137554995715618', '0.05090845376253128', '0.10106445848941803', '0.10229001194238663', '0.08472536504268646', '0.08542107790708542', '0.06333018094301224', '0.016956876963377', '0.0063828169368207455']"
6,"['2.9538655281066895', '3.2626655101776123', '2.3327436447143555', '2.155949831008911', '2.1496598720550537', '2.150285482406616', '2.1493353843688965', '2.149343729019165', '2.149047374725342', '2.150940418243408', '2.1518046855926514', '2.155313730239868', '2.1518759727478027', '2.1576731204986572', '2.166863441467285', '2.165907144546509', '2.1619412899017334', '2.16279935836792', '2.1598916053771973', '2.1507463455200195', '2.1488027572631836']"
7,"['1.7635831832885742', '1.5436080694198608', '0.42098042368888855', '0.024842433631420135', '0.00874248705804348', '0.010217109695076942', '0.006992044858634472', '0.008148372173309326', '0.006320115644484758', '0.016739675775170326', '0.021615052595734596', '0.029981689527630806', '0.020609194412827492', '0.050742924213409424', '0.11722569912672043', '0.11841102689504623', '0.12892471253871918', '0.08915017545223236', '0.05929930508136749', '0.014382896013557911', '0.005467682145535946']"
8,"['59.171791076660156', '30.445724487304688', '2.8098297119140625', '0.06556666642427444', '0.017887068912386894', '0.022554675117135048', '0.01502535492181778', '0.0149198267608881', '0.011133268475532532', '0.03167983517050743', '0.02899102494120598', '0.05026200786232948', '0.03460272401571274', '0.06811252236366272', '0.13266953825950623', '0.11277825385332108', '0.08726124465465546', '0.09356410801410675', '0.07296011596918106', '0.023776045069098473', '0.012544926255941391']"
